http://movie.douban.com/subject/2328512/	一网情深
(3星)	 女主角很恶            
(1星)	 此部戏众星云集 但是女一号的发型战胜了一切             
(NA)	 佟大为是最大的亮点，那时候还没出名，一切多好啊。自然又不做作。还有叶璇和陈浩民，是那时传出的绯闻吗？那是2001年。            
(2星)	 不知道为啥就是难看            
(3星)	 郑嘉颖!!貌似看过也~名字很熟悉呃            
(2星)	 这么多明星。可是拍的太烂了。            
(4星)	 好吧，我也看过这片……………………            
(3星)	 不知怎的，忽然想到这片子。            
(NA)	 要是没记错的话 里面俺第一回见麻袋椅然后片头曲还是啥是陶喆唱的            
(2星)	 我发现我看过的恶俗剧还真是不少            
(3星)	 叶璇            
(2星)	 无聊。。。女主很不养眼 = =            
(3星)	 小时候有段时间很爱看，果然年少过。= =            
(4星)	 很不错            
(3星)	 那时候的叶璇特舒服。            
(2星)	 女猪真是……长得有点抱歉            
(2星)	 特不喜欢女主角，特难看            
(4星)	 那个时期的叶璇 陈浩民 佟大为            
(4星)	 童年回忆            
(NA)	 真的，我看过一点点            
(1星)	 当年真是爱浪费时间啊，宁可看这种垃圾剧也不看书            
(3星)	 啊，还真有人网恋。。。——当时我的心里话            
(3星)	 当时那叫一个喜欢看啊            
(3星)	 记忆里的天雷。            
(3星)	 合作片 有叶璇 居然还有郑嘉颖 意外中的意外            
(NA)	 喜欢叶璇源出于此，可惜她现在星途一直不明，不该去香港啊，留在内地或许会好一点呢。            
(3星)	 还可以            
(3星)	 还是佟大为最出挑            
(4星)	 陈浩民与叶璇，曾经的配对            
(3星)	 就当年来说，题材还是很新颖的...            
(3星)	 电视剧            
(4星)	 喜欢豆豆            
(3星)	 回忆真美好            
(3星)	 有沒有人當年喜歡過佟大為的呵呵呵呵呵呵呵？            
(NA)	 这是什么奇怪的货色……虽然我好像看过【血            
(3星)	 惊了！！！我都完全不记得当时看的时候里面有KC了。。。            
(3星)	 肿么还有郑嘉颖！！！！            
(2星)	 让陆毅 陈浩民 叶璇 郑嘉颖 和佩姨当绿叶衬托的发型像阿童木的女一号的背景是不是很深很深啊~            
(NA)	 就对名字还有些印象。。。            
