http://movie.douban.com/subject/2330220/	八大豪侠
(4星)	 额。。。事实上家麒死了后就米有看了，也就是五六集的样子。。。            
(4星)	 cgx死了我就没看了~~~            
(1星)	 王晶的连续剧大多都很烂。            
(3星)	 实属国内电视剧罕见的强大演员整容            
(2星)	 有两个极品的大叔坐镇啊..................            
(NA)	 看到他死了我就不看了            
(3星)	 话说当年看到陈老师死了我就不看 了。但是王晶连续剧的结局总是很恶搞。            
(3星)	 范冰冰把陈冠希掐死了。            
(1星)	 哈哈哈！打打打！            
(3星)	 还行是因为EDISON很好玩，= =+            
(3星)	 事实上家麒死了后就没有看了，也就是五六集的样子。            
(3星)	 本来想看看冠西郎,想不到那么早就挂掉了,真是可怜啊~~~            
(2星)	 陈老师后面根本没戏            
(1星)	 烂            
(3星)	 明星很多。剧情也不错。            
(4星)	 《失业生》DVD            
(NA)	 FBB在這部劇裏不咋地            
(2星)	 48集？            
(3星)	 我记得以前电视上放的时候，我看到陈冠希死了，我就不看了~            
(3星)	 当年我就想不通这些人怎么凑一起拍了这么个烂剧。。            
(3星)	 我一直觉得这片子里的人物扮相都囧囧有神的，但是剧情还算行吧。            
(5星)	   结局伤感。居然只有一个人活着。            
(3星)	 结果陈冠希没两集就死了……            
(2星)	 电视剧套剪的电影            
(3星)	 想當初我完全就是沖著冠希哥去看的，結果還不夠10集丫就掛了… 坑爹啊絕對的！= =            
(3星)	 我只是来看陈冠希的！！！            
(4星)	 当年相当的喜欢啊！！至今都记得不少桥段！！            
(4星)	 我当年是为了冠希哥看的！！            
(4星)	 陈冠希演的死了之后一度看不下去啊  后来觉得董璇还不错  不知为啥不喜欢这部的李小璐              
(3星)	 这时候就已经讨厌范冰冰啦。            
(3星)	 当时可是为了陈老师买了碟啊，结果他速度炮灰了= =            
(3星)	 有哎。            
(3星)	 那么大的冠希哥的海报是骗人的！开头就死！！！            
(3星)	 陈冠希没几集就挂了            
(4星)	 当初是为了陈冠希去看的，没想到几集就死了            
(3星)	 这个也太多明星了吧 当时电视上看到吓 edison居然die了            
(3星)	 希爷只是个打酱油的。。。。            
(NA)	 帅。可惜在第八集就被范冰冰给，，            
(3星)	 阎捕头你个傲娇中的战斗机…！！！！            
(3星)	  陈冠希 ...            
(2星)	 我为秦桧叹息一下。。。            
(3星)	 只看了前面有陈冠希的，因为范冰冰杀了陈冠希，之前特别讨厌范冰冰            
(3星)	 人员不错..剧情无聊了点            
(3星)	 一般般吧            
(3星)	 虽然是觉得拍的挺瓜的，但是看到后来还是哭的稀里哗啦的            
(NA)	 在电视上断断续续的看过，之所以坚持看它，只是因为喜欢扁素问，更何况她是董璇演的            
(3星)	 Parts..            
(1星)	 全死光了啊！！！你坑死爹了啊！！！！你想说明神马？！！！！狡兔死，走狗烹么！！！最大的幕后主谋永远都是权利至高者么！！！！一群英雄围成圈子慷慨就义啊！！！坑死了啊！！！！            
(4星)	 陈冠希的第一部武侠？林子聪还是很喜剧。            
(NA)	 冠希哥哥~~~~~~~~~            
(3星)	 实属国内电视剧罕见的强大演员阵容            
(4星)	 冠希哥~            
(3星)	 通过这部戏对董璇好感骤增的。            
(NA)	 很喜欢 当时。。开始是在拉面馆偶然看到  后来专门找来看啊            
(3星)	 和天下第一有点凌乱了@_@            
(5星)	 多少名角啊！            
(4星)	 不是因为陈冠希，也不因为黄秋生，我是因为这部剧喜欢上了素问            
(1星)	 多亏没记错名字            
(4星)	 各种大牌            
(3星)	 王晶出品            
(5星)	 记得里面有一段是四大财神的，特好看，看了好几遍，哈哈~~看这个的时候超迷素问的，又聪明又漂亮~~特想让她和风一阵在一起啊！            
(4星)	 记得很喜欢风一阵。。很喜欢素问。。记得黄秋生对范冰冰说===我们的关系，从来就不是淡淡然的。。            
(3星)	None
(3星)	 还以为陈冠希是男主角，原来就是个打酱油的。讨厌李小璐的角色，干嘛要去破坏别人。。。            
(2星)	 都是有身份证的人，能不能别演这样的烂片~            
(2星)	 冠希就活了3集还是几集就没戏了            
(3星)	 对于这个怎么评价呢？   总之真的很二逼- -            
(2星)	 当时陈冠希很帅,可惜是炮灰.            
(3星)	 就算整容豪华，也盖不住平庸。            
(3星)	 诶  一直不能明白这部巨星云集的片子怎么那么2.。。。。。。。。。。            
(NA)	 冰冰 小璐 恩，现在看来演员阵容真豪华            
(2星)	 陈冠希死的也太早了吧            
(4星)	 陆毅真帅            
(3星)	 陈老师这么短命还好意思站最前面！！！            
(3星)	 这阵容            
(2星)	 这么多明星，成就一坨狗屎。            
(2星)	 松哥那撮胡子啊囧，关玉楼看着ws啊囧，还用了人家龙哥的名字啊囧            
(3星)	 太可怕的組合            
(NA)	 有时间要再重新看一遍。            
(NA)	 美女帅哥            
(NA)	 曾阅，标记。            
(2星)	 当初是为了冠希哥看的，结果发现被骗了。            
(NA)	 当时为了看陈冠希才看的，结果他才没几集            
(NA)	 陈冠希的戏比龙套还不足            
(4星)	 越到后面越无语，陈老湿你为神马屎的这么早            
(3星)	 EDC死的太早了            
(4星)	 就是从这部戏开始喜欢董璇的！            
(3星)	 2星半。            
(4星)	 以前很喜欢看             
(4星)	 陈冠希超级帅的            
(2星)	 看了几集，看到冠希哥给冰冰姐弄死，那个伤心啊，于是果断不看了            
(3星)	 凭什么陈冠希放在主演位置但是第二集就死掉了！！！我还一直等到最后一集以为他会复活！！！！！！            
(3星)	 希前几集奏死了~~~~            
(4星)	 难得在电视剧里看到陈老师啊。当年高中可红了。            
(3星)	 其实现在完全不明白这部电视剧怎么凑齐这么多大碗 现在拿出来看太惊异了 当初完全冲着edison看完这个 剧情不怎么样             
(5星)	 喜欢陈冠希。。。他死的时候好难过。。            
(3星)	 我给三星半。虽然有那么几集没敢看，不影响。            
(2星)	 就冲着陈冠希去的，结果没一会就挂了            
(3星)	 看到陈冠希被范爷杀了就没再看下去了...            
(NA)	 里面的人物配对、情节走向实在匪夷所思。            
(4星)	 至今没看到结局……            
(3星)	 好像还记得李小璐演的叫千千            
(4星)	 刚刚知道 原来这个是王晶导演的呀~~~~            
