http://movie.douban.com/subject/2333715/	你在微笑我却哭了
(5星)	 沈笑是我初三时的梦中情人            
(5星)	 哎哟我的妈，原来当年我看的时候挺喜欢的那个第一集就自杀的小男孩儿是向南啊！是文章！我穿越了！            
(4星)	 我那時都還不知道高圓圓是誰 可這麼多年了沈笑這名字還是忘不掉            
(5星)	 那时迷死高圆圆了            
(4星)	 简短的 真实的青春            
(4星)	 感情戏处理得很细腻 整个故事是灰色的 让人感动之余总有股劲提不上来 微微沉重的感觉萦绕左右 是部另类的青春剧。            
(5星)	 好像是中考前后看的            
(5星)	 中学时特别喜欢            
(4星)	 第一感觉就是题目不错。            
(5星)	 宋宁特别帅！！！！！！！！！！！            
(4星)	 忘了是哪年的暑假            
(4星)	 恩,青春启蒙            
(5星)	 沈笑。你不知道這個名字這個微笑對我來說多重要。            
(NA)	 看片名就知道这片子有多悲情            
(5星)	 关于诗歌 剧中的陈尘让我很喜欢            
(4星)	 那个我一直以为是黄磊的龙套其实是文章。。。。            
(NA)	 节奏感很特别            
(5星)	 喜欢的题材-高中，喜欢的取景地-青岛，喜欢的明星-高圆圆。            
(4星)	 我主要就是看文章，只有四集            
(5星)	 逃晚自习 就为看这个            
(4星)	 还是书比较好。            
(5星)	 才发现文章竟然在这里露了个脸！            
(4星)	 最好的残酷青春，没有之一。结局太扯。。。            
(5星)	 喜欢高圆圆和宋宁            
(4星)	 才发现是马俪文导的            
(NA)	 宋宁 高圆圆            
(NA)	 高三暑假……小女孩咬嘴唇的表情好像她            
(5星)	 当时真的觉得高圆圆美极了~好早之前和妈妈看的            
(4星)	 好早以前看到的，里面的高圆圆还是学生的样子。            
(4星)	 初二期末考完借来看的书……            
(4星)	 高圆圆啊！！            
(4星)	 你在微笑我却哭了            
(5星)	 高三那一年电视台频繁播这个剧。高圆圆真美。            
(4星)	 没怎么看电视剧版的，但是这本小说还是蹲购书中心看完的            
(5星)	  以前 老家用黑白电视机 看的 很压抑的青春            
(4星)	 因为我爱上了一个姑娘喜欢方子            
(NA)	 不错的故事，就是受不了高圆圆装高中生            
(5星)	 找了很久 回忆里那个阴郁的夏天            
(4星)	 文章真的很帅            
(4星)	 喜欢宋宁。  BY马俪文                   
(4星)	 校花啊校花，你不任性谁任性            
(4星)	 忘了哪一年了。            
(5星)	 从此白衬衣控了。。。            
(4星)	 好像是读初中到底时候看的，还记得沈笑那灿烂的笑。            
(4星)	 当时很是喜欢            
(NA)	  居然有小文 这种小朋友时期呢记忆···            
(5星)	   清纯女神。            
(4星)	  比较喜欢书            
(5星)	 依舊記得最終話沈笑同學釋然純美的笑，帶著成長的重量。是啊。青春。不禁感歎。            
(4星)	 当时觉得挺贴近咱的生活，没有什么绝对的坏人，而且这名字好            
(3星)	 片头的钢琴曲一直找不到，挺遗憾的.            
(4星)	 你在微笑 我却哭了            
(NA)	 先m着            
(3星)	 那是属于曾经青涩的年少时光。你在微笑，我却哭了……很多年之后，还是会想起这句话。            
(NA)	 景华我爱您T-T            
(4星)	 青春的对抗与憧憬。。。。            
(4星)	 高圆圆很清纯。。。。            
(3星)	 第一次看高圆圆            
(4星)	 不至于不至于，高圆圆高圆圆            
(NA)	 燥热而疼痛的青春            
(NA)	 不错            
(5星)	 青春那道明媚的忧伤啊            
(NA)	 那是很久很久以前的事啦            
(5星)	 一直很喜欢马俪文，比如《我们俩》高圆圆从小学开始，就是我心里邻家女孩的代名词了。更没想到是，国内居然有这么写实，残酷的青春剧，简直都超过我习惯的日剧的魅力了，居然这么被埋没了，唉，多好的一部作品啊……！            
(5星)	 里面有高圆圆 有文章 还有大欢子哥哥哦            
(5星)	 圆圆，又本色演出了！！！            
(4星)	 2005            
(4星)	 高圆圆。            
(5星)	 VC加海鲜会死人，在这里记住了。            
