http://movie.douban.com/subject/2342561/	迷离档案
(3星)	 有头无尾的个别案件？            
(3星)	 有点吓人，确实迷离。导演功力不够。要么你就纯科学。要么你就乱掰呗。不要搞成这样。            
(4星)	 古声/守护天使/天才白痴/轮回/降头/邪教/异度/人间蒸发  其实把卫斯理故事拍好了的话就应该是这个样子的了.何超仪那个案子太烂尾了,无法容忍.            
(4星)	 张家辉来无线的第一部就这么成功            
(NA)	 开篇满黑色的~构架还算新颖，剧本有点粗了~纰漏在所难免。时有时无的伤疤~first of may            
(5星)	 这是一部超美的港剧，不是吗，浪漫得无以伦比的轮回、玄妙得无以伦比的穿越……一如黑胶唱片那些优美又有轨迹的螺纹，TVB前无古人后无来者的将迷信这样野解释得如此有逻辑兼且不落俗套。人物性格更是让人爱不释手。这才是真正的沧海遗珠吧。            
(4星)	 结局我真的没看懂。是我想多了么？            
(4星)	 当年这类题材非常吸引            
(NA)	 吓人，没看太多，捞家，可颐，家辉，三个喜欢的，不过太恐怖了。            
(3星)	 虎头蛇尾            
(5星)	 太可怕了！！！！！            
(4星)	 虽然有很多地方虎头蛇尾难以自圆其说，但是还是很不错的一部电视剧。            
(3星)	 现代、案情、悬疑、科学、玄幻、科幻            
(4星)	 节奏相当之紧凑就是结局傻了点            
(3星)	 捞家真是越看越帅！！！！编剧太狗血了，连月光宝盒都整出来了~            
(4星)	 很久远的记忆。对降头印象很深。            
(NA)	 很不待见用科学方法解释啊            
(NA)	 好早好早了。。。            
(4星)	 还蛮有想象力的 最后的两集对白有点好笑            
(4星)	 劇情不錯            
(NA)	 有点荒谬            
(5星)	 除了张可颐,也是在太恐怖了吧,除了恐怖,也实在太好看了吧            
(4星)	 90年代的悬疑剧除了有点苦逼的电脑特效，情节放到现在也不逊色。以下省略1000字脑残花痴言论。            
(4星)	 这剧小时候把我吓shi了……            
(NA)	 有几集看的晚上睡不着做噩梦...&gt; &lt;            
(4星)	 真是我见过TVB最恐怖的一部片。。。            
(4星)	 那时候看了还挺吓人的            
(5星)	 我的龙妈妈，我的超前初中英语都是伴着它出现的。            
(2星)	 噱头够足、奇也够奇，但能坚持看完真该庆祝，全是不了了之的案子，明眼人都知道这瞎掰的厉害，看了两位编剧的作品都挺不错，这部实在差强人意可惜演员了。            
(4星)	 有点吓人            
(4星)	 想当年~~有点小惊悚            
(4星)	 还好happy ending            
(4星)	 比谈情说案好看多了            
(4星)	 T-T            
(5星)	 喜欢这里的张可颐，更喜欢嘉利！！！            
(4星)	 半夜看，真吓人啊            
(5星)	 看到第二集就说过光是张可颐的美貌这片儿就有四颗星了~捞家演的角色还真没什么让我特别喜欢的......看剧同时发生的灵异事件比剧本身惊悚多了....            
(3星)	 tvb很适合做手工听电视            
(3星)	 当年很喜欢，再看之下·······时间啊···            
(5星)	 从头好看到尾的冷门港剧            
(4星)	 确实很迷离啊。            
(4星)	 不错。。。            
(5星)	 绝对排在我心头的第一位呀！！！            
(4星)	 真的把我吓到            
(NA)	 小时候又怕又爱看....            
(3星)	 没想象好            
