http://movie.douban.com/subject/2342578/	900重案追凶
(5星)	 我操 怎么豆瓣上就我们俩人看过啊 这多他吗经典的片儿啊            
(NA)	 童年噩梦            
(4星)	 这个很精彩的!            
(5星)	 最难猜凶手的港剧，其中《咫尺危机》模仿阿加莎的《牌中牌》，《怒土埋尸》和《夺命婚宴》用到了双重否定的凶手设计，不过后者我总觉得是临时改的凶手，此外《校园杀机》好像也有点熟悉的影子。            
(5星)	 小时候看的超级害怕.但是非常好看.那时侯超级喜欢吴启华.            
(3星)	 完全看不到起伏            
(5星)	 当年的温兆伦是真帅啊。            
(3星)	 还不错，那时的拍摄技术~            
(3星)	 没看到结局            
(4星)	 这部的案子其实拍了有点慌的            
(5星)	 力荐力荐力荐            
(3星)	 原来我看过。- -            
(4星)	 好看。当时看的片子都做案件复原的梦。            
(4星)	 重温.对港剧的最早记忆 居然是温sir            
(3星)	 案子拖的又臭又长。            
(5星)	 好看的！            
(5星)	 破案都是经典            
(4星)	 犯罪破案港剧里最值得看的一部            
(4星)	 总体而言比现在的TVB探案题材剧写得有诚意多了，就是奸夫淫妇好多啊，最后一个案子写得有点弱，六个主角的感情戏贯穿得很自然，虽然没有全部配对成功，但这样的结局总比刻意的圆满或写死几人要更似生活。这戏胜就胜在自然。            
(5星)	 高水准            
(4星)	 罗兰果然压轴啊啊啊~~案件尚可，感情戏太扯。            
(4星)	 为什么会没人记得这部剧呢？可好看了            
(NA)	 记的小时候看的时候被吓得半死            
(5星)	 .......童年噩梦之一            
(4星)	 看了倒数第三个和倒数第一个案件            
(5星)	 大概是我看的第一部港剧。起码有50遍。每句台词都背得出来。            
(3星)	 溫兆倫 幼齒時的偶像            
(3星)	 小时候超怕的.            
(4星)	 重温~~~~~~~~            
(NA)	 记忆。            
(5星)	 非常好看 吴启华那时的发型很可笑            
(NA)	 里面的吴启华好帅            
(5星)	 TVB警匪剧启蒙片            
(NA)	 谁他阿姨挺逗的            
(4星)	 早期警匪剧，印象最深刻的是温兆伦的姑妈那一句：“女人的直觉”，^_^            
(4星)	 感情戏太多..案件不錯。            
(5星)	 900追凶，很好看的。。有个案子居然是自杀，小时候很惊讶            
(5星)	 当年吓死我了这片子！！！            
(5星)	 很赞             
(5星)	 我以為我沒看過。。。結果看了一半原來還是看過的= =            
(5星)	 温兆伦。。。我现在还记得这片子很好看额            
(5星)	 被厕所埋尸案吓到            
(5星)	 每次重播都看的。。。TVB你让我少读了多少书啊，浪费了多少光阴啊            
(5星)	 小时候对最后一个案子印象特别深             
(5星)	 儿时最爱            
(3星)	 气死我也 谁也没和谁在一起！！！            
(4星)	 案子都很经典，制作用心            
(4星)	 戴理克温就是长了张让我二十几年都百看不厌的脸我也没有办法。当然案件经典才是最重要的            
(5星)	 重温经典，那么多熟悉的面孔，感慨一下岁月流逝，一晃果真是十几年了。现在看还是年轻时候的温兆伦更让我接受，主题曲唱的也很好听。爱粤语~            
(4星)	 很经典，还记得其中一起是把尸体藏在浴室，用砖头砌起来            
(5星)	 小时候 哈丝丝            
(4星)	 当年的吴启华还是蛮好看的            
(5星)	 很喜欢那个年代的片子  温sir真是帅，不过结局真是……            
(NA)	 小时候狂追啊！            
(4星)	 这……什么结局……（血泪激流            
(4星)	 完成了兒時的未完成。真的真的很恐怖            
(5星)	 这是我看过港剧里最好的探案剧，剧情设计的曲折精彩，男女主角都很惹人爱。            
(4星)	 童年的回忆            
(NA)	 那个浴缸下面的尸体是我童年的阴影~            
(5星)	 初中最爱            
(4星)	 哈哈哈我能说这是我小时候看的么...真的是很小的时候...哈哈哈哈            
(4星)	 居然TVB的探案剧我没看过，那是绝对不允许发生的事情。呵呵，《谈情说案》的间隙，把这个老的探案剧搜来看看~   终于看完了，旧旧的电视剧是看起不咋舒服，呵呵，等新的TVB探案剧            
(4星)	 结局好仓促哇。。            
(5星)	 吴启华+温兆伦+宣萱。。。如此心水的阵容            
(NA)	 小时候只看了婚宴杀人那个部分，从此留下深刻印象！今天我终于把整部看完了= =！            
(5星)	 那时候躲在被窝里看的吓死人= =。            
(4星)	 我觉得我看电视越来越复古了 。。原来的港剧编剧比现在有诚意多了 现在的简直混饭吃用脚趾头都可以猜到凶手吧            
(5星)	 就看破案的。。            
(4星)	 当年看得津津有味啊            
(4星)	 几乎是最早看的港剧 很怀念            
(3星)	 看了这个。。。竟然是成奎安演的。。我不是故意看的。。。            
(4星)	 大傻            
(4星)	 年轻啊！            
(3星)	 中规中矩。            
(4星)	 话说这个以前超好看            
(4星)	 记得小时候看还会觉得很吓人            
(5星)	 小时候印象最深的电视剧之一            
(4星)	 算是看的第一部港剧吧               
(4星)	 差点忘了这片子            
(4星)	 印象好深刻            
