http://movie.douban.com/subject/2343687/	大汉天子
(4星)	 那时候的黄晓明挺不错的；现在何以成了这个见者必呕的怂人            
(5星)	 喜欢卫子夫。            
(4星)	 再也回不去的黄晓明.......            
(4星)	 第一部的大汉天子我还是很喜欢的，演的也很好，卫子夫我看着那个叫顺眼啊            
(4星)	 传奇的东方朔            
(4星)	 东方朔神了，陈道明的演技真是无可挑剔            
(4星)	 竟然因为这个才爱上陈道明。。。            
(5星)	 很好看很好看很好看！！！！！！            
(4星)	 那时候喜欢陈道明            
(4星)	 陈道明，好帅            
(4星)	 忘年恋的东方朔            
(5星)	 东方很飘逸            
(4星)	 王灵，王玲            
(4星)	 我爱大叔~            
(4星)	 道明叔很有味道            
(4星)	 不用说了，东方朔~            
(3星)	 还算紧凑。            
(5星)	 也不错的，我敬重的东方朔正好是陈大叔演，真淡定，我喜欢，也从上面第一次看到小明同学            
(4星)	 黄晓明唯一不让人讨厌的电视剧            
(NA)	 给跪了            
(4星)	 四星给明叔❤            
(4星)	 明哥！            
(4星)	 那时候黄晓明还能看~~            
(4星)	 陈道明还是那个陈道明，黄晓明已经不是那个黄晓明了。            
(4星)	 选角挺好剧情不错            
(4星)	 卫子夫。陈道明。我最喜欢。            
(5星)	 一般般吧，但是我总觉得黄晓明不适合演皇帝。            
(4星)	 东方朔好神奇            
(3星)	 SB明的开山之作。            
(NA)	 看这个的时候我很喜欢黄晓明，但是以后他的戏路越来越奇怪了。            
(4星)	 前二十集比后二十集好看。最后十集很无厘头。            
(5星)	 那会儿觉得教主多帅啊            
(4星)	 还行。            
(3星)	 那时黄晓明还不装B            
(4星)	 过。            
(NA)	 黄晓明那会虽然也不萌吧 但起码不像现在看着烦            
(4星)	 说真的，这部电视剧还挺好看的，我觉得应该是改编自《智圣东方朔》的小说吧，在我初中的时候这一系列还挺火的。            
(NA)	 补遗             
(3星)	 黄晓明恶心的            
(3星)	 张远。。。= =            
(3星)	 剧情那个乱改啊，我居然很喜欢里面的卫子夫，以致于对历史上的卫子夫都心生同情            
(3星)	 我觉得陈道明很有内涵。            
(3星)	 还不错，黄晓明的片子只有这个可看            
(3星)	 贾静雯简直是古装戏女神            
(NA)	 闹太套当年还是啧啧。。            
(NA)	 看着不让人产生一树梨花压海棠之类的感觉的老少配……也就这部剧了吧            
(3星)	 明叔神神道道的。            
