http://movie.douban.com/subject/2347231/	奇人奇案
(3星)	 小时候觉得超级恐怖。            
(4星)	 童年阴影之一  严宽为什么没红为什么为什么            
(4星)	 小时候记忆很深的一部片子            
(3星)	 正是迷李若彤的时候，其实此片是非常囧的            
(5星)	 好奇葩的一部剧。。里面的每一个人我都好喜欢，无论多么不重要的角色，所以我那时是神马心理啊！！！！            
(5星)	 乐宾~乐宾            
(5星)	 严宽多帅啊！            
(5星)	 小时候最喜欢的电视剧，天天追！里面每个人物我都叫得出名字！李若彤好漂亮严宽帅爆了！            
(5星)	 五星感情分。这片留给我印象最深的是当时班上女生分成了耿乐和严宽两派；淑女屋的衣服真好看啊不过后来到了可以穿的年纪人家改做朋克路线了（扶额）；阳台上吹口琴的少年（其实是青年）的剪影在记忆里停了很多年；大蝙蝠哈可怕；后来想到这应该是第一次看到会动的异装癖诶            
(NA)	 与端木紫一样的童年阴影！            
(4星)	 3.5，为严宽和姑姑加半颗星            
(4星)	 有点CULT            
(NA)	 找你好久。            
(5星)	 严宽啊！就是你这部剧帮我奠定了审美观啊！！            
(3星)	 看帅哥啊            
(NA)	 其实我一直不知道结局是什么！！！            
(4星)	 很诡异  我看过的             
(3星)	 严宽蛮帅的            
(4星)	 卧槽家里进了蝙蝠才想到这个！            
(NA)	 童年悬疑片 严宽为什么不红啊。。。            
(4星)	 小时候看巨恐怖            
(NA)	 刚刚突然又想起来了。。。。这电视剧绝逼是我童年一大阴影。。。。但是为毛我记耿乐和严宽一起吃馄饨面的那一段记得那么清楚啊！！！！那时候我才几岁啊！！！            
(3星)	 翻版西方奇幻片。            
(5星)	 當年的嚴寬貌美到我想死==            
(4星)	 童年奇葩cult剧。一见严宽误终生……啊。            
(5星)	 看几遍了 我就是喜欢 严宽帅啊             
(4星)	 昨学姐一提我想起来我还看过这个。。。            
(4星)	 恐怖！            
(5星)	 李若彤！            
(4星)	 我找好好久阿阿阿阿 在我的年纪看这电视剧已经相当cult了 我还记得胖子被蝙蝠咬的情景 超怕的            
(4星)	 哦买嘎~当年看的时候还是有吓到~            
(NA)	 啊。。。            
(4星)	 ……蝙蝠心理阴影啊！            
(4星)	 我初中的时候好爱好爱，还爱死严宽了！o(╯□╰)o            
(3星)	 还能打哦            
(4星)	 很恐怖。。。            
(3星)	 我对严宽还挺有爱的 可他怎么总拍烂剧呢            
(3星)	 郑则仕老矣。            
(4星)	 当年觉得严宽好帅，这部片子好神奇。。。            
(4星)	 李若彤、严宽、郑则仕，且还是我爱的破案题材~~~            
(5星)	 里面好多帅哥啊帅哥！叶医生好帅啊好帅！            
(4星)	 服装造型美的没话说 这剧对当时的我来说真是跳脱的世界观啊            
(4星)	 有点记忆来 严宽在里面是坏人来着的            
(NA)	 比较诡异的剧，当时我还以为案子不止一个呢。飞飞是最有人格魅力的，我们当时全班赞成。            
(4星)	 除去蹩脚的电脑设计，我自起爱上了小女孩不倦。            
(NA)	 美女。。好剧。。 就是好吓人啊~&gt;&lt;~ 呜呜呜呜            
(NA)	 啊啊啊啊吓死个人了 印象好深            
(NA)	 以前电视里放的片子尺度比现在大得多             
(4星)	 还挺好看！严宽贼帅！！！            
(NA)	 =  =。。。几百年前看的，。。。记得男主角好帅。。            
(NA)	 当年觉得好好看很惊悚，最后一集一个人在家看的，吓得不敢睡觉。            
(5星)	 严宽真是很帅啊~~~~~~~~~            
(NA)	 小时候看的 老吓人了            
(NA)	 【2000】            
(4星)	 小时候真的是看了怕，越是怕越要看。小时候看过最恐怖诡异的一部电视剧，绝对印象深刻。回想起来小时候超喜欢里面的严宽和郑国霖的呀！            
(3星)	 童年阴影。            
(NA)	 阴影啊。            
(4星)	 竟然不是港片？！            
(4星)	 当年把我吓ten咯~            
(5星)	 巨好看，那年跟邻居的暑假都耗这部剧上了            
(4星)	 童年童年记忆好嘛.....            
(4星)	 这才是我对严宽最美好的记忆啊！！叶玉树啊！！！连易继峰跟他比都弱爆了啊            
(4星)	 当年还真认真追看欸            
(4星)	 我小时候好爱看这个啊！！！！！！！            
(NA)	 寬哥啊～～            
(NA)	 挺喜欢看的，当时喜欢李若彤            
(4星)	 这剧我印象深刻啊！很cult的！            
(2星)	 当初看的时候 妹妹还没出生 和妈妈一起猜结局是什么 结果觉得最帅的大帅哥居然是坏人 心痛死了            
(4星)	 一部剧奠定严宽在我心里的美人位置！没看过这个的人八什么八。。。主演们都 美惨了！            
(5星)	 喜欢耿乐            
(NA)	 小学时候超级好看            
(4星)	 蝙蝠 男人哭吧不是罪 还是民国戏 很经典哦~            
(4星)	 一星加给里面的俊男靓女            
(4星)	 印象很深啊，那些蝙蝠。。            
(4星)	 童年阴影！            
(4星)	 这片子诡异得很。。。变种大型吸血蝙蝠就不说了。。。感染那个病毒以后会看见自己潜意识里的恐惧。。。这个太恐怖了。。。片子里那些感染病毒的人的潜意识恐惧还怪异得很。。。肥猫在片子里也半阴不阳的。。。总之小孩子千万别去看。。。。。            
(5星)	 其实很好，剧本好，演员好，道具场景还原出色            
(4星)	 小时候看的，觉得诡异无比。。。那些蝙蝠，还有幻象，结局都给忘了。哪里有斯琴高娃啊，只记得严宽很帅。            
(4星)	 当年觉得严宽好美腻啊            
(NA)	 蝙蝠什么当时吓屎了，记得严宽好象是个背负血海深仇的腹黑美青年。            
(5星)	 小时候吓的做噩梦。            
(4星)	 小时候看这部剧开始喜欢严宽的。            
(4星)	 大蝙蝠啊！！            
(3星)	 我就记得男女主跳楼了……            
(NA)	 我就是突然想起这部电视剧来            
(4星)	 网上重温中~其实我还蛮讨厌李若彤的= =            
(4星)	 這個當時覺得很恐怖啊！            
(4星)	 那个夏天，一丝惊悚            
(NA)	 哈哈。胖胖的郑则仕好可爱。            
(3星)	 这个很恐怖！！但是有点莫名其妙。。。。            
(5星)	 小时候看的 简直吓死我            
(4星)	 宽哥好帅啊            
(3星)	 重温后发现片中的每个场景都很熟悉，车墩影视城。。。。剧情嘛很拖沓，不推荐            
(3星)	 小时候的记忆了 那时候觉得郑国霖很帅            
(NA)	 小时候很喜欢看的 有几个画面现在都还记得 找时间重温吧！            
(3星)	 童年恐怖记忆            
(4星)	 童年阴影            
(NA)	 = =            
(4星)	 小时候好喜欢这部剧啊，挺恐怖的，严宽好帅的            
(4星)	 那时候严宽多帅啊            
(4星)	 初中看的时候确实很害怕。找这个名字找了半天~~~~~~            
(5星)	 印象深刻的！当时很迷的！            
(3星)	 晕，那人是严宽。。。            
(3星)	 小学生脚得这个有点恐怖…            
(NA)	 那时候觉得好恐怖            
(4星)	 小时候大爱这部             
(4星)	 质量不错的合拍片。            
(4星)	 都忘记是什么时候看的了 只是还记得,看着有点恐怖...            
(NA)	 严宽在里面简直帅得无可挑剔了~但也只是帅。。。而已            
(4星)	 暑假的时候，租碟片看的。            
(4星)	 童年大爱            
(3星)	 对那些蝙蝠的印象深刻            
(3星)	 小时候觉得好恐怖            
