http://movie.douban.com/subject/2347251/	黑夜彩虹
(4星)	 三位演技都很好。            
(3星)	 黎姿演出角色的那种可恨之人比有可怜之处的味道 角色本身比ada的好            
(NA)	 对蔡少芬接受无能            
(3星)	 我好爱蔡少芬啊。            
(3星)	 处女女+金牛男+天平女            
(NA)	 比妙手仁心更生活 喜欢            
(2星)	 有黎姿我也看不下去            
(5星)	 一直在寻找的那副拼图 黑夜彩虹            
(4星)	 吴启华和蔡少芬很配 黎姿演坏女人也很有看头            
(5星)	 一部纯粹的励志片            
(4星)	 喜欢他们俩,喜欢市民的样子,我从昨晚看到今天凌晨五点一口气22集啊啊            
(3星)	 东南卫视放过.挺喜欢芬的.至于内容.不好评说.            
(4星)	 因为我也相信奇迹总是能在平凡中产生的……            
(3星)	 人物塑造单薄了些            
(3星)	 大学。黎姿演坏女人也是美。            
(4星)	 吴启华+ada。            
(4星)	 这部片子让我知道，即使你长得再漂亮，官配不是那么容易拆散的，恩            
(NA)	 只记得黎姿amy            
(3星)	 妙手仁心里的有情人终成眷属            
(5星)	 我看的时候觉得可好了            
(NA)	 黎姿的壞女人竟然還是沒有出彩過蔡少芬的女主。不過壞女人穿著紅色晚禮服亮相的時候，實在是太漂亮了。            
(2星)	 黎姿真是大美人            
(NA)	 这是一部我在低潮时候一定会看的剧,情结一般,但就是能打动我,爱的一不得了            
(4星)	 还是因为固定的那几个人才看的。。。            
(3星)	 唉 妙手永远无可替代            
(4星)	 黑夜里的彩虹            
(2星)	 不喜欢这个故事的走向和结局，总觉得他们不是最适合的演员。             
(5星)	 不知重复看过多少遍的片子~            
(4星)	 很好看哦，ADA演技派啦，黎姿演反派哦，情节都很连贯。            
(3星)	 很立志            
(2星)	 完全衝著妙手仁心組合看的。可惜一點都不喜歡。            
(5星)	 四个年轻人的奋斗            
(3星)	 假装陈至美!?            
(5星)	 很爱/。            
(NA)	 有点假            
(4星)	 http://tvcity.tvb.com/drama/fatewisters/story/index.html            
(NA)	 黑夜彩虹            
(3星)	 原来黑夜真系有彩虹！            
(4星)	 最喜欢主题曲            
(3星)	 四个非常喜欢的演员凑在一起喽！            
(4星)	 8.1            
(3星)	 凄惨+励志～            
(3星)	 【好無聊的開始馬克看過的TBB】這部劇給我最大的感觸是：無論你長的多好看官配不是那麼容易被拆散的。            
(3星)	 当年看的时候特别喜欢关礼杰，我居然现在还记得这部电视剧的名字            
(3星)	 黎姿是演坏人            
(4星)	 蔡少芬令我印象很深的一个角色，常喜，比珠光宝气的阔太出彩很多~和吴启华的情侣档也很赞。。            
(3星)	 我真的看过好多港剧啊            
(5星)	 还好，最后真的拼出了黑夜彩虹。            
(4星)	 很喜欢这个主题曲~~            
(3星)	 只记得黎姿了            
(4星)	 相信奇迹会发生？            
(4星)	 黎姿的坏女人很美            
(4星)	 好几个暑假，和妈妈租各种碟片看，TVB的看了一大堆，印象都挺不错的。            
(NA)	 太勵志了。            
(3星)	 一般            
(4星)	 一般般啊。            
(3星)	 老片~吴启华我喜欢~~            
(NA)	 因为这个写进音乐课小作文里，可见我实在很矫情。            
(3星)	 关礼杰啊关礼杰。。。            
(3星)	 其实最不喜就是打励志牌诶            
(4星)	 私生子的故事            
(3星)	 黎姿短发，演坏女人~            
(4星)	 吴启华和蔡少芬继《妙手》后再续前缘，故事和演员都不错。            
(3星)	 吴启华和蔡少芬是官配啊~~            
(5星)	 只要肯努力，纵使在黑夜里，也能看见彩虹            
(3星)	 芬芬角色有点苦B，老吴也没有妙手时期帅了……            
(4星)	 黎姿 吴启华 蔡少芬都喜欢。不喜欢关礼杰。            
(3星)	 女性励志剧！            
(4星)	 印象很深的一部剧，大爱蔡少芬。美死了            
(5星)	 经典 和老妈一起看的            
(5星)	 蔡少芬在这里很可爱坚强             
(3星)	 这个励志的程度不是一般般啊            
(4星)	 你想不相信世上有黑夜彩虹            
(3星)	 人老了啊            
(4星)	 很喜欢主题曲~            
(3星)	 小时候看的，那时候挺喜欢的            
(3星)	 没看完            
(3星)	 哎，我又看过            
(5星)	 当年超爱            
(3星)	 冲着主演去的，陈志美医生给我的印像太深了            
(3星)	 看过~~~只是觉得和当时一部有宋慧乔的韩剧剧情很像而已~~又抄袭的嫌疑            
(3星)	 为爱而努力，真爱抢不来~            
(4星)	 一直都觉得吴启华很帅            
(3星)	 一般。            
(4星)	 很好看呢！可是看的人不多            
(5星)	 剧情描写感觉还不错，吴启华和蔡少芬的演技就两个字厉害            
(3星)	 黎姿》蔡少芬            
(3星)	 黎姿很beauty。            
(4星)	 难得黎姿做衰人            
(5星)	 真好看            
(3星)	 关礼杰蛮帅的！            
(5星)	 最爱            
(4星)	 算是给妙手仁心里面的程至美和Jackie一个圆满的结局，满意了。            
(3星)	 对黎姿演的反角印象比较深刻            
(5星)	 这部片是一张一张VCD塞进去看的。是看好洛神后来看的，ADA好似堕入凡间的精灵，为了“爱女”顶着鸡仔服在街头奔跑。远远超出在妙手仁心中我对吴启华和蔡少芬合作的感动。棒。黎姿的角色隐约有东野圭吾的笔下疯魔女主的雏形啊。利用别人的情感操控别人的情感是那么不顾一切。            
(4星)	 Ada很动人 黎姿超美艳！！！            
(4星)	 小时候的片子，MS有点印象。。。            
(3星)	 就是不稀罕TVB那种乐观向上善良无比的主角，所以喜欢上黎姿。            
(5星)	 真的很好看。不过结局有点出人意料。            
(4星)	 一部可以称为 妙手仁心I 的续集的精彩剧集。虽然故事中的人物的表现有一点点过， 但丝毫不妨碍我们作为旁观者来看这一段纯粹感情的走向。真心祝福天下有情人都能终成眷属！            
(3星)	 喜欢吴启华和蔡少芬搭档            
(4星)	 他们终于可以在一起了            
(5星)	 蔡少芬这个角色真是真善美集于一身            
(5星)	 演员表演很精彩，            
(3星)	 男女主角都很优秀            
(4星)	 还是比较喜欢黎姿。            
(NA)	 看此剧记住了Logistics。。。            
(4星)	 amylan的独角戏            
(4星)	 不一样的黎姿，一样的蔡少芬。            
(5星)	 好人有好报，费劲心机者最后也不得善终。这部片子的亮点正在于生活化和温情，特别是前面和中间部分始终有一种暖暖的温情，又不失幽默，让我回想起一些当年看美味情缘的感觉，同样推荐给大家。黑夜彩虹是希望的象征，只要不失去希望，总能够等到奇迹的出现。            
(4星)	 黎姿是奸角。那小妹妹太可爱了，TVB著名的童星            
(5星)	 虽然剧情很狗血，可是我很喜欢            
(2星)	 很土            
(4星)	 很少看到Gigi演反派            
(4星)	 还想看一遍            
(3星)	 相亲相爱的到最后不是很好吗            
(5星)	 蛮经典的TVB剧            
(4星)	 还可以            
(3星)	 無趣            
(4星)	 吴启华里面还满伟岸的。。            
(3星)	 Ada            
(NA)	 吴启华            
(2星)	 乏善可陈            
(NA)	 ada的好戏。。配上成珈莹演绎。。很好            
(NA)	 很喜欢那个小女儿            
(4星)	 歌也不错            
(3星)	 冲着黎姿，熬一个通宵把它看完，没有想象中的好。            
(3星)	 蛮怪的部电视剧~            
