http://movie.douban.com/subject/2347257/	刘伯温传奇
(5星)	 小时候的记忆 好看 好看            
(5星)	 我的眼睛就是看这个电视剧给搞近视的，囧，TT            
(3星)	 丁冲、王凯            
(3星)	 三星半            
(4星)	 初中的时候相当火            
(4星)	 小时候喜欢。觉得刘伯温神机妙算            
(4星)	 记得当时是有线1演的，现在应该是北京4了            
(NA)	 哇塞，超小的时候看的电视剧！            
(4星)	 神机营……            
(NA)	 每一集在最后紧要关头刘伯温一声令下丁冲王凯亮出尚方宝剑，这些至今都还记得···            
(5星)	 居然找到了。。            
(4星)	 跟着刘伯温到处旅行看各地的奇闻轶事            
(3星)	 这是那小小小时候的事儿了            
(NA)	 这个印象比较深。            
(4星)	 小学二年级左右的片子            
(5星)	 童年回忆，我的明朝开国历史兴趣激发篇～～            
(4星)	 小时候超超超喜欢看这个，现在都想再找来看！！！有时候一定再看！看全了！！！            
(NA)	 一天收音机里播了一首特熟的歌，后来想起就是此剧的插曲。            
(3星)	 原来大家小时候都迷丁冲啊，不过现在都迷玉竹了            
(5星)	 其实做人的道理是这样的            
(3星)	 尚方宝剑            
(4星)	 很有味道的一部剧。            
(4星)	 看了两个单元。哪两个？微笑，微笑就好。            
(3星)	 看过～            
(4星)	 刘伯温&amp;丁冲传奇            
