http://movie.douban.com/subject/2348524/	律政新人王
(NA)	 看到一半，竟然开始喜欢林峰。嗯。。。看完又不喜欢了。。。            
(4星)	 这么爱跟vincent这条线～            
(4星)	 阿苗超帅~            
(4星)	 小峯峯好傻好黑愛死了。。。。。。            
(4星)	 TVB总是这么几个人……包括客串……            
(3星)	 斗智天使路,囧一个....            
(4星)	 乐BEN!            
(4星)	 胡杏儿造型干练。四个年轻男女的轻快剧集，也不过是贪个有趣。            
(3星)	 林峰啊 苗苗啊 都很喜欢哒~            
(NA)	 那个时候看林峰完全没有感觉。。。。            
(3星)	 陈键锋！！！！！！！！！！！！！            
(4星)	 林峰林峰林峰啦。            
(4星)	 前面好看点，苗苗怎么老是演冤大头            
(4星)	 vincent被停牌还是觉得满惨的 一个再优秀的人好胜到过分就会走上歧途 替他惋惜 在他低谷的时候 lingling离他而去了 只有jessica在他身边 也许ben和lingling才是非常可爱的一对 伟大的ben            
(3星)	 胡杏儿这个女人真不是一点点的丑！林峰那时候还真嫩呦~~            
(3星)	 胡杏儿还可以再丑一点！            
(3星)	 一般            
(4星)	 律政新人王             
(4星)	 那时候TVB片子质量不错            
(4星)	 我真是非常讨厌陈键锋演的这个男二号！！！            
(3星)	 只有阿苗跟现在的外貌是一样的，其他人怎么差那么多！！！            
(3星)	 我不理解一个胡杏儿为毛都能有阿苗和林峰两人争?....            
(4星)	 苗苗同学总是这么苦情            
(3星)	 基本下一步都可以自行判断出来的剧情== 挺智叔~            
(3星)	 毁了好几个下午。。。谁让我喜欢TVB呢。。。呵呵，下不为例了。。。            
(NA)	 12            
(NA)	 律师            
(3星)	 林峰的这部我不喜欢            
(4星)	 陈键锋大胜还没整容的林峰好不。            
(3星)	 马国明在里面摸屁股  第二部就是男一了。。            
(4星)	 还不错 不过结局= =很容易            
(4星)	 很不错，就是那时候林峰实在太丑了。。。            
(3星)	 怎么看陈键锋怎么不顺眼            
(5星)	 我的锋锋！林峰今天来，真人见不到啦，看看屏幕里的也不错啊！~            
(3星)	 曾经让我萌生当律师的念头的电视剧 lol            
(4星)	 还是第一部比较好看。            
(3星)	 丝毫没有印象            
(4星)	 原来“斗气天使路”就是“律政新人王”呀！这名字改得……            
(NA)	 口味又随和了～～随便看看            
(NA)	 搞不懂在内地播放，名字就变成《斗智天使路》。囧。            
(5星)	 最近喜欢法律题材的。。。            
(5星)	 就冲着如此帅气的某苗，给5颗心不过分吧            
(5星)	 新人王们崭露头角啊            
(4星)	 不错！            
(3星)	 年少回忆。            
(4星)	 初三暑假。            
(4星)	 那时候第一次看到林峰和胡杏儿.            
(1星)	 没什么印象了,好东西是会让人留下深印象的            
(NA)	 小时候也想当律师            
(1星)	 胡杏儿实在囧。。。            
(4星)	 就1最好看了            
(4星)	 还是喜欢里面的陈键锋。喜欢会哄人而重视事业的男孩子。            
(4星)	 01.14.09-01.16.09[2003][TVB][律政新人王][双语][DVD-RMVB][兰萌][25]            
(NA)	 没事干的时候看这种剧很快的，刷刷刷一天看完，习惯了TVB的帅男丑女配我早无语了，喜欢林峰和苗。            
(3星)	 在此忽然发现杏儿的好看～            
(4星)	 如此可爱 如此美好啊~哈哈            
(2星)	 胡编乱造            
(NA)	 【2003-07-14】            
(4星)	 虽然青涩，但是确很经典，我喜欢那个时期的所有人，，，            
(3星)	 后面太扯了            
(3星)	 看在苗苗的份上看的。但是胡杏儿真的让我看的很难过啊。特别是她笑起来的时候。。。女主角都不好看。为什么呀！！！最后的大结局也吭爹            
(4星)	 诶哟 我想吐槽马明客串的那个变态丝袜控啊哈哈哈~笑到我了XD  好中意峰少啊~            
(4星)	 我也喜欢苗苗~廖碧儿没那么丑了，可怜的大脸。。。可怜了精致五官            
(4星)	 林峰和陈键锋哪个更帅？我稍微有点迷茫了……胡杏儿短发很精神。            
(4星)	 ben仔最可爱            
(4星)	 不错的法政剧，但是里面的服装丑得实在是太令人发指了            
(3星)	 sammul不能这么帅的啊!!!看得我移不开眼睛啊!!!            
