http://movie.douban.com/subject/2357299/	楚留香传奇
(1星)	 神作            
(3星)	 石观音 琳琅 秋瓷炫 若不是她 也没有看的必要            
(2星)	 幸亏古龙仙逝得早……            
(1星)	 这绝对是颠覆...            
(1星)	 忍无可忍，忍无可忍。            
(1星)	 神啊劈死朱孝天这货吧……            
(3星)	 朱孝天要减肥！不然没法看！胖的朱孝天=阿杜 胖的阿杜=高晓松……            
(1星)	 若不是为了胡静。            
(1星)	 楚留香那肿肿的脸蛋儿。。。囧            
(2星)	 受不了的烂片，除了美女，一无是处！            
(5星)	 秋瓷炫是我看到过最好的演员，你永远在我脑海里            
(1星)	 朱孝天何来的自信敢演香帅            
(2星)	 石观音好漂亮            
(2星)	 我们家老胡太丑了            
(3星)	 胖子多作怪            
(2星)	 这都是啥啊~            
(1星)	 我要严重的唾弃！从编剧开始！            
(NA)	 补遗                 
(3星)	 朱的演技在这里还不错．成熟了许多．            
(NA)	 大二下期末复习时。片尾蛮有感觉。            
(2星)	 CCTV8。纯属胡诌。            
(1星)	 想自插狗眼            
(1星)	 我想负星            
(3星)	 我爸爸都说这个包子楚真是绝了            
(1星)	 鞠导说：怎么拍都没办法把他拍好看！哈哈哈哈哈哈哈            
(3星)	 配角太烂了，编剧也差。还好有两 个亮点就是风度扁扁的朱孝天和国色天香的秋瓷炫            
(2星)	 我觉得琳琅好惨。。。主角形象太糟糕。。。            
(2星)	 两颗星给秋瓷炫            
(2星)	 减肥吧你。。。            
(4星)	 玉观音：一个女人拥有再多的金钱权势，也比不上一个男人温暖的怀抱。            
(3星)	 看到朱孝天就想笑。。。            
(NA)	 真难看。楚留香丑死了。            
(1星)	 俺的小胡在哪里！！！            
(NA)	 鞠导你堕落了……朱孝天这纯属搞过摄影师或者造型师的妹妹吧，怎么搞成这种史上前无古人后无来者的二逼楚留香的形象的……            
(3星)	 阿凡提            
(1星)	 垃圾            
(1星)	 没看过，就打分。            
(1星)	 这货居然是鞠觉亮拍的，真是。。哎。。不敢相信他能拍这么烂的片子~~            
(3星)	 看美女～朱孝天越长越包子            
(1星)	 给一分给景的            
(1星)	 这个楚香帅看着就脑残。最美的是柳无眉。心如蛇蝎的毒女人。            
(1星)	 给一颗星太多了。但除此以外，无法再用别的形式表达这部剧真的有多令人作呕。我们坚信：楚留香不应该是肥头大耳的吃软饭者。            
(4星)	 朱孝天你能再瘦点吗？            
(1星)	 好意思演楚留香            
(3星)	 阿凡提你好 阿凡提再見！            
(1星)	 绝对是大哥大了！！！            
(1星)	 雷死人不偿命的！            
(2星)	 俺以前的偶像。            
(NA)	 白发美女            
(1星)	 我的天哪，香帅？！从此之后，再也提不起兴趣去看《楚留香传奇》的系列了……谢天谢地，古龙先生仙逝得还算早。            
(4星)	 美女太多            
(1星)	 被毁了的香帅呃            
(3星)	 因为美女们            
(2星)	 要不是月亮城大王，我真是无法看着朱孝天的肥脸啊。            
(4星)	 天下第一处处留香的楚香帅！            
(NA)	 开始迷恋朱孝天，怎么办            
(2星)	 楚留香要是长成这样 我立马去死了            
(1星)	 猪版的……            
(NA)	 我只喜欢无花!!其他免谈!!            
(3星)	 除了男主角以外，这部剧还是可以~            
(1星)	 勉强给一个差            
(3星)	 胖胖的楚留香大哥.            
(1星)	 如果可以给零颗星的話，我一定会毫不犹豫，义不容辞的。编剧错漏百出，前言不搭后语，对白幼稚肤浅，简直不把观众的智商当回事。实在看不下去了我！            
(1星)	 就是里面的姑娘一个个长得还不错，怎么找朱小田来演了。怪不得琳琅这么眼熟，原来是秋瓷炫            
(3星)	 朱孝天 你知道自己现在有多肥吗。。。            
(1星)	 干脆叫楚牛香吧 符合朱孝天那浑身烧烤味的气质            
(2星)	 多一星给里面的女演员吧            
(3星)	 非常喜欢沙漠的景色~也喜欢秋瓷炫，她的美一直那么波澜不惊            
(1星)	 于妈编的啊……我笑了            
(5星)	 排除朱孝天这个不太符合楚留香气质的人             
(1星)	 果断砍            
(2星)	 有些剧情很莫名其妙……不过宋甜儿和胡铁花这一对儿比较可爱。            
(5星)	None
(NA)	 幸亏古龙仙逝。丫看了能气活过来.            
(3星)	 除了朱版楚留香一切都还不错~~~特别是铁观音~~喜欢            
(3星)	 初中中午成天看            
(3星)	 于麻麻当年就毁过武侠了。。。也不在乎多毁一个了。            
(3星)	 看美女们来的，石观音最美！秋瓷炫，还演了《大旗英雄传》里的水灵光。古龙笔下的几个绝美的女子都被她演了，中国美女们争点儿气啊。            
(3星)	 抛却楚留香这一人物形象的问题的话，还不错看，胡静是我为少数DJ的GN            
(3星)	 最不帅的楚留香。            
(3星)	 大学宿舍集体回忆~虽然猪啸天又黑又肥，虽然胡静尖嘴猴腮刘海土鳖，虽然看到棒子女主完全对不上的嘴型真的很出戏~but甜儿还是很甜的嘛~没有暴露出猥琐真面目的陈同学还是很不羁的嘛~后来去网王步步打酱油气质大变的无眉妹子当年还是相当惊艳的嘛~一群人坐在一起看电视真的很快乐啊哪怕是雷剧哈哈哈            
(3星)	 看在这么多美女的份上， 我忍了            
(NA)	 看了一点。。。额呵呵呵呵神马玩意儿            
(1星)	 这片原来也是于妈的手笔，哈哈哈哈哈            
(3星)	 各种雷            
(2星)	 美女不多亮点多            
(2星)	 媽呀...嚇shi我了...            
(1星)	 好难看的楚留香            
(1星)	 除了美女较多，无可取之处~主要因为它毁了我童年回忆，TMD！！！            
(1星)	 尼玛那个腰带就勒在水桶腰上啊！！！            
(3星)	 我充无花看的……            
(4星)	 近期最和胃口的电视剧 有个地方很奇怪：琳琅听说楚留香被杀了后杀了周围所有的人，在杀大王的时候楚留香他们回来了，按照正常的反应她应该会立刻跑去心上人（楚留香）身边问他身体怎么样、有没有出事，而不是仍然拉着大王不放，坚持要杀他，这点与前期她对楚留香的爱严重不符。            
(NA)	 痛......            
(NA)	 当年还想说什么烂剧情 现在才知道是于妈的 你牛的 可以的             
(3星)	 很早以前看过，孙菲菲和胡静很漂亮            
(1星)	 史上最胖的楚留香            
(5星)	 琳琅啊。。。            
(NA)	 哎……又一个被败惨的古龙剧            
(2星)	 哈哈            
(1星)	 其实我一直记不起朱孝天这演的角色啊，前几年电视上的，我一直以为他演的像个卖羊肉串的！！！！            
(2星)	 哈哈，彼时我还不知道是于正编剧，如今终于知道那些四不像的桥段来自何处了            
(1星)	 尼玛的、、于正            
(2星)	 一个猪版的楚留香，毁了多少如花美女！            
(2星)	 朱孝天。。太失望了啊。。楚留香长成这样。===            
(2星)	 我的香帅哪有可能长成这样……气质神韵均无。于正还说自己是中国第一编剧，他将楚留香传奇改成什么烂剧本啊，这是最令我不爽的地方            
(4星)	 这部以前喜欢的            
(NA)	 有这么胖的楚秋留吗            
(1星)	 卖羊肉串咯！            
(2星)	 主角废柴 配角出色 无语兮            
(2星)	 男主角完全没有把楚留香的风流倜傥表现出来。。。            
(2星)	 石观音.            
(4星)	 好多美女的说。            
(1星)	 胡静秋瓷炫刘佳都挺漂亮的，一个猪哮天扣掉所有分……            
(2星)	 编剧的脑子肯定灌进了天一神水。一星崔鹏，一星王传一——的颜。            
(1星)	 我呸            
(3星)	 有史以来最难看，最呆的楚留香再此            
(NA)	 好吧，我看过这版 =       = 。            
(1星)	 终于知道古龙也能被糟蹋到这份儿上            
(3星)	 服装很不错            
(2星)	 妹的 二星给秋瓷炫┭┮﹏┭┮            
(2星)	 这个楚留香让我不淡定了            
