http://movie.douban.com/subject/2364060/	隋唐英雄传
(3星)	 谢君豪的杨广演绝了！            
(4星)	 我好喜欢隋炀帝哦            
(4星)	 演杨广～绝了            
(3星)	 皇上好帅...            
(4星)	 我爱蓉蓉啊，好在有情人终成眷属~哎，还记得罗成死的那叫一个悲壮            
(NA)	 罗成啊,我太喜欢你了.小裴,你死得不值            
(4星)	 大约可以给个四星，虽然为了迎合现代人需要加了很多很多很多...很多的言情戏份，但是隋唐的故事我非常喜欢，我爸也喜欢，跟家人一起看，还聊了很多，对我来说有加分点            
(4星)	 觉得还蛮好看的其实……            
(3星)	 每次想到罗成的惨死就……            
(NA)	 看过几集，看帅哥。恩            
(NA)	 好看！            
(3星)	 没有一个美女是养眼的            
(NA)	 好久以前看的电视剧了，一直很喜欢隋唐英雄。            
(4星)	 倍儿适合改变成《赵云传》一类的游戏..            
(3星)	 打发时间……            
(NA)	 隋唐JQ传            
(4星)	 片子还行，我爱黄海冰！            
(4星)	 在保证娱乐性的前提下还没有使用太过夸张的表现艺术手法，在如今已经挺难的得了。            
(3星)	 很一般            
(4星)	 当年高中就为了这个下午历史课迟到！            
(4星)	 真心觉得有几个男主是我喜欢的- -！            
(3星)	 某君说他是编剧            
(4星)	 剧本身不怎么样，但是锅子演的李世民实在是太迷人了！            
(4星)	 秦王的颜真是秒到我了。。。            
(4星)	 喜欢罗成，乱箭穿心而死，太惨了，那时候恨死编剧了            
(3星)	 聂远古装非常帅~            
(3星)	 看过一大部分，还是挺喜欢李世民滴= =            
(4星)	 罗成家那个十八骑真是帅~可惜被解散了！            
(3星)	 郑国霖            
(3星)	 罗成死的时候，泪奔了            
(3星)	 罗成啊，只要罗成帅就行。            
(3星)	 聂远的罗成颇帅            
(3星)	 看杨广            
(4星)	 难得一部拍隋唐的~罗成很帅！            
(4星)	 平平淡淡，不功不过，可怕的是罗成一死表哥一哭竟让我泪奔了。            
(4星)	 昨晚住院时看的电视剧，找回了很久之前很安静地看电视剧的那份心境。其实电视剧都无所谓好坏，主要是看剧的人的心情。这个剧也是住院美好生活的一大回忆，回家还有些不习惯呢~就看见黄海冰对李蓉蓉特别好的那段，很中意黄海冰~            
(4星)	 各种偶像            
(3星)	 这女的就是很多余嘛            
(3星)	 乱世出英雄，瓦岗出枭雄。几枚小生在里面，很是养眼。打发时间的剧集。            
(4星)	 聂远超帅超帅！！！            
(4星)	 無聊的時候看看還不錯,可是結局很雷人~~            
(5星)	 一代人的隋唐梦！我爱隋唐英雄！个个英雄都出色！            
(5星)	 我觉得可好看了。。还是追电视看来着。。为毛我现在这么爱看古装剧。。是不是我老了。。            
(4星)	 我最喜欢这里面演唐太宗的那个人！不知道他叫什么不过非常帅！这片子还是不错的~~竟然还有聂远演罗成，黄海冰的秦叔宝也很好。            
(5星)	 帅哥成群啊            
(3星)	 李世民的颜大爱！            
(5星)	 瓦缸五虎，吼            
(4星)	 为了李世民给4星            
(NA)	 都TM的虎头蛇尾。。。            
(NA)	 最近才发现隋炀帝是谢君豪演的……聂远那时就像赵云了=w=            
(4星)	 又是一部我老爸的最爱~~~剧情很不错的~ 隋唐乱世各条故事展示得很好~喜欢李世民——郑国霖~~            
(4星)	 四星全给黄海冰 以及曾经喜欢过的卓凡            
(2星)	 2次。            
(NA)	 乱世出英雄            
(1星)	 懒得说了            
(2星)	 帅哥不少，可惜已经过了我喜欢的时间段。            
(4星)	 偶只是冲着某远来的。。。却意外被秦王萌到了。。。            
(3星)	 喜欢黄海冰的那女人还不错。            
(4星)	 还可以的了。            
(3星)	 害得我还追了这么久！            
(5星)	 小的时候很喜欢看~            
(5星)	 我就喜欢            
(4星)	 李世民大爱啊。。。星星眼╮(╯_╰)╭            
(4星)	 当时觉得罗成秦琼真帅...现在才反应过来他们是基友            
(4星)	 喜欢死聂远！太帅气了！竟然没有出现长孙皇后~好可惜~            
(4星)	 剧            
(5星)	 护国公秦琼，半路杀出个程咬金，李元霸，李世民，瓦岗五虎，一批侠肝义胆的英雄的诞生~~~            
(4星)	 当时觉得郑国霖演的李世民很帅            
(4星)	 小时候觉得好看的不行了都            
(4星)	 当年看了很多遍，改编得还算是对历史负责。各种男性+1，各种热血腐+1 XDD            
(4星)	 当时最喜欢罗成！现在想来也是最喜欢罗成！            
(4星)	 说起来此剧并非正剧，与历史相去甚远、侠义中穿插的儿女情长无可厚非，并且当年就是这部剧吸引我去看了原著《隋唐演义》，也记得当年广播里单田芳的评书。            
(NA)	 初中时看得沉迷。从此喜欢上聂远和谢君豪，谢君豪把隋炀帝演绝了            
(4星)	 不错啊            
(3星)	 言情不到位，传奇不到位。            
(NA)	 三星。            
(5星)	 唱给瓦岗英雄的挽歌             
(3星)	 黄海冰 聂远 郑国霖 释小龙~            
(4星)	 但是很爱啊 其实拍得还不错，现在想想拍得还蛮像白话文小说的             
(4星)	 李世民            
(4星)	 在剧里爱聂远            
(5星)	 很喜欢啊和太姥姥一起看的。。。片尾居然是王菲唱的            
(3星)	 和黄海冰在一起那女的太装了，毫无演技，100个角色在她手里都是一个样            
(5星)	 42集，看了有半个多月，终于看完了，太长了……本不打算看电视剧了，不过这部小时候很钟意的戏，还是再看了一遍，发现按照我们现在的眼光来看，确实是一部烂剧，不过毕竟那么多年前的剧了，还是打五星，毕竟是小时候的爱，剧中最爱罗成。打算以后不看老电视剧了，更没意思，好好的入正途～我的电影。            
(4星)	 爱聂远            
(1星)	 囧片一部，囧囧更健康            
(3星)	 竟然把它追完了，这就是网络断了的收获？！            
(1星)	 喜欢罗成 就是编剧编的太扯了~历史活生生的呗篡改了~            
(3星)	 分数给李世民^^            
(NA)	 和母后娘娘中间跳着几集也算是看完大结局了~罗成和李元霸谁谁的都死的好可惜哦...            
(3星)	 关于隋炀帝的变现还是印象很深的。。。。没想到隋炀帝竟然是酒剑仙演的！阿奴的爸爸呀！            
(4星)	 个人武功的高低直接决定了军队的战斗力，虽然太假，但整个故事在几年前看的时候感觉还是很好的            
(5星)	 每个人的生命中 都会有一个二哥            
(NA)	 罗成好帅  秦叔宝性格不喜欢 但是好像里面最厉害的就是他了             
(4星)	 很喜欢聂远的罗成，气势，有赵云之风            
(3星)	 哎呦。。。我看过啊。。。            
(4星)	 喜欢秦叔宝            
(5星)	 不解释，拍的很好，一点都不做作，即使全是爷们儿没有爱情戏也可以很吸引人            
(3星)	 那个 我是来看秦琼和罗成的,再加上隋炀帝恩恩风格不大像大陆的电视剧啊...咳咳咳，罗成果真悲壮啊，冰冰要是再好看点儿就好了orz..还有！！！尉迟恭有那么丑么！！！！！！！！！            
(3星)	 高中时看过，记得场面很小，群众演员每次都是几十个...            
(NA)	 当时上虞电视台四集连播来着，为了看结局，那时从不熬夜的我趁爸爸出差愣是看完结局到12点才睡。            
(4星)	 看過一點。沖著這麼多帥哥給個四星吧。            
(4星)	 当年看的时候可激动了~            
(3星)	 我好像一看到罗成的脸，我就想起这电视剧我看过，只是没看全。。。我那么喜欢罗成啊！！！！！            
(4星)	 哈，小豆推荐的话说这剧我萝莉的时候还追过呢……就是受不了那个女主啊……以及聂远的罗成很长的一段时间都是俺梦中情人呢            
(2星)	 呵呵呵            
(3星)	 隋代剧还属于处女地。。。            
(5星)	 不喜欢秦叔宝，我家罗成最帅！            
(NA)	 怎麼打仗都是靠輪流叫陣的。。網球王子麼            
(3星)	 聂远你是黄奕的！            
(NA)	 那个就是黄海冰啊居然！！！！！！！还有聂远！！！！！小时候看的好喜欢的！            
(5星)	 裴元庆！            
(3星)	 回忆            
(3星)	 为黄海冰而看的。            
(3星)	 当时播的很火的样子，就记得明明女主角都很丑的样子，男人们为什么还爱的要死要活的。            
(4星)	 聂远就是在这时候秒到我的……            
(NA)	    李密傻×  垃 圾   李密 艹 他 祖 宗 十 八 代 真是日久见人心   连血都不敢放 人家萧妃害他 他还要人家 哈哈  真是个前无古人的傻X 李元吉和李建成都不是好东西  害了罗成 罗成狠帅   支持 五虎            
(4星)	 喜欢罗成~哈哈            
(5星)	 聂远的罗成这么可爱咋就给我死了啊可恶！！！李世民的那位表演的可真是淡定，徐茂公那位脸上就像刻了“我是神棍”一样╮(╯▽╰)╭            
(3星)	 话说我觉得聂远和黄海冰好像啊            
(NA)	 相信大家都看过！            
(4星)	 只记得王菲唱的片尾曲还不错的。。。@Home            
(5星)	 隋唐英雄传            
(4星)	 我忘了是不是从这开始萌上的某远。            
(NA)	 这剧居然有40集吗！            
(4星)	 罗成            
(4星)	 搞笑的李蓉蓉 傻女活该            
(5星)	 个人强烈推荐，好看的。            
(3星)	 一般，很拖沓！乱世出良将，家贫思贤妻。            
(4星)	 冲着黄海冰去的，竟然喜欢上罗成这个角色            
(4星)	 看了很多遍了，个人觉得挺好看的~            
(NA)	 4            
(4星)	 历史写生剧            
