http://movie.douban.com/subject/2365068/	卫斯理
(4星)	 Yoyo真好看~            
(5星)	 这个白素素有点冷……一开始我是非常不接受她的 后来慢慢好了 这部比起小时候的卫斯理 精致了点 剧情也可以 哎 剧本好 什么都木问题！            
(5星)	 好看~~~~~~~~~~~~~~·            
(4星)	 原来是倪匡…我承认我很喜欢蒙嘉慧…            
(NA)	 白素很漂亮            
(2星)	 爛            
(4星)	 我喜欢看。超喜欢。            
(3星)	 改编得不怎么样            
(NA)	 第一集就被囧到 蒙嘉慧怎么也不素啊。。。            
(3星)	 还可以            
(3星)	 可算是比较不错的一版卫斯理了...罗嘉良的年龄，厚重，方正还是挺像卫斯理的...            
(2星)	 拍的这个墨迹啊...            
(3星)	 毁了我心目中白素的形象啊            
(NA)	 一点不好看！            
(3星)	 倪匡看了会气死            
(5星)	 小学的时候看，觉得很刺激，不知道现在再看会是怎样            
(5星)	 我好喜歡看有關衛斯理的            
(3星)	 爱幻想的大人~~~不过，我很喜欢这个结局：）哈哈哈~~~            
(3星)	 香港制造。            
(NA)	 我对卫斯理有特别的感情~            
(NA)	 蒙嘉慧在里面很帅气.            
(4星)	 罗嘉良很帅            
(4星)	 白素虽美，但是都应该算蒙小YO演过的最二的角色了~哎……怎么就这么固执捏？！三番五次的，非要死才说得出爱么？！哎……            
(NA)	 喜欢·当时是初三~            
(3星)	 完全是冲着卫斯理去的。            
(4星)	 儿时因为它就爱上蒙嘉慧了            
(4星)	 太恐怖了不太敢看            
(3星)	 听到人家说结局的尼斯湖，才想起原来我看完了            
(3星)	 改动太大，不过卫斯理的性格夸张一点也是很有意思的。            
(4星)	 当时觉得好好看。。=- =            
(3星)	 杨怡是亮点！            
(3星)	 初中，姐姐租的碟，那时候第一眼见到蒙嘉慧真是觉得惊艳啊。            
(3星)	 最讨厌感情戏            
(4星)	 这个版本最好看            
(2星)	 罗嘉良的卫斯理，完全没感觉。            
(NA)	 女主角很美！            
(NA)	 我喜欢倪匡，喜欢卫斯理的故事。            
(3星)	 虽然被改编的一塌糊涂。。但是蒙嘉慧版的白素真的很棒❤            
(4星)	 因为是卫斯理迷才看的，还可以吧            
(3星)	 罗嘉良样子太呆，不适合卫斯理。。。。。。。            
(5星)	 鼎力支持！            
(4星)	 当年的罗嘉良是我觉得最帅的。            
(2星)	 不待见            
(3星)	 重温儿时的美好回忆            
(3星)	 作女版白素~整体终是无法体现原作之精华~            
(3星)	 还行 奇奇怪怪的故事            
(2星)	 电视剧是远不及小说的            
(NA)	 初二时候迷得要死，白素和红红都喜欢            
(NA)	 好看好看,超级好看,演员也是个个精彩,很值得不看的戏,再加上卫斯里的故事情节,总之就是好,            
(5星)	 童年!!!            
(4星)	 跟原著差别比较大，但是很喜欢倔强版的白素！            
(4星)	 （以前看的，纯添加）            
(4星)	 和那个吴奇隆的不不同感觉，这个剧要玄幻点，蒙嘉慧演白素还真不错。            
(3星)	 穿越+科幻+言情+恐怖+破案+民国+尼斯湖水怪？这个卫斯理果然千奇百怪。            
(5星)	 卫斯理~赞啊            
(NA)	 凤凰卫视的美好回忆,国和的回忆            
(4星)	 YOYO啊～大爱^_^            
(4星)	 还可以。。。很多都看过书了            
(4星)	 喜欢，有点神秘感。            
(4星)	 多热的天，大中午我还骑个车去换碟。印象最深的就是白素了，那时候就记住了蒙嘉慧            
(5星)	 萌杨怡姐姐            
(4星)	 看这片子的时候一直在想吖蒙嘉慧真是好看哟.            
(4星)	 30            
(3星)	 玷污原著里白素的形象么~            
(3星)	 真的有蛊这种东西？            
(3星)	 罗嘉良扮卫斯理，有点怪！            
(NA)	 卫斯理和白素的爱情真是曲折，和书差别好大。电视剧的噱头果然是爱情，两人之间的隔阂有点牵强。真想看看稳定下来的卫白感情。            
(NA)	 看過國語版em02            
(3星)	 为毛白素从来都是甩脸子，谁欠你多少钱啊！            
(3星)	 白素让人很失望            
(4星)	 喜欢里面移梦和种蛊那段            
(4星)	 光与影再不相逢 仍化作奇梦            
(4星)	 这个我看过哎，吴奇隆的没看过            
(4星)	 好耶            
(4星)	 小学时候凤凰卫视上看的，可以说是童年最爱之一。。            
(4星)	 翻来覆去看过好几次了            
(3星)	 好吧...我没印象了，只记得那时候貌似在考试，保姆不给我看我电视啊！我只好去厕所的时候偷偷瞄几眼...            
(2星)	 我还是乖乖看书去吧除了题材，没有吸引我的。包括那穿西装老帅的罗嘉良，虽然是昔日。            
(4星)	 蒙嘉慧的确是tvb最漂亮的~~~            
(5星)	 好看啊！要重温            
(4星)	 记得分成很多PART。有空看多次            
(5星)	 当时看了还是很亢奋啊            
(3星)	 很多年前，还流行买盗版碟看的时候            
(2星)	 这两星完全是给蒙嘉慧的。演的那叫一个神马玩意儿！！白素是外柔内刚的嘛，完全不是大小姐，不是蛮不讲理，不是恃宠生娇，不是混不吝。演的就是一坨狗屎。要不是剧情安排，这种女人在现实中早被甩个十次八次，孤独终老吧您！剧情还不错，对原文改动也不是很大，我还是很喜欢这部戏的。罗嘉良也算不错。            
(5星)	 他们就是我心目中的卫斯理白素！！！！！！其他的都是浮云！！！！！！            
(4星)	 当年不喜欢吴奇隆版，喜欢这个。            
(4星)	 = = 感觉挺不错的 只是TVB那时候就很简陋了            
(5星)	 租港剧在家里宅一天 然后看得产生刻板印象最深的一部剧 现在看到老爷爷脑袋里还是出现那个外星人的影子 TVB的用人频率太高了啊啊。            
(5星)	 这还是当初考试的时候天天晚上追着看完的，蒙嘉慧的白素太美鸟~            
(4星)	 罗嘉良拍得还行            
(5星)	 永远记得那情节。种蛊的女孩。            
(2星)	 我是有多讨厌蒙嘉慧！            
(5星)	 当年TVB播的时候赶上升中考害我丢弃了它，超想重看！！！！！            
(4星)	 大学全宿舍围着电脑一起看的            
(5星)	 好像是因为卫斯理我才喜欢以及肯定了罗嘉良的好人角色。            
(4星)	 看到蒙嘉慧想起这部片子 那是我初中最喜欢倪匡的时候…            
(4星)	 当年的片子就是好看呀，人美剧情赞~~有空再重温下            
(4星)	 当时可喜欢            
(4星)	 其实白素不错看的            
(4星)	 不错，有点意思            
(3星)	 当年卫斯理又拍电影，又拍连续剧，感觉都几hit            
(NA)	 穷人和富人的区别，富人看趋势，穷人追潮流             
(4星)	 少有的正经的科幻电视剧            
(4星)	 罗嘉良越看越帅，就喜欢不正经的~但是觉得好像没结束一样，明明下面还应该有，一大堆都没演完呢，真奇怪            
(4星)	 GDOI的时候看的            
(5星)	 看卫斯理我只认这一部 捞家和蒙嘉慧 还有杨怡            
(4星)	 貌似看完现在只记得捞家同YOYO ，反而杨怡没什么印象。            
(4星)	 私以为比吴奇隆的好看            
(5星)	 年少时特迷卫斯理！绝对是值得看的好片子！！吴奇隆真的太帅了，喜欢他！            
(4星)	 为咗蒙嘉慧姐姐……去年翻煲，不错不错            
(2星)	None
(5星)	 6年。。。。            
(5星)	 TVB的这个版本不错 整个剧也很轻松            
(5星)	 我不喜欢罗嘉良 但是这个剧还是可以            
(NA)	 白素跟书中完全不同，卫斯理则出乎我的意料，罗嘉良演技真是没的说，这样一个外表轻浮的人也演得那么出色！总体说，还是不错的，有些书中的东西在！            
(3星)	 和原著没法比            
(3星)	 捞家唱的主题曲好听死了            
(5星)	 好想重温，找不到种子，主题曲太好听啦            
(5星)	 很好看哟。            
(5星)	 有些剧，你只为那个人而看。为两个人而看的几率能有多大啊！            
(NA)	 那时的蒙嘉慧啊..            
(5星)	 回味了下这版！            
(5星)	 应该是我看过的最好的卫斯理，罗嘉良其实也还蛮帅的，情节也很诱人，最少比另个TVB版强的多，这个卫斯理，有血有肉，还有动人的歌···            
(4星)	 以前还是租片子看的呢。            
(3星)	 罗嘉良还有点那意思            
(5星)	 好看，悬疑科幻，把每个书里没有关联的故事串联得很紧凑。            
(NA)	 猫人~怎么也不漏个面！卫斯理...            
(3星)	 蒙嘉慧在里面很漂亮            
(3星)	 印象不大...蒙嘉慧的气质很适合演白素，向海岚也终于变得顺眼起来。            
(4星)	 yoyo的白素不错            
(5星)	 原著我也看了，真的拍得不错，就是白素有点自我中心了，不过蒙嘉慧依旧是最经典的白素。。。            
(3星)	 罗嘉良演得不错，可他始终不太像小说里的卫斯理。蒙嘉慧很好看，可惜角色塑造跟小说也是两个样。反而杨怡的角色和表现最不错。            
(5星)	 这部好好看。。本来之前对罗，蒙一点不感觉，但演出来就有我想象中的卫斯理，白素的感觉｀～｀｀            
(4星)	 当年杨怡戆了眼，搞的我差一眼眼去好叫看书。。。            
(4星)	 紅紅            
(3星)	 主题曲特别好听            
(4星)	 如果沒有罗嘉良 這就是爛片            
(5星)	 一直很喜欢看科幻悬疑类电视剧，而且还是tvb的，罗嘉良主演，所以理所当然要完整地看一遍。蒙嘉慧的白素让我有点遗憾。剧末，白素问卫斯理，为何由始至终都一直相信外星人的存在？卫斯理的回答让我乐了，“很简单，因为如果没有外星人，地球人岂不是很寂寞？”            
(2星)	 剧本还好，拍得很囧            
