http://movie.douban.com/subject/2371837/	野蛮奶奶大战戈师奶 野蠻奶奶大戰戈師奶
(4星)	 还是跟杏儿在一起的黄宗泽有型～            
(4星)	 杏儿和bosco还是挺配的~            
(4星)	 比古裝那版有趣。            
(4星)	 戈碧（汪明荃 饰）我觉得服装一点都不嗲的。= =.．切，这是时尚杂志编辑？黄宗泽真是帅帅帅。。胡杏儿也是超可爱。。            
(5星)	 很经典，看过绝对会喜欢上胡杏儿和bosco~~            
(4星)	 萌上黄宗泽了            
(4星)	 最爱COCO-滕丽名&amp;CC-郭政鸿！            
(5星)	 我的两大最爱~            
(5星)	 很搞笑，大爱bosco            
(3星)	 不如古装的好看~~            
(4星)	 滕丽名竟只有刮三的配角可以担当了么？回光返照的港剧代表么？            
(NA)	 我是相当相当的讨厌胡傻比            
(4星)	 黄宗泽真的很帅也~            
(4星)	 还要拍未来吗？            
(3星)	 受不了O姐的很多穿着，胡的也一般，反倒让杨和滕出了彩            
(3星)	 the devil wears prada            
(NA)	 編劇有小出奇，亦有大硬傷。平乏女星爆瘦之後的確有可觀之處            
(4星)	 汪明荃+黄宗泽+胡杏儿这组合真的不错！            
(5星)	 因为些个人原因 很喜欢胡杏儿和黄宗泽搭档的戏 结局仓促了点 但是不错             
(4星)	 还满好看的啊。。            
(2星)	 ```````````人间有这么简单就废了···········            
(4星)	 胡小姐是敗筆,破壞了整部戲的美感            
(1星)	 让我说什么好呢 胡杏儿身材很正            
(3星)	 开始添加TVB...            
(3星)	 比古装那版好点            
(5星)	 bosco系里面既高端服装睇得我好high~~~~~            
(3星)	 黄宗泽有点神似黄耀明,英俊好看的香港男人.            
(1星)	 傻逼到死都不会改的香港蠢蛋            
(3星)	 胡杏儿可真瘦啊！            
(3星)	 只能无聊的时候看看很喜欢滕丽名和郭政鸿的配搭            
(4星)	 挺逗的。喜欢CC和Coco O姐凡叔的组合。            
(NA)	 一开始就觉得这奶奶不错 刀子嘴 豆腐心            
(NA)	 假如我结婚的话,我会在结婚前再看一遍,哈哈            
(3星)	 虎头蛇尾            
(5星)	 胡杏儿穿那几身华伦天奴。我就大爱了。            
(NA)	 时尚杂志编辑            
(3星)	 帅帅的小痞子Mark            
(3星)	 继续不感冒            
(NA)	 CCAV我爱你            
(5星)	 很不错；；            
(2星)	 拙劣的Ugly Betty，汪和胡看得让人烦了            
(NA)	 超搞笑～            
(NA)	 不好看。            
(4星)	 比古裝版的好            
(3星)	 能把每个人都写得不讨喜，编剧真强大            
(NA)	 阿姐喜感都很浮夸。。无奈俺不喜欢男主女主～            
(NA)	 我没有那么讨厌胡杏儿            
(NA)	 难得爱看一部TVB出品 原来口碑不怎么样呀            
(3星)	 闲的。。。            
(5星)	 看着胡杏儿背着黄宗泽真的很带感啊哈哈哈~            
