http://movie.douban.com/subject/2373209/	摩登家庭
(4星)	 当年CCAV8跟着看下来感觉很好            
(4星)	 雅各布            
(4星)	 当年追着CCTV8完整的看了不下三遍。            
(4星)	 雅各布~~~！妈咪的妈咪            
(4星)	 家庭暴力让人恐惧。            
(NA)	 小学的时候还住外婆家 在客厅一边写作业一边看            
(3星)	 童正维应该演上海老太太的啊            
(NA)	 雅各布!            
(4星)	 早年痴迷的大陆剧，也算是对西方文化了解的起始。那时最爱这个韩国媳妇。            
(4星)	 雅各布太可爱。            
(5星)	 很温馨的            
(4星)	 哎呀，我想出国！            
(4星)	  雅格布啊~他家就是个联合国~构思还不错            
(3星)	 雅格布~            
(4星)	 电视台又开始重播了，以前觉得电视剧抄袭生活，现在觉得生活根本抄袭电视剧&gt;&lt;...燕姬啊～            
(4星)	 搜摩登家庭搜出来这个，记得初中看过。。            
(NA)	 很久前看过的了，完全没记忆了，只记得有家庭暴力，那个洋人爱打他老婆。            
(4星)	 好小的时候看的了额，好喜欢雅各布            
(NA)	 小时候很喜欢看~            
(3星)	 跨国婚姻热            
(4星)	 小時候            
(4星)	 补遗 （很不错）            
(4星)	 阵容很强大            
(NA)	 哈哈，雅各布！            
(4星)	 林老师英文课堂篇目。。。            
(4星)	 记得雅各布            
(5星)	 雅各布            
(3星)	 三星半吧，央视播的时候天天守着看的说。当时很喜欢刘岷啊            
(3星)	 N年前看的，印象中还不错            
(4星)	 我在米兰有个女朋友~在中国也有一个~雅各布如是说~            
(4星)	 当年的春节，我都不看春晚，就追这部剧了。雅各布超级可爱呢！            
(4星)	 前几天还想起这部电视剧，我姐姐居然连人名也都记得！！！！！            
(NA)	 好早好早的年纪看的～～～现在在怀旧频道播又在看～～            
(5星)	 雅各布大萌神啊啊啊            
(4星)	 当时看的时候蛮喜欢的。            
(5星)	 童年记忆啊~            
(NA)	 我怎么看过这么多电视剧!!            
(5星)	 经典            
(3星)	 我记着那特烦人的小孩还演过其他的电视剧。。            
(4星)	 为优秀国产剧存            
(NA)	 不是很喜欢            
(3星)	 还是很喜欢雅各布那个小孩的 妈咪的妈咪 哈 笑翻            
(4星)	 雅各布~            
(3星)	 真纳闷儿，为什么小时电视重播什么烂片我都看            
(4星)	 其实算比较好的内地的剧了。某年过年看的。            
(3星)	 我就是觉得挺好看的，大概内心契合了我想嫁外国人的想法            
(4星)	 当时好喜欢这部电视剧             
(5星)	 好怀念啊今天在绝密押运里瞄到这里的一男主角突然想起来了            
(4星)	 我记得央八放最后一集的时候央一正播春晚，而我选择了央八。            
(NA)	 好看，但是比较喜欢的是弟弟的韩国恋情片段，明明复出一段后的作品，已经回不到巅峰状态了，这些年电视剧变化太多，她显然是不够流行了，力不从心了。            
(4星)	 那会儿我还小．真喜欢雅各布．            
(5星)	 -雅各布~-妈咪的妈咪~            
(5星)	 雅各布 妈咪的妈咪            
(3星)	 那时爷还年轻            
(4星)	 哈哈，我小时候喜欢雅各布            
(3星)	 嗯~~婆媳一家亲~~联合国！            
(3星)	 还真看过这个，雅各布和姥姥每天都拌嘴嘛。            
(5星)	 当年真的很喜欢这部剧，喜欢那个小男孩，喜欢大女儿后来在大马碰到的那个男生。            
(5星)	 当年爱疯了            
(5星)	 雅克布~~~~~~~~~~            
(4星)	 抱着电视看的。。。            
(4星)	 很喜欢看雅各布当时            
(4星)	 我多想回到从前 再回到电视机身边            
(2星)	 囧            
(3星)	 雅各布            
(4星)	 当年，追着一集一集看。然后幻想，以后也有这样的家庭。。。哈哈哈            
(4星)	 小时候的感动            
(5星)	 小时候最爱的连续剧，今天突然莫名的想起来。。。            
(5星)	 我记得小时候跟着CCTV看完还很喜欢 现在翻起来居然还有李泰兰             
(4星)	 他家就是个联合国。            
(3星)	 小时候电视里放的  我就记得外婆和雅各布长什么样了……            
(4星)	 小时候某个寒假和家人一起看的，记得大年三十晚上播的大结局            
(5星)	 印象深刻哦。            
(5星)	 小时候很喜欢这部电视！            
(5星)	 反映跨国婚姻的非常好的一部国产电视剧。上初中那会儿在CCTV8看的。那时的CCTV8还是很有品位的。饰演韩国媳妇儿的李泰兰美丽温柔贤惠孝顺真是各种萌，我想我要是个男的肯定会娶她。然后没过多久发现班上某男生的桌子上用刀刻了大大的“李泰兰”三个字XD            
(NA)	 雅各布太萌了            
(4星)	 那个时候看得我就想嫁个外国人！            
(NA)	 女主角长的像我小学数学老师...            
(4星)	 上初一时看的            
(3星)	 大家都很爱雅各布吧 哈哈            
(4星)	 当年看的时候，觉得真的挺不错的。            
(5星)	 雅各布灰常可爱，一家人很好玩的生活。            
(4星)	 高一那年寒假，我和你，在各自的家中，守着中央八，看这部电视剧            
(4星)	 小时候很喜欢看            
(5星)	 恩，很喜欢很喜欢这部电视剧            
(5星)	 很久之前看过的一个电视剧，至今那位老太太和孙子雅各布仍让我记忆犹新~            
(4星)	 很早很早以前看过滴~~~~~            
(5星)	 那时候我最爱看了            
(4星)	 还记得当年的大结局正好在三十晚上播。            
(4星)	  亲情 摩登家庭 喜剧 国产电视剧             
(3星)	 当时还挺喜欢雅各布的~            
(4星)	 中学时看的，很可爱啊            
(4星)	 挺有趣的其实~~            
(4星)	 当年央视八套的家庭剧真不错            
(NA)	 那小胖小雅各布            
(4星)	 雅各布            
(4星)	 雅各布~            
(4星)	 小时候特爱看            
(2星)	 当年看就觉得很做作·······            
(NA)	 哪有这么巧的事情都被这家遇上。不知道是幸还是不幸。当然电视剧就是电视剧，取材还是挺有趣的。            
(4星)	 小时候看中央8放的            
(4星)	 小学的记忆，适合全家人一起看的轻喜剧，大团圆结局。雅各布好可爱            
(5星)	 联合国家庭....很温情~雅各布太可爱了!            
(5星)	 特喜欢雅各布            
(3星)	 小康...            
(4星)	 妈咪的妈咪，我是雅各布！            
(4星)	 好久以前看过的            
(4星)	 第一次知道了好有气质的金泰兰，雅各布也好可爱！            
(4星)	 当时蛮喜欢马来西亚那个的            
(4星)	 雅各布小朋友。            
(3星)	 就记得那老外好像有打老婆的恶习            
(5星)	 真的很好看            
(4星)	 看到两个编剧的名字我就激动了.当年很喜欢的一部剧.            
(4星)	 小正太雅各布啊            
(3星)	 滑稽呀            
(4星)	 总觉得像是向新社会的献礼啊~那个大姐真漂亮~            
(5星)	 哈哈 这部也非常欢乐。            
(4星)	 老婆还是大陆的好            
(4星)	 AUV，刘珉，你改20个名，不过你遮挡荧屏了。而且还能踹媳妇儿了～            
(4星)	 雅各布雅各布            
(5星)	 童年的记忆啊            
(NA)	 当年天天追看的！相当喜欢~！(⊙o⊙)哦还有泡菜味呢            
(NA)	 哦哟 那时候我妈超级爱看的            
(4星)	 一家人都很喜欢看，应该是在2002年过年的时候看到的.。            
(NA)	 　　妈咪的妈咪~~            
(3星)	 蚴~里边儿还有李太兰和小浙江呢！内个胖孩子我实在是没有相中             
(NA)	 除了李泰兰，演员长相太寒碜。            
(4星)	 好看！            
(NA)	 仨洋女婿，够牛的老太太。            
(3星)	 回忆~~            
(5星)	 我曾经很喜欢            
(5星)	 记得还在北京偶遇过勒内尔            
(5星)	 一直很喜欢            
(4星)	 妈咪的妈咪            
(5星)	 某年春节的贺岁！            
(5星)	 小雅各布火透了            
(3星)	 片尾嘚歌。。。。            
(3星)	 又见赵明明            
(3星)	 由此喜欢新加坡            
(3星)	 涉外婚姻要小心            
(NA)	 突然想到这部电视剧            
(4星)	 家  就是要和睦  这才是温暖的港湾            
(NA)	 摩登家庭 (21)赵明明 / 刘 岷 / 雅格布 / 中国大陆 / 曾丽珍 / 摩登家庭 / 林黎胜 / 吴 楠 / 普通话/国语            
(NA)	 雅各布^_^            
(NA)	 中央八经典剧目            
(5星)	 初一            
(3星)	 不看介紹，劇情一點也想不起來了。            
(4星)	 哎呦 当年全家都喜欢看啊            
(4星)	 雅各布~~~！妈咪的妈咪            
(NA)	 六年级的时候看的吧？要不就是初一初二            
(3星)	 情景喜剧我记得是，林心如还去客串了。有一集那个胖子被砖头砸了脑袋失忆了变好了大家觉得不正常了反而怀念以前的他了，结果阴差阳错他又被砖头砸了一下就好了。            
(4星)	 我擦 我竟然看过.......            
(3星)	 那个时候 我弟弟就说 韩国的女人就是温柔 长大一定要娶韩国女人            
(4星)	 当时看完巨喜欢那个勒内尔。。。            
(4星)	 当年。。小时候。。很喜欢看。。            
(2星)	 就是因为这部剧，我妈还有我爸，禁止我跟外国帅男倾心恋爱！！！            
(NA)	 多年前的雅各布            
(3星)	 那个混血小男孩记忆犹新啊              
(4星)	 雅各布~妈咪的妈咪~            
(4星)	 似乎是初一时候看的吧~            
(4星)	 云楚很漂亮            
(3星)	 貌似是小學。。。在四姑家住的時候看的            
(4星)	 还记得里面的外国小男孩雅各布特别可爱哟~！            
(5星)	 雅各布！超可爱呀~            
(4星)	 哈哈，乐死了~            
(5星)	 很欢乐，长大以后发现其实欢乐不易。在这个深夜，想起这部电视剧，想起那些曾经欢乐的日子。            
(5星)	 雅各布！！！            
(5星)	 从前的回忆 温馨又感人            
(NA)	 当年就觉得很国际话的剧，不错不错.对雅各布印象深刻！            
(3星)	 雅各布            
(5星)	 居然在豆瓣上找到了！终于终于，老娘当年迷的死去活来的剧不是某个野鸡剧了！！明明就很有名好不好，啊？！我多么喜欢那个韩国的什么什么姬啊，还有央视当年就是中国的HBO！摩登家庭啊金粉世家啊的什么的~~            
(4星)	 挺好看            
(5星)	 我好爱的！！！！！！！！！！！！！！！！！            
(5星)	 SWEETEST TV series EVER!            
(4星)	 雅各布~            
(5星)	 雅各布当年老有人气了，爆喜欢这个剧~虽然看过很多年了，还是念念不忘的呢~妈妈很漂亮，爸爸很可爱，宝宝更别提了，外公也特别有趣的~~            
(4星)	 那时候好喜欢那个外国小孙子~还有跨国的恋情，记得还是小学时候看过的。很久了诶~            
(5星)	None
(5星)	 小时候看的！雅各布哈哈哈            
(5星)	 当年全家人一起看的温情家庭剧~            
(4星)	 Modern Family Chinese Version            
(4星)	 我了个妈…… 找摩登家庭竟然把这个找了好久没找着的电视剧找出来了~~            
(5星)	 ‘灿烂的笑容 将一切都包容’ 怀旧之摩登家庭雅各布            
(4星)	 温馨啊，雅各布小屁孩儿，来让姐姐捏捏你的脸~~            
(4星)	 忘了几时看过，抽空再看看            
