http://movie.douban.com/subject/2377277/	神探狄仁杰2 神探狄仁杰（第二部）
(3星)	 第一部好像还是根据原著改编的，收视好了以后导演开始得瑟着自己做了编剧，拖沓冗长的裹脚布式续集式杯具就开始了。。。            
(3星)	 骗不倒的狄仁杰，杀不死的李元芳            
(NA)	 “我百思不得其解...”  ”大人真乃神人也..“            
(NA)	 这个剧换汤不换药不宜多看~~~~感觉就那一个人在那瞎猜~~~            
(3星)	 算历史剧吧，拖太长了            
(3星)	 第一部是拍包拯的，第二三部就成展昭的天下了。武戏越来越重，剧情愈来愈荒诞。            
(1星)	 无数白痴的台词，无数白痴的随从，只有一个无所不知的狄仁杰。            
(2星)	 可恨的胖子。            
(4星)	 狄胖胖真聪明。            
(4星)	 送李规殿下！            
(3星)	 中国电视剧拖沓的毛病在推理片会放大很多倍            
(4星)	 印象很深的是 滴血雄鹰！！！            
(4星)	 李乖乖和如燕哈哈~~            
(4星)	 比第一部要啰嗦许多，也开始走向扯淡和言情的不归路。但总的来说还是不错的。            
(4星)	 还行。            
(NA)	 “我百思不得其解...”“...将其引入彀中”            
(4星)	 就是有点臃余            
(3星)	 水准下滑            
(4星)	 闪灵的大逆转太过牵强。            
(4星)	 生病画图日子的疗养吧。。。            
(3星)	 抄没完了还            
(4星)	 喜欢俩主演啊！            
(NA)	 2差多了~咱沦落到就为看张子健了。。。            
(4星)	 孤单和耽于无聊的娱乐我在每一夜失眠地对着午夜剧场的肥皂剧            
(4星)	 李乖乖            
(5星)	 关河疑影：反转的有点意思，突厥部分的戏有点糙，崇州和突厥石国的戏明显发现这个预算还是不够啊……蛇灵：算是终于把蛇灵这个故事讲完了，有的想到了有的真没想到，节奏有点慢，小梅可惜了……血色江州：相当不错，复杂的情节中还非常有人情味。            
(2星)	 台词有很多重复的，没新意。惯用的断案伎俩没什么看头儿啦。剧情比较拉长！！！！！！            
(NA)	 今天发看了整整一天，天哪            
(NA)	 我们全家都爱看神探狄仁杰            
(3星)	 一般吧。            
(5星)	 狄公断案如神！            
(NA)	 很爱            
(3星)	 有点拖沓了，还可以。            
(3星)	 机关小镇，还不错！            
(4星)	 骗不倒的狄仁杰，杀不死的李元方            
(5星)	 老家伙的废话能把我看睡着            
(3星)	 对狄公的歌颂有些肉麻            
(4星)	 虽然有些地方让人忍不住想吐槽，整体看来还是挺不错的。            
(3星)	 “我在问你问题！”四月的假日就在探案中渡过了。            
(4星)	 略逊于第一部，但还是在水准之上，不错            
(5星)	 我看到漏洞了 第二部 第四季去东柳林镇 时的 镜头里 居然东柳林镇 的镇头 还有电线杆  哈哈 真是。。。。            
(3星)	 不管如何，我都觉得这是部差片，漏洞百出。            
(4星)	 胖胖            
(2星)	 国产电视剧很适合&#34;听&#34;,当背景声音.所有的人物都笨,都是为了衬托狄神人的英明神武,于是里面最常出现的一句台词就是:大人真乃神人也!&#34;.明明就是浅显的道理,为什么大家没一个能明白?交代悬疑唯恐不详细,唯恐观众不明白.于是,不把速度放到*1.5就连听都要睡着.            
(4星)	 恩&#39;            
(3星)	 “原来是这样”。。。编剧要山穷水尽啦。。。            
(5星)	 苏显儿很出彩哦！            
(5星)	 觉得比第一部好看~            
