http://movie.douban.com/subject/2380184/	婚前昏后
(3星)	 我确信汪明荃是在这部戏里昏迷转醒的那场戏打动了我 从此后很爱看她演女强人            
(5星)	 真实温馨感动，无法言表            
(4星)	 阿姐演得是好，但戏里的她感觉都是圣女了~不太真实啊，看化也不是这么化的吧。Susan才是最贴近生活的那一个啊~ 阿家好靓，中意可颐！            
(3星)	 人物情节不够立体，中心在于宣扬家庭观念，主妇片。            
(4星)	 给自己的情书            
(3星)	 主题曲~至今难忘            
(4星)	 喜歡王菲唱的主題曲。            
(4星)	 母女三个还真像诶            
(NA)	 喜欢&lt;情书&gt;            
(NA)	 姐姐重出江湖啊            
(3星)	 只記得主題曲是王菲的《給自己的情書》而已。            
(4星)	 可颐            
(5星)	 刘松仁的经典剧。小学时我和外婆一起看的。            
(3星)	 喜欢当时王菲唱的这个电视剧主题曲            
(5星)	 因为苏玉华            
(4星)	 从此喜欢上汪明荃！            
(NA)	 很久以前的了            
(5星)	 喜欢苏玉华不是“小三”的“小三”，女人的柔软女人的坚强女人的能力都在她身上体现！羡慕杨怡的欣欣，宠坏了的女生也会有好结局……            
(NA)	 觉得好看吖            
(5星)	 很喜欢            
(2星)	 很奇怪会选王菲的给自己的情书做主题曲.            
(5星)	 一度的挚爱            
(4星)	 插曲《给自己的情书》            
(3星)	 好平庸的电视剧，一家人不是吵架，就卖弄温馨，只是觉得那个时候的苏玉华很漂亮，好像后来的男人之苦，也是苏玉华搭档刘松仁的            
(3星)	 居然把这么无聊的片子看完了，这次发觉真心讨厌汪明荃，那种精明算计全被眼神出卖了            
(NA)	 飛利浦先生美好的一塌糊塗。            
(5星)	 中央一台以前播过，深深记住了王菲唱的主题曲。喜欢到现在。            
(4星)	 唯一看完的阿姐的片，之后她就完全残了            
(3星)	 不那么复杂的家庭剧,不很纠结            
(NA)	 给自己的情书            
(NA)	 再看下去，我都要变成张可颐的nc粉了。话说，汪明荃扮事业成功的女性很有感觉。整部都很美好啊，susan的人格几近完美            
(4星)	 片头曲            
(4星)	None
(3星)	 主题曲主题曲~            
(5星)	 当时好中意看这部剧的！！！            
(4星)	 真喜欢！            
(4星)	 当年看此片时网络还不发达，剧目没太多选择余地，电视里播上就看啥，也分不清谁跟谁都叫神马，只是看谁好看就多注意注意演员表，然后就觉得张可颐和杨怡长得如此相像明明就是姐妹啊，怎么一个姓张一个姓杨呢。。            
(3星)	 小时候看，总觉得太沉重            
(5星)	   也算是TVB很有超前意识的一部电视剧了，说一个女的结婚后一次意外晕倒，醒来后，生活已经发生很大的变化~老公也有女朋友了等等，真不明白，现在还有电影想用这个桥段，还觉得自己的桥段很新鲜，十年前就有人拍成电视剧了~拜托~            
(3星)	 喜欢那个王菲唱的主题曲            
(4星)	 开始是豆沙推荐的，后来是娇娇逼我看的，噗……你们的评价太到位了。前面很是好看呢，可是后几集真心看不下去哇，剧情太不按牌里出牌了，来气！不给SP一对儿是不对的。第10集永远是治愈全剧的精华！啊哈哈。            
(5星)	 给自己的情书·笑忘书            
(NA)	 给自己的情书            
(5星)	 一听到王菲的《给自己的情书》就会想起这部电视剧~~            
(5星)	 给自己的情书            
(4星)	 阿姐            
(3星)	 家庭剧 喜欢的人永远都喜欢看 不喜欢的人永远都不喜欢看            
(NA)	 那首歌给我的印象一直很深刻~~~            
(5星)	 一直觉得妈咪才是最后的BOSS~~            
(5星)	 喜欢susan            
(4星)	 对这部戏有2个最大印象：1是王菲唱的主题曲很好听；2是我开始注意到杨怡，她是个很踏实的演员。            
(3星)	 回忆起的不是电视剧，而是王菲噶主题曲！            
(4星)	 很深刻 还有faye的主题曲            
(3星)	 其实刘松仁明显可以何苏玉华在一起的嘛。。。            
(5星)	 我喜欢Susan和Phillip。            
(4星)	 主题曲：给自己的情书            
(5星)	 好。            
(3星)	 很老的片子了。。。很爱主题曲            
(NA)	 主题曲~ 挺感人的            
(NA)	 那首经典的主题曲，王菲的，还记得当时还抄了歌词。想不要灰心，你也会有人妒忌~~~            
(4星)	 阿姐就是阿姐。            
(5星)	 笑吧笑吧 我就喜欢刘松仁            
(4星)	 a 姐真的好掂啊~~最近我还看了她的专访            
(4星)	 主题曲好听王菲的《给自己的情书》            
(3星)	 电视上看的，不喜欢汪明荃。。            
(3星)	 喜欢王菲的笑忘书            
(4星)	 很舒服            
(NA)	 Bosco Ms有客串滴～            
(4星)	 糾結的片子            
(3星)	 忘記哂            
(5星)	 原来我没看完~~~            
