http://movie.douban.com/subject/2389554/	天若有情
(5星)	 我喜欢那个倔强的董洁~我喜欢畸恋            
(3星)	 我对纠结的东西貌似一向有好感            
(5星)	 一展笑颜为冬阳            
(3星)	 喜欢展颜,男的都可以滚了.李玮凡和季冬阳一对贱人真配.            
(4星)	 展颜。            
(3星)	 董洁你能别任何角色都一个表情吗 真服了你了            
(4星)	 不知道为什么，特别理解展颜和季冬阳的感情，每次看到展颜都心疼            
(5星)	 是董洁演的太好了？我觉得很不错。            
(4星)	 季东阳看着颜颜的目光深情的我心都要碎了            
(3星)	 展颜，你为谁而展颜。            
(4星)	 你是那么倔强，执着。            
(4星)	 我喜欢董洁。            
(3星)	 董洁演得不错            
(NA)	 我最喜欢这个董洁            
(3星)	 实在是很喜欢这部片子。主题歌，演员，人物，都很喜欢，不错            
(5星)	 超级能理解董洁的心理 我是不是心理有疾病哟呵呵呵呵            
(5星)	 反正我很喜欢            
(4星)	 颜颜.....            
(3星)	 我很喜欢里面的心理医生            
(3星)	 故事还可以 比较突破            
(4星)	 无伦            
(5星)	 纠结的电视剧看过，没看过这么纠结的。            
(NA)	 台词一流演技一流剧情特别。展颜去医院看抢救着的东阳那段戏太精彩了。叫季叔那段哭屎了。。            
(5星)	 我爱啊我爱啊我爱啊            
(3星)	 董洁爱棒子。            
(3星)	 一个人怎能如此自私？而如若不自私，何言深爱？            
(5星)	 洁同学真美阿 当年一经典             
(2星)	 陪着妈妈看~~            
(3星)	 按現在的說法，這是蘿莉愛大叔，大嬸纏大叔的感情糾葛。            
(5星)	 看多少遍都不厌.            
(5星)	 董洁的台词都很经典            
(3星)	 高三的时候看的，真是虐身虐心的非常时期的享受。剧情之外，尤爱车仁表和六月。            
(5星)	 我是如此的怀念原声 怀念当时的董洁 怀念卫视台播天若有情我们的样子            
(NA)	 补遗               
(2星)	 = = 无聊。。。            
(4星)	 突然想起了            
(5星)	 独爱六月。            
(4星)	 你说，云恋风，风恋着雨。            
(1星)	 表哥            
(3星)	 大叔系列 乱伦的好看～～～            
(NA)	 ……            
