http://movie.douban.com/subject/2399292/	非你不可
(4星)	 我在司嘉译的身上看到莉香的影子。            
(NA)	 杨雪就太不招人待见            
(NA)	 初中有段时间不睡午觉看完去上课，没太看全，念念不忘司嘉译。。此一时，彼一时，我也知道有些东西再返转头，只是徒劳            
(4星)	 喜欢司嘉译这种敢爱敢恨的人            
(3星)	 因为两段女理发师的故事喜欢上林心如，太可爱了：第四集28分10秒处，第十六集10分25秒处。            
(NA)	 这是哪辈子的电视剧了            
(3星)	 嘿 同学们你们又该说我雷了。            
(NA)	 喜欢里面的心如            
(4星)	 最爱莫顿白！            
(4星)	 怎么看，都還是寫出了點什麽的。            
(NA)	 现在几乎都没什么印象了。。。            
(3星)	 不喜欢杨雪 = =             
(4星)	 特别喜欢司嘉译            
(4星)	 不喜欢杨雪~~~            
(NA)	 街上一块钱两张碟，估计是个超烂片            
(3星)	 这片有点矫情 腻歪 女二号实在有点那啥            
(3星)	 好甜美的林心如。            
(1星)	 很傻的剧            
(3星)	 备忘Mark。小学时跑在邻居家看的，现在想起来很傻的剧那会儿却看得乐不可支。爆几个点：陈坤搞了假唱；杨雪得了失心疯；林心如淋了几场雨。            
(4星)	 到现在我还记得 她在暴雨的电话亭外给他一枚一枚地递硬币 就为了让他给心爱的女生打电话            
(2星)	 当年为了司嘉译这个名字忍了几集。。            
(3星)	 没啥好看的            
(3星)	 久远            
(3星)	 你要我放120个心。            
(4星)	 高3; 感动的是司嘉译起初的天真偏执,后来的离开,期间的隐忍与最后的生生缄默,.. 并无纠结,纠结也无用;.我也有机会放食物在你的冰箱,留你一人煮食时候可以想起,.. 冷藏后的丝袜以及Watsons眼膜,..            
(4星)	 坤哥o(*////▽////*)q             
(NA)	 好像看过，可是又完全记不得情节。            
(3星)	 陈坤帮林心如吹头发那个画面印象深刻            
(2星)	 浪费时间 太傻了            
(3星)	 发现陈坤演过蛮多囧片，但就是喜欢他，没办法            
(5星)	 你最勇敢我最喜欢你            
(5星)	 苏严 杨雪             
(4星)	 高一为了看陈坤全宿舍晚自修跑路。            
(3星)	 恩 陈坤在里面唱歌来着的            
(3星)	 青春剧开始装了            
(NA)	 那一年的黑板            
(NA)	 遇见你，爱上你，宿命。            
(NA)	 挺喜欢杨雪的            
(5星)	 爱一个人，就是非他不可。            
(5星)	 真的是非你不可吗？            
(4星)	 很喜欢心如的现代装~            
(NA)	 初中时候巨喜欢看的电视剧！只是现在大家都认识米莱 却不知道十年前就有一个类似的司嘉译了啊~想来司嘉译性格有点像绿子~            
(5星)	 我喜欢这个！！！！！！！！是我唯一喜欢的林心如演的角色 故事很好             
(4星)	 台湾偶像剧进军之前的小学最爱内地偶像剧            
(4星)	None
(5星)	 也不知怎么的想起了这部剧，五星全给司嘉译，米莱算什么东西，跟司嘉译比简直弱爆了！            
(2星)	 呃。。。。            
(NA)	 初中！            
(NA)	 “我就一直是在骗自己，爱是一个人的事情，爱是阳光，被爱是热，我错了，炎热的夏天，人们是讨厌太阳的，只要在很冷的时候，他才会需要，可是一年有四个季节，冬天并不长。”真是“得不到的永远在骚动，被偏爱的都有恃无恐”啊~柯磊配不上司嘉译            
(5星)	 唯一看的下去的国产剧            
(4星)	 那时候很喜欢            
(3星)	 苏严太阴柔了，还是喜欢林心如扮演的角色            
(5星)	 Ruby演的众多角色中司嘉译是喜欢的其中之一 当年看这戏时还小 幻想着陈坤和Ruby真能在一起就好了 那时真心的讨厌杨雪 敢爱敢恨神马的真是不错            
