http://movie.douban.com/subject/2912164/	爱情的条件 애정의 조건
(4星)	 感动到哭N次的电视剧。池城很帅。不过后期剧情太闹心了……            
(5星)	 很推荐宋一国哦！！！！！！！！！！            
(3星)	 初中时代老妈租的碟，看了就忘了。            
(3星)	 好长..            
(4星)	 只喜欢最初的两个人            
(2星)	 这个罗长秀才搞笑 孩子都有了 是不是处女你不知道吗 以前和谁搞过就没问过？？我操 所以说韩剧竟装纯.不过罗长秀这种挡大车的人韩国也到处都是 哈哈.这个7.8分还真不低.就是你他妈拍了69集太烦.那个好玩 范秀 这范秀就是典型一韩国人 智商也是...            
(4星)	 虽然有点小长~但是韩佳人真的很好看呢~~~            
(NA)	 妈妈叫我看的。            
(3星)	 喜欢韩佳人和池城这一对儿。            
(4星)	 家里的盘我一直没看。感觉太长了，老妈最近无聊翻出来看完了。他说感觉还可以。            
(3星)	 银波~韩佳人            
(4星)	 四年后，我第二次看，依旧泪流满面。            
(3星)	 韩佳人的大眼睛很好看喽~~ 这个是高中的时候和火鸟一起看的~~~            
(NA)	 【2004-03-20】            
(4星)	 ……            
(3星)	 陪我妈看的，池城很帅，佳人很美。            
(3星)	 蛮喜欢宋一国的            
(NA)	 MB又是一部！！            
(4星)	 第一次看见韩佳人的电视剧，当时就惊为天人            
(4星)	 看上宋一国鸟~很纠结的剧 没让人舒坦过            
(3星)	 没有选择直接见面，而是转给了他，这个男人真隐忍            
(3星)	 最近电视台又在播 重温一下。喜欢那个叫长秀的男人。            
(NA)	  韩佳仁 韩佳仁 韩佳仁 韩佳仁 韩佳仁 韩佳仁 韩佳仁 韩佳仁 韩佳仁            
(5星)	 看过为数不多的韩剧里偏爱的一部。            
(5星)	 绝对5星            
(4星)	 当时看的哭死了= =            
(5星)	 池诚啊池诚。真喜欢这部。            
(5星)	 这是一个让我重看经典的冬天。            
(3星)	 不满结局~韩佳人应该和池城在一起的~            
(5星)	 如果说蓝色生死恋是童话般爱情的启蒙，那这部剧就是我现实版美好爱情的启蒙，大爱两位男主~            
(3星)	 韩剧            
(3星)	 曲折又曲折~            
(5星)	 喜欢的韩剧之二            
(4星)	 银波的银，长秀的秀。银秀            
(5星)	 韩剧中较为喜欢的。            
(4星)	 就像所有拖沓的韩剧一样，故事一波三折，但我仍然感动。当他们被迫分手时，长秀倒在银波身上，哭了，像个孩子。影片最后，两人在幼儿园相遇，跑出一个小孩叫着妈妈。长秀眼眶湿润，上前抱住孩子，问她的名字。孩子回答说：我叫银秀，银波的银，长秀的秀，妈妈叫我小石头。            
(3星)	 看完了就是累啊，非得活得那么累吗            
(5星)	 那时候看着很感动T______T            
(5星)	 这是一个让我重看经典的冬天            
(3星)	 搞啊搞啊...            
(4星)	 我妈看我也看。。。。            
(3星)	 三部曲来着            
(5星)	 一看就喜欢上佳仁了，超美！            
(4星)	 好喜欢这三部曲            
(NA)	 再次翻看仍感动如初            
(4星)	 读书的时候看的，觉得还不错            
(3星)	 很老的一部~~            
(5星)	 男猪可以去死了，真的，软弱成这样子，让周围的人都不好过，自己还装无辜。除了他，其他的都可圈可点。金波的衣服都相当喜欢，还有宋一国            
(5星)	 很喜欢的一部剧，喜欢里面的人。            
(NA)	 很好看的电视剧。嫁给不爱的人，初恋情人成为妹夫。            
(3星)	 从半截看的，很感动，当然，主角们也很耐看            
(5星)	 第一次看到池城，好帅啊～～可惜了尹泽和银波的爱情，让我惋惜了多久哦～～～            
(4星)	 初中时代看的。对长秀喜欢的不行。~            
(4星)	 最喜欢的蓝厍T恤  后面因为允泽不出现了 我也就不想看了            
(5星)	 当时感觉韩佳人和宋一国好搭呀~很久之前在CCTV看的            
(5星)	 因为佳人实在太美了            
(5星)	 经典，纠结            
(NA)	 2007.10                                                         
(5星)	 很温情，很感人，并且很励志，也很真实。            
(4星)	 韩佳人演技发挥的最好的一部戏。            
(NA)	 记得很苦情来着            
(3星)	 陪着妈妈一起看~            
(3星)	 韩佳人的韩剧都不温不火的。            
(5星)	 韩佳人~~~            
(4星)	 那时好喜欢池城            
(5星)	None
(3星)	 当年因为班里有个人也叫银波，一直取笑这名字来着。但是觉得她超好看，真心不知道是韩佳人- -            
(5星)	 以前看的，很好！            
(5星)	 考研那年看的，长秀啊……            
(3星)	 可做工作参考            
(4星)	 几年前第一次看，泪落满襟，不能自已；那时第一次见到韩佳人，于是难忘至今            
(3星)	 印象中很长很长的一部剧~            
