http://movie.douban.com/subject/2978224/	流星花园 流星花園
(5星)	我所走过的青春。
(5星)	重温一百次仍然很好看。   怀念的、
(5星)	当时疯狂的着迷，全班上下都在谈论的焦点，记录了一段疯狂的回忆啊~~
(NA)	原声真是不错
(5星)	童年回忆
(5星)	一个新时代的到来～～
(5星)	这部让我认识台湾偶像剧，还蛮喜欢的一部偶像剧！
(5星)	明明就很经典，之后的偶像剧就开始傻逼
(3星)	美男时代的开山之作。
(4星)	台湾偶像剧的开山鼻祖！
(5星)	绝对经典。仔仔是我少女时代苏过的明星，终结了俺清纯的初恋梦想。至今仍喜欢。
(4星)	时代意义给4星
(5星)	好经典啊
(4星)	当然还是喜欢言承旭啊。仔仔一副衰样，像块死掉一般。（偷偷的说，但记得大学那个时候追这个电视时貌似很喜欢仔仔那样的男生来着。那个时候自己真变态。）
(NA)	当时一点不觉得哪个帅...
(5星)	我初二，这片子当红。当时觉得F4实在太帅了，还在自己房间贴海报。。。现在想想，很有可能是这片子掰弯了我！！五颗星！
(5星)	灰姑娘只是灰姑娘。
(5星)	经典
(1星)	看一半就甩了
(NA)	那时大一大二
(4星)	F4当年是风靡万千少男少女，教坏一大批未成年！
(4星)	四星必须的咧
(NA)	高中逃课去看的电视剧哈哈
(2星)	。。。。
(5星)	如果道歉有用的话，还要警察干嘛
(5星)	为了言承旭
(NA)	喜欢道明寺。
(4星)	大S 仔仔
(3星)	当时觉得F4真帅啊
(4星)	当年那叫一个如火如荼啊，作为偶像剧还是很成功的 
(5星)	鼻祖！我第一次看的偶像剧就是这部。超感动！
(NA)	以前
(4星)	偶像剧启蒙
(4星)	纯情
(2星)	看了芒果台那个觉得这个已经不错 了
(5星)	是不是我看的第一部台湾偶像剧咧...
(NA)	今天我看了流星花园·我觉得很好看！
(5星)	暴龙的羞涩一笑，和大S的F4，猪头4的吼声依然象在昨天 呵呵，看过了日版，韩版的流星花园，原来我还是最钟意这部场面不够大，制作不够精良的台剧，那时大家都青涩
(4星)	最青春的日子看了这片子
(3星)	OST蛮好的
(NA)	过程1
(5星)	满分满分必须的
(NA)	那时候很喜欢看啊！
(4星)	这是个传说
(5星)	青春啊青春。
(3星)	快十年了。
(5星)	记忆啊，经典
(5星)	当时还是很迷的
(5星)	使我对野性男人迷恋的启蒙片
(4星)	基本上靠零食支撑看下去……
(5星)	当初迷死道明寺 好想吐
(5星)	不得不承认当时它的影响力和F4。
(5星)	对大牌的认识从这里开始
(NA)	爱服屎
(2星)	周俞民只在这剧中萌过
(NA)	中日韩比较了一下，还是最爱我们的~~
(4星)	连续剧中的偶像剧,我想我最爱的是这部吧.
(5星)	回想当年一次看，觉得真的蛮经典的
(4星)	年少时的风靡产品啊
(4星)	经典的。那时候我张口闭口都台词儿
(4星)	居然忘了这个。。借用一个网友的评论：是的，世上没有道明寺，只有这里有
(NA)	初中。
(3星)	说实话 一直不怎么喜欢台剧
(5星)	好吧我狠狠花痴了一把。
(3星)	现在想起来好假啊。
(5星)	大一刚进校是情深深雨濛濛，寒假是流星花园，再然后是寻秦记。。。全部都是仙林集体记忆啊（寝室有电视的好处）。大一届的学姐说她们还多一个创世纪
(3星)	白日梦。
(5星)	台湾偶像剧里，还是这个好看
(5星)	一个时代。
(NA)	我妈妈最爱看
(NA)	我最喜欢的偶像剧
(3星)	曾经啊，曾经。。。
(4星)	曾经很红。
(3星)	初一逼妈妈租回家看。
(4星)	好歹开辟了青春偶像剧新纪元啊
(4星)	俊男走来走去 哈哈
(4星)	2002年在中学的人有没看过的么？
(5星)	我承认,看哭了....
