http://movie.douban.com/subject/2982064/	风云
(3星)	 你对我说永远永远永远，永远不是我要的明天……            
(3星)	 喜欢聂风一样的男人。喜欢蒋勤勤饰演的两个女人。讨厌陶虹演的那个肉麻到恶心的女人。            
(2星)	 当年看，竟不觉得有何不妥。            
(2星)	 被第二梦迷倒了，和初中同桌一同花痴：“倚楼听风雨，淡看江湖路。”            
(1星)	 其实孔慈还好，楚楚最囧；2个男主除了4个鼻孔没别的好说的了            
(3星)	 蒋勤勤啊，一直都很喜欢她            
(3星)	 明月1死就不想看了            
(4星)	 看蒋勤勤的明月,第二梦，和赵文卓的聂风，哭的我伤心流了。            
(NA)	 何润东的油炸方便面头让我一脑黑线            
(2星)	 何润东的拖把头让我汗颜            
(3星)	 我也瞄过，里面很多很诡异的角色，但是蒋勤勤很美。            
(3星)	 我美好的初中回忆~            
(4星)	 喜欢赵文卓。            
(3星)	 有蒋勤勤吧            
(3星)	 人若无名,便能专心练剑            
(2星)	 囧囧囧~            
(1星)	 记得小时候小姨特别不解地问我。。原来这种剧不是专门拍给你们90后的嘛。。            
(3星)	 蒋勤勤这么美，陶虹这么丑 = =            
(3星)	 04            
(3星)	 当年多米的            
(4星)	 我要为了这个家而战（鼻孔脸            
(NA)	 只有一个看点，就是蒋勤勤真是美呀            
(2星)	 除了那个大小姐 其他人都是我雷点            
(2星)	 呸呸            
(2星)	 陶紅有病吧  老臉裝嫩            
(2星)	 第一部还是有反面帅哥的            
(3星)	 片尾曲太赞了            
(NA)	 补遗             
(1星)	 那个叫特技还是什么麽。。            
(4星)	 造型……            
(4星)	 金鳞岂是池中物 一遇风云便化龙。九霄龙吟惊天变，风云际会浅水游。            
(3星)	 年少回忆。            
(2星)	 可讨厌何润东了            
(3星)	 我爱江祖平同学！            
(2星)	  很肉麻~~~鸡皮疙瘩丫            
(NA)	 2003.8.3            
(3星)	 造型和道具不行，选角也有问题，整体就显得很山寨，好在有蒋勤勤，不过那个红心痣还是蝴蝶痣来着也太傻比了吧            
(NA)	 吴辰君版孔慈去死好嘛。。囧            
(4星)	 何润东当年那个方便面头……            
(4星)	 我儿时的神剧之一啊...            
(NA)	 记得当时看的时候超级喜欢风和幽若。。。就是雄霸的那个女儿！！            
(3星)	 赵文卓因为配的是蒋勤勤而顺眼起来，不得不说陶虹多恶心啊！可怜何润东了。。。。            
(4星)	 那时狂迷赵文卓，觉得一身白衣的他就是心中的白马王子。            
(5星)	 时隔八年再看风云，依然很经典。以前的电视剧就是真感情，现在的太假，太俗。            
(3星)	 高中的记忆。那时候每天躲着班主任看这个电视剧，但是其实根本没记住剧情。            
(5星)	 大步哥！！等等我啊！！大步哥！！！！！            
(NA)	 原来聂风他爹是方中信，那时候咋没认出来呢            
(4星)	 虽然发型很挫但不影响故事本身的优秀 漫画的情节就很饱满了 照搬的还不错 只是我不太满意孔慈的扮演者            
(NA)	 今天在星光超市听到了那首歌，就想起了它。 真是标准偶像剧            
(5星)	 0.0看得出是认真在做呢！你们以为武侠就成不了大器吗！            
(NA)	 千叶真一为什么在 喜欢 吴            
(3星)	 初二暑假。何润东的步惊云真丑……            
(4星)	 小时候看威西滴看了好多遍            
(3星)	 俺当年看的时候反正是很屁癫很欢喜的，何润东一现身，俺的双眼呈爱心状。            
(3星)	 中学时代的回忆，当时对这类剧还是蛮萌的。            
(2星)	 雷            
(3星)	 我是垃圾筒么            
(3星)	 我……我喜欢Peter……真心的！            
(3星)	 莫名其妙电视上断断续续看的。。。            
(4星)	 当年有追看一些，雄霸扮得好。            
(3星)	 千叶真一真是雄霸扮演者的不二人选啊，霸气十足。            
(3星)	 初中时中午全班一起看。。            
(NA)	 我挺无语我小时候的追求的...            
(4星)	 插曲儿好听，步惊云。那时喜欢            
(2星)	 里面没一个顺眼的            
(NA)	 把那些很很山寨的特效去掉，整体上还是不错的            
(4星)	 童年经典            
(3星)	 每年暑假都要看的喏。当年觉得步惊云简直变态。。。            
(3星)	 最记得的是润东哥哥的发型            
(5星)	 不知道为什么，总是最喜欢这个....            
(NA)	 风往哪里吹            
(3星)	 这个~~不想说，只想吐！            
(4星)	 哈·小时候超喜欢看··· 然后大家还扮角色呢···            
(NA)	 好sb的片子            
(4星)	 内年不看春节看风云 喜欢风            
(2星)	 我看了……我還看完了 我……            
(3星)	 还是蛮帅的。            
(NA)	 小时候非常喜欢看= =            
(2星)	 烂就一字            
(NA)	 这部还可以啊~~            
(2星)	 老是分不清何润东和冯德伦 囧 看到风云时惊叹~~他咋变那么木气质鸟  囧 其实是我认错了人 囧            
(4星)	 这版的聂风倒也颇有感觉。非常喜欢江祖平的幽若……            
(NA)	 我的白痴岁月，和融融，敌敌畏，牙刷同学很迷，我迷风和段浪            
(3星)	 电视剧            
(3星)	 你可以猜一下我是比较喜欢……            
(3星)	 电视剧中的插曲挺烦人~            
(4星)	 主要是觉得主角扮相好看~~            
(3星)	 除了蒋勤勤之外各种雷....            
(2星)	None
(2星)	 叫你烫卷发。。            
(NA)	 断浪和幽若还挺好看的……两大男主都没什么颜，妹子圣母光环全开，雷死我了……            
(3星)	 迷恋风和云，我也是追了好多遍！！            
(3星)	 小时候多喜欢啊每天追着砍虽然觉得楚楚的声音何的大鼻孔和香肠嘴实在太可怕啦另外我竟然忘记江祖平那个美女姐姐也在里面嗷            
(3星)	 我们家老头晚上总看这个            
(4星)	 这就是童年= =            
(3星)	 我只记得蓝头发的步惊云…小时候蛮喜欢这部的。            
(4星)	 girl~真爱你了~            
(5星)	 年少温存的记忆            
(NA)	 心是透明的 很喜欢陶虹楚楚的扮相            
(NA)	 初中时最粉的是蒋勤勤            
(5星)	 颜盈真是绝色大美人！！！            
(3星)	 光记得小时候那年夏天吃雪糕看这部剧了            
(3星)	 无聊之时，亦可一观。            
(5星)	 当时想看看不够！            
(NA)	 。。。            
(1星)	 千古最雷最恶，赵文卓和何润东恶男大pk            
(4星)	 大爱何润东            
(3星)	 水靈和蔣勤勤 到底是不是一個人？？            
(3星)	 当时看可没注意过大鼻孔什么的            
(5星)	 新一轮的怀旧时间开始= =            
(3星)	 当时蒋勤勤真是美啊！！！             
(NA)	 内地            
(NA)	 当初我真是超爱赵文卓==；我年少无知==；            
