http://movie.douban.com/subject/2983271/	微笑Pasta 微笑PASTA
(2星)	 为什么台湾电视剧可以这样烂！            
(3星)	 的确是台湾呕像剧~~~            
(NA)	 电视天天播放 真的很不好看            
(1星)	 脑残。-10星            
(2星)	 我操為啥張棟樑這張臉還能一直演萬人迷帥哥            
(1星)	 极度恶心。            
(3星)	 一字一顿的人生 是怎么度过的？            
(1星)	 有王心凌的台湾蹩脚偶像剧都很恶...            
(1星)	 男主太丑太丑太丑            
(3星)	 恶俗，张栋梁居然也能演偶像剧……王心凌更是啥也不说了            
(NA)	 王心凌大概只会演弱智无辜女了吧            
(4星)	 这部还不错，看偶像剧就是要轻松嘛~音乐部分有加分！            
(1星)	 巨丑二人组            
(NA)	 都是跳着看的 /ll            
(3星)	 无聊的时候看看　还不错            
(2星)	 无聊            
(2星)	 自带避雷针，或者你雷着雷着就习惯了，反正我是看完了。            
(3星)	 对歌曲印象比较深。            
(NA)	 王心淩你是個弱智是不是?             
(1星)	 王龅牙你好            
(1星)	 王心凌垃圾            
(4星)	 开心就够了、            
(3星)	 原来张栋梁也会拍戏~            
(1星)	 这个可能是老娘看过比《流星雨》还更他妹坑爹了。            
(2星)	 男主的牙医真不错，如果不是烤瓷的话，怎样才能有那么白的牙呢            
(3星)	 過。            
(1星)	 这是我看过的演技最差，最脑残的电视剧。            
(2星)	 太弱了。。。            
(1星)	 通俗易懂            
(NA)	 有段时间到外面吃饭..只要有电视机的地方..都在放这个剧...请告诉我..到底哪儿好看了...            
(1星)	 可以去死了可以去死了可以去死了可以去死了可以去死了可以去死了            
(3星)	 大致知道内容 跟着电视里有一集没一集的看 = =+            
(4星)	 麻烦把王心凌童鞋P掉，只要何群就好~~            
(2星)	 王心凌很恶心            
(1星)	 这么恶心的电视剧，我竟看了个差不多，只是因为芒果台惨无人道的重播而已            
(3星)	 没看完。            
(4星)	 有点幼稚啊……            
(NA)	 海哥每天晚上看着这个傻笑            
(3星)	 喜欢张栋梁的笑容。            
(2星)	 我當韓劇看的，張棟梁長的跟金在元可真像。            
(NA)	 看过一点点 张栋梁的声音好女            
(1星)	 王大姐………………            
(2星)	 很多地方莫名其妙            
(1星)	 原来张栋梁不只长得丑还那么呆。            
(2星)	 王心凌真的太弱智了            
(NA)	 湖南卫视年年日日重播            
(2星)	 太做作了╮(￣▽￣&#34;)╭             
(NA)	 巨难看            
(1星)	 希望这是台湾呕像剧的下限            
(1星)	 我不想看都不行             
(1星)	 唉，这是最糟糕的了……男青蛙女恐龙，再见吧。            
(2星)	 继续不好看            
(NA)	 不想看的。抵不过芒果台播了好多遍。我就用好多年的时间把这部剧拼凑起来~            
(2星)	 接连两个学期空虚的考试期, 让我加起来把这部片在芒果台上看完了.........            
(3星)	 陪着姐姐一起看的。。            
(NA)	 乌龟妹...            
(2星)	 垃圾。            
(2星)	 杀时间            
(3星)	 轻松搞笑片            
(2星)	 王心凌你敢不敢再做作一点，再做作一点！！！            
(1星)	 男主角那么丑!还一群女生围住他说好帅好帅!!!里面没个正常人~            
(3星)	 一边骂看这剧的室友白痴一边站在他旁边把它看完了            
(3星)	 该笑的地方笑，该狗血的地方狗血。            
(NA)	 笑屎我了 。。。            
(1星)	 無語了            
(1星)	 和外侄女一起看的。。。也就是00后稀饭这个。。。 - - ||那时一直在想女主角是谁。。。想不到现在才知道是王心凌~~~            
(NA)	 极度无语            
(1星)	 不喜欢            
(NA)	 雷的可以让你看的很开心            
(1星)	 张栋梁你。。。我无力            
(1星)	 囧不死我。。。            
(1星)	 多么有才的电视剧，吸引死人了……            
(3星)	 加到三顆星是因為……我到現在還是很生氣一開始成曉詩夾在那狗逼和那對狗兄弟中，幫忙還要被威脅被威脅還有口難言完了還被冤枉。那都不是用委屈來形容的吧……操你媽的狗蛋……都什麽狗男女。            
(1星)	 张栋梁怎么跟我记忆里面长得不太一样？            
(2星)	 。。。我最后还是看完了，如果是现在，肯定就坑了，坑在第一集            
(1星)	 太丑了 太丑了 猪脚们都太丑了             
(3星)	 ……其实我都没看完过……            
(1星)	 = = = ！！            
(2星)	 无脑。            
(1星)	 要不是朋友推荐！！我真不看！            
(3星)	 主演都很做作的感觉            
(NA)	 2←            
(3星)	 这个实在不好看,男主角长的跟PASTA样的            
(3星)	 台湾制造。            
(3星)	 天空是绵绵的糖。            
(NA)	 好傻。            
(1星)	 恶。。            
(4星)	 可爱~            
(NA)	 哎~            
(NA)	 还是 哈哈            
(1星)	 要不是死党让我看。。。我死都不要看            
(3星)	 去妹妹家住的时候跟她一起看的……痴痴呆呆的一家人……            
(3星)	 无聊的时候看看吧。            
(3星)	 虽然做作,但还是很搞笑的~~            
(2星)	 我比电视剧还无聊 无聊到去看这么无聊的电视剧            
(3星)	 最深刻的是张栋梁一口洁白的牙齿，简直就像在卖牙膏广告。。。但是，记住他洁白牙齿的同时，也记住了他的烂演技==#            
(NA)	 ……            
(NA)	 陪着小我10岁的表妹看的。。            
(1星)	 两个主角都很装B            
(NA)	 我婶婶也爱看的偶像剧~~            
(NA)	 实在没电视看的情况下。我看完了~~            
(NA)	 想开一家那样的餐馆            
(3星)	 乌龟妹和扫把星            
(1星)	 俩低智商的人儿            
(2星)	 另一脑残片~            
(2星)	 电视剧            
(1星)	 依然不很喜欢            
(3星)	 很搞笑            
(2星)	 囧 失败之作吧            
(3星)	 現在看這些粗制濫造的偶像劇竟然也能看得下去叻，我是不是變得低速了呢？            
(3星)	 的确有些佩服自己了．这可以说是我看过的第一部台湾偶像剧（还是在考试前），看来我的确进入到了考试前的＂浮躁期＂了．．．晕呼呼啊～            
(4星)	 因为快乐和感动            
(NA)	 饿滴神咧，张栋梁也演偶像剧，看了一上午还是不能接受他是帅哥这个悖论。            
(3星)	 无比傻×的甜心教主            
(NA)	 我家的数字点播电视就只有这种程度嘛。。。- -不如不要。。OTL            
(3星)	 第二男主角nino不错            
(4星)	 我想吃微笑PASTA            
(3星)	 以前不喜欢。现在开始喜欢了。原来人都是会变的。我也不例外。            
(1星)	 白痴            
(2星)	 看不下去啊            
(3星)	 真不愿意承认我是冲着王心凌去看的.结果我还是喜欢男2.男2驳倒论.            
(4星)	 无聊偶像剧也有可看之处，让我迷上张栋梁            
