http://movie.douban.com/subject/2983389/	寻秦记
(5星)	 经典中的经典.            
(5星)	 电视剧改编的比小说好看多了，不愧是A货之王TVB出品。            
(5星)	 简直就是为古天乐量身打造的电视剧,从爆笑搞笑回归到严肃的历史想象,有意思!            
(4星)	 黑掉的古天乐帅是一样帅，郭羡妮美过萱萱十条街，当然演技的话就可以反过来说啦            
(4星)	 3P...            
(5星)	 超经典！有我最爱的古天乐和宣萱            
(4星)	 古天乐！够帅！            
(NA)	 萱萱！            
(4星)	 终于看完了...古_____________仔            
(4星)	 跟著家人看過好幾遍以前             
(4星)	 经典！            
(3星)	 剧情哪里恢宏庞大            
(4星)	 我师兄林峰，就是那个嬴政。            
(4星)	 白淨都古天樂，比古天樂更加黑的林峰。林峰真丑            
(5星)	 项少龙：“没想到秦始皇焚书坑儒，竟然是为了我。”            
(3星)	 穿越了。            
(5星)	 ＴＶＢ最喜欢他和天龙八部和楚汉骄雄            
(3星)	 林锋不错.            
(4星)	 有点意思            
(4星)	 萱萱的部分害我哭好久~            
(4星)	 古萱恋的高峰，林峰的接班开始。            
(3星)	 还是原著更好            
(4星)	 大男子主义的穿越。            
(4星)	 最帅是江华            
(NA)	 如果我是她，我会回到未来            
(5星)	 穿越的启蒙剧            
(4星)	 这是古天乐最后一部电视剧作品了吧。            
(3星)	 穿越啊！穿越！！            
(3星)	 古天乐这里面挺帅 郭羡妮挺美            
(4星)	 还不错。            
(4星)	 当年我刚看完原著 电视就出来了             
(5星)	 这一部我真的爱。            
(5星)	 再看一遍还是觉得嫪毐的故事最虐心。今日吾躯归故土，他朝君体也相同。我见他人死，我心热如火。不是热他人，看看轮到我。            
(NA)	 看了一半．．            
(4星)	 我没看完，我想知道结局            
(4星)	 这个还算不错的说~至少俺小时候挺萌的~            
(4星)	 开头强过结尾，但还是很经典。少数的男人和女人都爱看的肥皂剧~~            
(4星)	 还不错，古仔变黑后我最喜欢的            
(4星)	 哥哥最爱的电视剧。            
(2星)	 TVB             
(3星)	 好好的色情被改编了。            
(4星)	 好看            
(4星)	 还是比较喜欢这个时候的林峰，后来不知怎么越来越残了，尤其是白蛇传说            
(5星)	 重温            
(3星)	 其实是小说有意思            
(4星)	 其实这本书好黄啊。            
(5星)	 古仔帅得一逼！！            
(NA)	 棒！            
(3星)	 重看……            
(NA)	 初中 真服了我哥了 这个片子能乐此不疲看巨多遍             
(5星)	 当年可爱死这个片儿了。。            
(4星)	 据同事说 没书好看            
(4星)	 小时候看，一下子被吸引住..前几集笑到不行.. 看到项羽的出现被雷得不行.. 林峰这时候不好看            
(3星)	 老妹最近在看，自己以前也看过一点，基本也算是看完了。个人觉得，女主里面还是善柔最好，虽然她是唯一一个没有跟男主表明感情的。另外，编剧还蛮牛的啊，各种史实都能串到一起，连焚书坑儒都能连起来咧……            
(4星)	 看得断断续续，不过算很不错            
(5星)	 这个小时候真的觉得好好看啊            
(5星)	 经典            
(3星)	 哦喲……            
(4星)	 过。            
(3星)	 古天乐很可爱~            
(4星)	 為什麼要找雪兒演呢......毒藥            
(3星)	 最有机会让我喜欢上宣萱的一部戏，可惜综合了原著中纪嫣然的琴清太清冷，而龙阳君太惊艳，于是我从来也没有喜欢上宣萱。            
(3星)	 我晕了，这东西怎么就经典了。。。            
(3星)	 开始添加TVB...            
(3星)	 今天我终于知道为什么龙阳君这么喜欢项少龙了，为什么龙阳君找个女的来演了！！！！            
(5星)	 项少龙啊啊~古仔~~            
(3星)	 戏说            
(3星)	 那个崖怎么跳也不死            
(4星)	 比较好看的电视了算是。            
(4星)	 小时候～            
(4星)	 穿越啊！            
(5星)	 高中时候很爱看            
(NA)	 补遗                  
(1星)	 穿你妈逼越            
(4星)	 好好看哦！！！            
(NA)	 古天乐酷！            
(5星)	 我认为除了95年版本的神雕后,最好看的一部古装片            
(4星)	 古天乐一个人滴拉风。            
(5星)	 当年很痴迷！            
(3星)	 寻秦记            
(3星)	 看了一些··看不进去。            
(4星)	 时间 因果 可能性            
(NA)	 jun的最爱~            
(4星)	 因为这部片子去看黄易，原著果然好看多得多            
(4星)	 全能             
(3星)	 天平男+狮子女+巨蟹女+摩羯女，摩羯女，射手男，摩羯女，天蝎男            
(3星)	 觉得就是一般的香港闹剧，看不到什么历史风云            
(4星)	 主题曲很好听。。。            
(4星)	 ^_^            
(3星)	 当年在某某人寝室陪某人看了一点点点~            
(5星)	 经典~翻来覆去地看都不腻~项少龙~额滴神啊~            
(5星)	 穿越鼻祖            
(3星)	 时空转换，究竟是喜还是悲？背负着历史的重任，却是收获隔世情缘，是造物弄人？还是有缘无份？项的机智勇敢，注定他是一个孤独的人，注定是个多情的人。            
(5星)	 看完之后竟然无力感很强.笑都是苦笑.            
(4星)	 看到现在是红果果的搞笑剧。。。接着往下看。。。            
(5星)	 看过4次            
(4星)	 穿越……= =            
(4星)	 男主穿越了～当然是人见人爱，车见车爆胎。喜欢上林峰就由此开始。            
(5星)	 百看不厌!            
(4星)	 很耐看的一部戏，可以珍藏            
