http://movie.douban.com/subject/2983434/	我和春天有个约会
(5星)	 若干年后再看，再不觉得家豪和小蝶是天造地设的一对。            
(5星)	 梅兰梅兰我爱你 你像兰花的着人迷  你像梅花的年年绿 看到了梅兰就想到你            
(5星)	 小學時代，我最想成為小蝶。            
(NA)	 长大后才发现傻人有傻福说得真是有道理            
(5星)	 你，你，你...为了爱情。            
(4星)	 想当年，下午要考试了，我上午还在看这个电视剧。。。            
(4星)	 记忆总是美好的。尤其是歌。            
(5星)	 一阙幽幽的saxophone~  当年最爱金露露。现在想来，真是性格决定命运呀            
(5星)	 我的小学时代啊            
(5星)	 丽花皇宫!            
(5星)	 怨念的只是《君临天下》里江华没有和金露露在一起。于是希望在这里看到延续，虽然全不相干。            
(5星)	 夜阑人静处，当听到这一曲悠悠的saxophone,它可以柔柔将真爱为你送……            
(4星)	 竟拍出了一份隽永的美。辛晓琪的片头曲亦是心头好。            
(5星)	 哎呀  小时候好喜欢这部戏啊            
(5星)	 活脱脱的记忆！！！            
(NA)	 童年最爱 钻石钻石亮晶晶 白浪哥 哈哈 以前夏天一停电就哭天喊地的 因为就赶不上看我和春天有个约会了 fufu            
(4星)	 怎么没有演露露的蔡晓仪的名字？那是我小学同学表姐来着。两个人都是超漂亮            
(5星)	 夜阑人静处，响起了，一阕幽幽的saxophone...            
(4星)	 夜阑人静处响起了一厥幽幽的saxophome看到第二十二集实在看不下去了            
(5星)	 哇塞~ 我那时好迷洪LX啊             
(5星)	 为什么江华是个负心汉            
(4星)	 最赞的是原声，看第三次了            
(5星)	 夜阑人静处响起了一厥幽幽的saxophome            
(4星)	 夜阑人静处，响起了一曲幽幽的saxphone            
(5星)	 儿时起经常梦见江华吹萨克斯风，觉得是经典男人。            
(5星)	 初中時半夜3點爬起來也要看的劇····            
(5星)	 夜阑人静处，想起了，一厥幽幽的Saxophone            
(5星)	 当年特迷的一部  想起那首幽幽的saxophone            
(5星)	 小时候多么的喜欢呀。记得妈妈说，最后还是那个疯丫头最幸福            
(5星)	 露露 莲茜 小蝶 凤萍  丽花皇宫 百看不厌 小时候最喜欢凤萍~            
(NA)	 只是记得那首歌，灰常喜欢。此歌也算是个情意结。小丑，十年之约。如果你愿意，我可以，永远像现在般美丽。如果你有情，这世界，可以不需要再有四季。多少爱情正甜蜜，多少童话在凋零，然而我始终相信，我将得到永恒的幸运。再也不必为爱所苦，真爱不用再分离，只要你用心经营，就会，幸福到底。真暖。            
(NA)	 你你你为了爱情！            
(5星)	 少年不识愁滋味，一晌贪欢。我最不愿看到的是戏里戏外，都是一种凄冷结局。            
(5星)	 当时那个迷啊~~~我们一群丫头片子都迷~~~还买了原声带。。。每年春天总会想起。。            
(5星)	 太经典了。OST也好听。            
(5星)	 插曲很赞耶~十几年前记得楼上姐姐还给本楼所有弟弟妹妹普及那首粤语歌~            
(5星)	 超爱。爱到里面每首歌我基本都能唱。我妈说我小时候特爱唱那首“你为什么偷偷又摸摸”娱乐大家。            
(4星)	 记得小时候暑假，总是半夜里爬起来，一边吃冷饮一边看，很有feel~不过还是姚小蝶成名前那段最好看。            
(5星)	 亚视有它就足够了。            
(5星)	 夜阑人静处响起了一厥幽幽的saxophome转眼我已十年~~~            
(4星)	 过了十几年再看，那些荒谬的情节都变得可爱起来！            
(3星)	 怎么豆瓣评星这么高？            
(5星)	 大爱.每个人的命运其实是天注定.拥有这样的想法的我着实悲观但却在此剧有印证.片子的最后孤雁很好听.            
(5星)	 很小年紀的時候放的，懷念阿，當初看了很多遍，熬到半夜            
(4星)	 年轻时候没看过，所以没有所谓的情怀。不过四个姑娘在台上的感觉真好。前二十集好，到后来加了太多别人杂七杂八的故事，大概是想讲人生，只是拖沓又杂乱，没意思了。小蝶和凤萍恋爱中的小样儿让我很看不爽啊，可惜的是连茜跟露露咋没搞个百合出来。            
(5星)	 最难忘的青春剧和幽幽的萨克斯风。            
(5星)	 这个经典的来~。兰凤萍。叹息啊            
(5星)	 晚上听电台放的歌，突然记起那么多年前的电视剧            
(5星)	 小时的美好记忆啊 那个时候就喜欢会吹sax的            
(5星)	 幼年的电视剧，因它知道Saxophone可以这么迷人。想重温。            
