http://movie.douban.com/subject/2988993/	皇朝太医
(NA)	 罗海琼的精分女还蛮有印象的。            
(4星)	 灵枢+素问~结局好好~            
(4星)	 不得不说,我还是比较喜欢这个            
(3星)	 这里满喜欢罗海琼的双重性格，分裂时候两个性格，合并后成了第三种性格。把握得蛮好。            
(4星)	 这部电视剧让我认识了罗海琼，并对她印象深刻。            
(4星)	 因为这部剧认识了孙耀威。喜欢里面的罗海琼。还有我喜欢的李小冉            
(NA)	 想再看一遍            
(3星)	 就记得里面罗海琼演的那对双胞胎，一个叫灵枢，一个叫素问            
(4星)	 小时候看过的电视剧，对精分女蛮有印象的，不过结局蛮讨厌的，不是我喜欢的CP在一起            
(NA)	 果然是这样啊...            
(4星)	 大陸講到有關古代精神分裂的片子並不多。兩男主全裸出鏡，任泉身材遠不如孫耀威。            
(4星)	 哎哟我当年挺喜欢罗海琼的诶，对孙耀威也百般好感啊！            
(4星)	 那时候超迷罗海琼的，还有弄草堂的发型很霹雳风~~            
(NA)	 许还幻在这里。。还有灵枢素问精神分裂。orz            
(1星)	 额啊！打死你！            
(3星)	 整个一JQ片儿            
(3星)	 都不记得是多大年纪时候看的了。            
(NA)	 姜广涛            
(5星)	 小时候觉得很好看啊！！！！            
(5星)	 啊，好喜欢这个片子的。。            
(3星)	 罗海琼的精分女让我记住了她            
(4星)	 这部很欢乐，很好看吖！！            
(5星)	 小时候好好好喜欢啊！！！爱死中医了！！！孙耀威也很喜欢！！！总之这部戏很喜欢~~~~            
(4星)	 小學放暑假看的 當時超喜歡羅海瓊啊            
(3星)	 分裂症的编排很有新意~男一号是当时电视剧中很流行的活泼小痞子~结尾罗海琼摇着手铃让人感觉很美好            
(5星)	 极少数我看完的电视剧            
(NA)	 好看也            
(4星)	 我就喜欢任泉，可是他在里面只能是陪衬孙耀威的倒霉男2.            
(3星)	 只记得人格分裂一说            
(4星)	 这个被我yy过，而且，我还写过这个的同人！            
(NA)	 原来这才是我看过的第一部人格分裂的片子！ 灵枢素问。。            
(4星)	 不得不承认编剧的夸张。这个太人格分裂了。演员还是很养眼的。            
(5星)	 平常，草堂，素问，灵枢，美好的回忆。            
(4星)	 欢乐的回忆。喜欢孙耀威和罗海琼。            
(2星)	 就記得素問和靈柩長得一模一樣~            
(4星)	 当时觉得好好看啊！任泉演一个小人了么后来。。孙耀威痞得可爱~哦MS那时候更素问~            
(NA)	 居然没太大印象咧。。。            
(4星)	 很不错的电视剧啊            
(3星)	 那个精神分裂的剧情还是很吸引的            
(4星)	 至今对这个的片花印象深刻！            
(4星)	 人格分裂很有意思            
(4星)	 初中狂爱电视剧。这部也是租片看的一部。第一次见到双性格的女主这种题材。偏爱服装            
(NA)	 精神分裂  素问  灵枢            
