http://movie.douban.com/subject/2989755/	命中注定我爱你 命中注定我愛你
(3星)	原来是编剧叫这名字，太YY了
(3星)	发觉就前5集比较不错，8集以后弃。台湾剧能不能有点出息
(4星)	ｄｙｌａｎ　ｄｙｌａｎ　ｄｙｌａｎ
(4星)	这个编剧团队很不错，领会了美剧精神，起承转合把台湾偶像剧这回弄的贴谱了，阮经天爆红不难，我也喜欢他，长相还是像他自己说的，有点怪，演技和身形都非常不错，就是跟明道彭于晏太像了，只要他们还在，阮经天就不算特殊材质，尤其是长的不如他但是性格成熟的明道，俩人很容易成对方替代品
(NA)	很久没看偶像剧 阮经天很帅~~~~~~
(NA)	在阮经天给孙燕姿拍神奇的 MV的时候就很看好他 终于破茧而出了 
(NA)	我很喜欢她老妈说话的语气。哈哈哈
(1星)	再说一次还是很傻逼
(4星)	这片子我居然有看,太无敌了吧
(5星)	雷得相当之销魂！
(3星)	我就觉得陈欣怡是个好人。。。
(3星)	阮经天那张脸蛋才是支持我看完整部剧的动力
(NA)	有爱。很有爱。
(5星)	愛死阮經天了，典型的灰姑娘情節但是，我愛~~~
(4星)	终于看完了！很好看，除了后面几集有点拖沓
(3星)	虽然狠搞笑,但其实狠幼稚.在给星上我一般比较理智.哈哈...
(NA)	不知道为嘛为突然开始看偶像剧还看得巨带劲儿 这玩意儿看得为很想谈恋爱········
(4星)	哈哈 其实我都看过命注的
(3星)	小天
(4星)	阮经天哪！！！！！
(3星)	感觉台剧一直比较幼稚
(4星)	很蛋疼，但是我居然看完了。。。我怎么回事啊我
(4星)	其实这剧实在是很治愈~奶奶实在可爱~阮经天更是萌点~消磨时光再好不过的偶像剧~几年前它大红的时候我不屑看~觉得偶像剧大多一个样~可是现在会有些改观了~虽然剧情同样幻想狗血~但好在是穷人唯一的星光在闪耀~看到最后我的心被融化掉了。PS：实在讨厌陈乔恩~。不明白她为什么会红
(5星)	阮经天
(4星)	23
(3星)	我承认我最近有点发疯~~~~
(3星)	回头看这个不难发现：你果然是豆导雕琢过的。
(5星)	小清新千万不要鄙视我看偶像剧哎～～～这个好好看～～
(4星)	陈欣怡好可爱——我也想有这样的女盆友。
(3星)	为了小天，看啊！小天的眉毛真是没话说
(5星)	哈哈哈 为什么我好爱这部偶像剧 虽然很白痴！
(4星)	好看哦~小天~~~~
(4星)	谁都在爱，哪有谁多谁少谁贵谁贱。不是三年敌不过两个月的问题，而是……感情会流动。不过，比付出，有谁比得过Dylan同学呢。
(4星)	符合我审美观的。又符合大众审美的。小天真难得。= =。
(4星)	小天演的很可爱啊，虽然很多让人窝心的桥段，但是谁的心里没住着一个灰姑娘呢，渴望被如此爱上个一次。啊，好久没看偶像剧了。。。
(5星)	虽然21集以后就不怎么好看了~但还是依然的决然的愤然的给这个偶像剧打五颗星~~我愿意再把前21集看一遍~！即便早就过了欣赏偶像剧的年纪~~PS.在大半夜里哭得心痛~
(5星)	好喜欢阮经天！！！！！！！！
(3星)	为啥是巅峰？？？
(5星)	善良 不刻薄
(4星)	我手痒想写偶像剧了……
(4星)	到23集 就没准备继续看 觉得太拖沓没想到24集 就是结局 36分钟 很感人的结局
(3星)	前半段有好多怀孕的情节，现在看起来比较有感触，哈哈。有几集还是比较搞笑的，不过结尾太不给力了。白歆惠长的真像日本人啊！
(2星)	好土！非常土！
(2星)	我想我到死都不会明白，为什么这么弱智无聊白烂愚蠢的片子竟然会是台湾偶像剧收视第一。
(NA)	真是弱智儿童欢乐多啊
(NA)	花絮部分，牧师的《舞娘》，啊哈哈。
(2星)	陈楚河在我眼里因为他的家世背景而瞬间高大了起来。只是这个剧真烂，陈乔恩要改变戏路否则很难突破。
(4星)	陈乔恩演技大好...其实我觉得..还蛮感动啊难道深有体会= =；；
(3星)	后面拖拉的剧情真无聊~ 应该限制台剧只能拍11集~
(2星)	拖进度条拖完了
(3星)	难得的有女主角自强的片子
(4星)	看前面几集觉得蛮好看的　最后不知道在搞什么。。。越看越不想看
(4星)	爱的偶像剧
(4星)	看到18集 就觉得足够了。
(4星)	今年唯一追的一部台湾剧 太拖沓了 不过还算能看吧~
(NA)	我猜出了开头，却没有猜到结尾。ＯＲＺ～
(5星)	一天一天，贴近你的心～哭哭笑笑 囧囧有神！10.25开始看 11.4看完 哈哈哈！
(4星)	从来不看台剧的人觉得这一部还比较没有那么机车。。。默默路过。
(5星)	嘻嘻~超好笑啊喂~
(3星)	结尾扣掉一颗星啦拖沓了
(3星)	他们2个我都爱···哈哈···
(4星)	不要再做便利贴女孩，在别人需要的时候随时拿来用，不需要的时候就随手扔掉。
(NA)	看这个……是被芒果台害的……对于台偶剧神马的永远都是奥特曼……
(4星)	我也是断断续续看了好几遍。囧。
(5星)	看过次数最多的电视剧了
(3星)	纯属花痴阮经天。其实特别喜欢看女主角在上海成长的那段
(3星)	2010年初 喜欢陈楚河那范
(NA)	我是有多无聊，这肥皂剧都看得完= 。= 
(4星)	厄，还蛮好看的...又骗掉不少眼泪...嘿嘿，看完感觉有一两天讲电话都比较温柔一点...小疯子...　｜　“幸福如履薄冰”。
(NA)	看了头和尾
(NA)	减压。。哈哈哈。
(NA)	在芒果台看的，没啥特别感觉。就是一灰姑娘变公主的典型偶像剧。
(NA)	试图明白
(4星)	虽然不喜欢台剧，但是好幸福
(3星)	只为了Jam腾的出现 呼呼
(4星)	毒药，全是毒药！！！！
(3星)	= =没错，我从一半的时候开始看，最后看完了
(3星)	我瘋了OTZ
(4星)	好吧~便利贴
(4星)	终于看完了，累死我了
(3星)	男二号永远都比男一号要痴情一百倍，女主角最后永远都要和让她伤心哭泣的男一号在一起。
(4星)	tips，阮经天，陈欣怡的妈妈，还有，那个八婆的Anson，只是剧情后半部分很水，很拖沓，前面的不错。
(NA)	雅俗共赏
(4星)	看着人。。。那叫一个舒服
(1星)	我讨厌陈乔恩,个么阮经天是傻瓜吗?
(NA)	大家都说挺好看，我却觉得一般般
(NA)	陪妈妈看
(5星)	为了某个人看完这部电视剧，也算是功德圆满
(3星)	好做作。。。。。。
(4星)	我居然看了偶像剧 娇羞&gt;&lt;
(5星)	纪存希比卢卡斯可爱!Dylan神父说跟他很不搭的台词的时候最可爱！
(2星)	太烂了。虽然喜欢小阮，还是看不下去呀！
(NA)	陈欣怡真的是个很善良的好女孩，纪存希真的是个死不正经的正经男人。
(4星)	我爱煲电视
(NA)	我看了这个剧你信吗～～～
(3星)	阮经天是为毛有这么多资源？？？
(4星)	我就爱这种欢喜大结局的，不费劲
(NA)	１集
(5星)	陈楚河帅爆了
(4星)	不要笑我之在看幼稚偶像剧……创我人生之记录，用五天飚完40集……
(3星)	偶像剧的使命就是二到底，傻到底！
(4星)	有点意思,哈哈,而且我发现戴眼镜的陈乔恩笑起来很像雨生!
(NA)	一般好看的偶像剧都算不上，真不知道这剧为何是收视冠军。。
(4星)	我是很感动~~
(3星)	前半程还行吧。。
(NA)	看到第一集的自我介绍时“靠，那不就是我……！”
(4星)	王子和白雪公主的情节还是那样老套，其实我好喜欢陈林西施儿了啦！！！
(2星)	其实演得不差，只是剧本实在无话可说
(4星)	陈乔恩那个龅牙老女人能不再出演这些好角色吗？看看你本人就觉得莫大的讽刺
(4星)	开始比较好
(NA)	三月回国的时候跟朋友一起看的~
(3星)	曾经很搞笑，而后很拖拉
(5星)	后面抻的太长了点...
(NA)	掺和了搞笑成份就变得无聊了。再也不想看偶像剧了。
(4星)	后面也太拖沓了吧  没耐心了
(4星)	比较喜欢Dylan
(5星)	很像我和bb的爱情！！
(3星)	果然肥皂泡
(4星)	小河河MUA~~以前怎么没发现你那么温柔可爱。
(4星)	第一次是偶然,第二次是必然,第三次是命中注定.
(4星)	这种回到狗血老言情的套路其实还是满有市场的。可是中后期实在是注水量太大。为了收视率降低整体品质不可取啊。
(4星)	真太长了..
(4星)	前面几集还是可以看看的，中间开始就。。。
(3星)	主题歌还挺好听的~
(4星)	四星全是给囧天的
(4星)	什么时候可以蜕变成elaine
(4星)	20090508
(5星)	当时真是一集一集追着看的...
(4星)	好看！
(4星)	前面吸引，后面很冗长。。。
(3星)	还是没有办法坚持看偶像剧~
(4星)	用了连续8个小时的时间看完。
(5星)	超级喜欢！！！
(3星)	前几集还行
(3星)	前10集挺好看的～
(4星)	虽老套，还是有可贵之处。。。乔恩很努力。阮经天！&gt;&lt;
(NA)	我觉得12集就应该结束了
(4星)	所谓狗血至此 真是集前辈之大成 不过开头的小阮还是很有看头的 要帅有帅要酷又酷 但是实在虎头蛇尾 难道我就这么不待见俗套的有情人终成眷属么
(NA)	我们宿舍的剧啊~
(4星)	幼稚也看。因为看的很幸福。呵呵。
(3星)	相当狗血和俗套的剧情~不过阮经天还真是可口的说~完全基于对阮经天美色的窥探。。。
(4星)	阮經天怎么跟明道越長越像了。。欧阳靖的妈妈。。。哦買嘎。。。。
(4星)	恩，确实挺有看头的，阮经天这小子的角色塑造还挺成功
(5星)	有笑有泪有高潮，好笑又好看
(4星)	我又恶俗了...
(3星)	爱情真是莫名其妙的。
(2星)	SB= =.
(5星)	认真的搞笑...几乎每一集都会让我流泪~~尤其是关于纪念品，让我不断收触~~是不是我也怀孕了~~
(4星)	小天~
(4星)	喜欢开始的便利贴女孩.  越往后越无聊了.
(5星)	剧情好不错。好多的巧合。现实中不可能。
(4星)	诚实地讲，喜欢这部台剧。虽然到后来故事变得拖沓，但是演员演出的到位和一些情节的设定都挺让人满意的。P.S阮经天果然出名了。
(4星)	与众不同
(NA)	其实我一直觉得，每一部偶像剧就是一个爱情童话，依然看偶像剧的女子，依然相信童话，依然相信爱情……
(3星)	宅啊宅  都怪有人要上班
(4星)	後面沒前面好看啦
(NA)	看哭了.
(3星)	我就恶俗了。到了后来明显的拖剧了。
(4星)	你即是我的命运
(1星)	看此剧请自带避雷针~~
(5星)	小天啊 帅
(4星)	陪我度过了最艰难的一段时期
(2星)	不如台湾电影真实。全TM王子灰姑娘的。。。
(4星)	嗯。。雖然 很俗套的。。但是 。我是一個人。也是一個傻人。。喜歡看哭哭笑笑的。。。哈哈。
(4星)	阮經天本性出演。
(5星)	好久没被台剧感动了，力荐！小天，fighting!!!
(4星)	三立又一次毁了一部可能成为经典的剧……
(4星)	相当好看
(NA)	最后一次看偶像剧
(4星)	灰姑娘症候群``
(3星)	前面还不错 后面太拖沓了 导致我减了一颗星
(NA)	快进看
(3星)	阮经天跟我一个同学有点像，可惜那同学的嘴巴很八，让我对这一型的帅哥幻想破灭了。不过阮经天是不是在参照棒子赵仁成的style，跟 巴厘岛的故事 里那个小开的气质好像哦。陈乔恩演戏不做作，还不错，虽然剧情老套，不过还是有笑点的
(5星)	终于结束了
(2星)	因为小天，三立最烂的一部片子，从导演到编剧到演员全都没用心。
(NA)	命中注定..
(4星)	其中有三集，俺哭的稀里花拉的，好像是第11集吧更是哭的厉害，哭完后，一口气喝了多半瓶矿泉水。其它集还是挺逗的，傻里傻气的。整体里来有点拖拉，太长了……
(3星)	看至17集。
(4星)	其实我是看的小说
