http://movie.douban.com/subject/2989958/	夏日里的春天
(3星)	 司徒南啊~~~            
(NA)	 李春天。记得当时还是很喜欢看的嘛，大连理工大学            
(NA)	 年少无知看这种片子啊            
(5星)	 这个是小学毕业那年看得..我看了两遍，第一遍不喜欢，第二遍完全被迷。超喜欢春天和高原，不喜欢司徒南！            
(4星)	 每次看都很开心开心开心。。。我大学咋不是这样呢            
(NA)	 tv还是颇追了下 还练了赤道和北极            
(4星)	 司徒南，四年了，依然喜欢你            
(4星)	 不知多少年前看的了,喜欢插曲            
(3星)	 马苏太漂亮了            
(4星)	 青春洋溢            
(NA)	 那么那么的喜欢高原。。。            
(4星)	 看了3遍了..            
(3星)	 挺喜欢马苏的            
(NA)	 蛮干净的片子            
(4星)	 很喜欢春天            
(3星)	 - - 我还看过这剧。。            
(NA)	 小喻痴迷该剧- -一探究竟。            
(4星)	 剧情俗了点，主题歌不错            
(NA)	 挺羡慕你们的……            
(4星)	 小時候特別喜歡看            
(2星)	 太丢人了 【捂脸            
(2星)	 初中            
(3星)	 年少无知。。。            
(3星)	 = = 那会儿还上中学呢，然后就特别羡慕男猪脚他们的宿舍还有马苏的小车~            
(1星)	 讨厌死什么叫&#39;春天&#39;夏天&#39;的女主角了            
(3星)	 春天这姑娘挺好哇            
(3星)	 好几年好几年前的  = =    司徒南啊啊啊 * *            
(4星)	 2004 珠江台            
(4星)	 真的，很不错。            
(5星)	 因为这部电影,被大连吸引            
(3星)	 唯一的记忆就是主题曲：赤道和北极。            
(4星)	 原来看的时候可喜欢。当时还年轻。哈哈            
(2星)	 當初看的時候就討厭周韋彤。一個話都說不明白的人。            
(NA)	 - -。嗟乎。            
(3星)	 挺喜欢春天和高原的。            
(3星)	 小时候看的时候就觉得演妙歌的周韦彤腿好长啊……没想到她身材如此劲爆，现在还去日本出写真了一刚！而且和以前长得一点都不像了！！            
(3星)	 高中时候看的了吧            
(NA)	 那里面得妙歌，现在都成啥样了都！！司徒南那时候看可真帅！            
(NA)	 高磊好帅。。            
(4星)	 歌好听极了。            
(3星)	 不太喜欢马苏。            
(2星)	 N 年前~            
(4星)	 很多年前很喜欢。一直都记得那首赤道与北极。            
(5星)	 高磊好帅！            
(3星)	 当时觉得再青春不过了。            
(3星)	 刚开始其实蛮搞笑的，到后面就狗血了~~~~~~~~~~            
(3星)	 飞机和爱情一样  起飞的时候都很困难，需要长时间的磨和与滑行。 在空中飞行时，要记住平淡是真，那时便进入了忘我的境地，也就是迷惑了，认为他就是自己的真爱。 不到终点不能换乘别的航班~ 牵了手就不要随便说分手，一起飞过人生~             
(4星)	 司徒南和马苏啊！            
(3星)	 我记得是初中毕业那个暑假看的，哈哈哈~            
(4星)	 大学时候挺喜欢的一部电视剧，喜欢水晶飞机            
(3星)	 至少有俊男靓女            
(3星)	 马苏真美            
(3星)	 - 当年的女二已经是很有名的模特。            
(4星)	 大学的时候看的来着，避免不了小做作，但还是很真诚的。大连理工大学            
(5星)	 年轻的时候很喜欢看的一部电视剧，觉得里面的人都很好看，可是总有没演完的感觉...            
(4星)	 青春逼人。            
(5星)	 看多了韩剧日剧台剧,咱大陆的偶像剧最实在,帅哥美女,标准的普通话,看了舒服..            
(5星)	 这个很棒的很赞的，一大把咸湿温馨的回忆            
(5星)	 这个我给五星。我觉得比奋斗好。            
(NA)	 跟北京夏天很像啊            
(1星)	 狗屁不通，孔令辉的女朋友在里面呢。            
(3星)	 看这片完全是为了看马苏…其他演技差死了…当然除了王刚            
(4星)	 惊讶，完全没名气的电视剧却的确都是俊男美女。。            
(3星)	 当时看好好。            
(3星)	 国产电视剧我真的都只能打3颗星了，极限啊...            
(2星)	 马苏真美丽            
(3星)	 好吧，我承认我是在弥补我以前没有看完的遗憾            
(4星)	 那时候就觉得马苏很可爱……            
(NA)	 初三的暑假看的吧，当时就很喜欢高磊这型的            
(3星)	 主要是那首歌：赤道与北极 好听            
(4星)	 马苏好可爱好可爱的哦。            
(2星)	 唯有《赤道与北极》印象深刻            
(4星)	 爱情就好像一次飞行。这真是年轻时候看的片子了。            
(4星)	 高考完之后 看的vcd~呵呵 很古老了  大连            
(3星)	 这部剧还算好吧 就是那名字 我的天 真难听            
(5星)	 一直理想中的恋爱……            
(4星)	 最近重温的偶像剧..            
(3星)	 终于想起来了……            
(3星)	 司徒南~~~            
(4星)	 看了无数遍。。。            
(4星)	 很喜欢里面的马苏，那阵子一直在听crystal plan            
(NA)	 音乐不错            
(4星)	 NNN久之前看的            
(3星)	 希望永远都是春天            
(NA)	 我居然看过！            
(NA)	 剧中展示了美好的校园恋爱，喜欢男主角傻傻的笑。。。            
(5星)	 超级喜欢春天和高原的~嗯，找机会要再看一遍~嘿嘿。            
(4星)	 我当时可迷高磊 觉着太帅了 马苏在里面挺有趣的 这部中国式偶像剧倒还不错            
(3星)	 很不错的校园剧            
(NA)	 司徒南和春天很可爱            
(5星)	 春天真招人喜欢呐            
(4星)	 喜欢背景音乐：飞机和爱情            
(3星)	 在教育频道放当时很期待。            
(2星)	 童年记忆啊            
(5星)	 春天儿～～～～～～            
(4星)	 以前看过好几遍            
(4星)	 喜欢高原。            
(3星)	 狂爱司徒南            
(4星)	 司徒南啊，当年超喜欢的。马苏的春天特别让人喜欢，那么青春有活力。            
(3星)	 我看过的电视剧很多啊            
(4星)	 好喜欢高原还有司徒南！！！那个时候的马苏也好可爱            
(2星)	 我是真的看过这个            
(3星)	 很囧的剧            
(4星)	 我只是想知道这里面的妙歌就是周韦彤？？？？？？？？？？？？那时候觉得她各种丑，怎么变这样了。。。。            
(NA)	 青春的记忆            
(NA)	 我当初看的还很欢乐呢。。。            
(4星)	None
(NA)	 每次都是喜欢的男女主角，没在一起。            
(NA)	 很喜欢看~马苏很棒~当时希望剧中他能跟司徒南在一起就好了~            
