http://movie.douban.com/subject/2990292/	双面伊人
(3星)	 伊面            
(NA)	 儿时记忆，你好，袁洁莹。再看次            
(3星)	 好像原来看过...但还是看完了。嗯，laughing~嗯。变态男人。            
(5星)	 怀念啊怀念啊            
(4星)	 袁洁莹的戏为什么那么少            
(NA)	 袁洁莹的长相从小时候就让我纠结很久，她到底长的像谁            
(2星)	 很久以前看过，不是很喜欢            
(NA)	 我居然看过(￣▽￣&#34;)             
(4星)	 曹永廉复出之作，几ok~             
(3星)	 我是给袁洁莹的            
(NA)	 小时候小时候 好怀念 XD            
(4星)	 這戲印象很深。特別是那歌。            
(3星)	 很特别的电视剧剧本...而且有袁洁莹~            
(3星)	 有点印象 这个名字            
(1星)	 特别奇怪一片儿            
(3星)	 喜欢这个 就是双重性格            
(3星)	 伊面当初是年轻，可素俺一直对他不感冒~~~倒是袁洁莹，蛮pp滴            
(NA)	 美女 ！            
(3星)	 原来那时候就看过人格分裂的片子了            
(3星)	 不喜欢郑伊健            
(4星)	 youku下载            
(4星)	 小时候很喜欢。。            
(3星)	 小学或者初中看的，很新颖的故事，所以就记住了            
(NA)	 只记得当时没有看到结局。那时候，袁洁莹可是我心目中的女神呐。            
(3星)	 居然有谢天华            
(5星)	 那时候的郑伊健怎么可以留个长发还那么帅，那时候的女明星怎么可以那么清纯可人！！            
(NA)	 好深奥的            
(4星)	 喜欢研究心理学。。袁洁莹好乖啊～            
(2星)	 除了女主角是我的大爱，其他不评价            
(2星)	 小学时候看的？~印象有油轮~~            
(5星)	 好看好看好看....无敌冷饭            
(4星)	 怀念袁洁莹。神韵好像我很喜欢的一个DJ            
(3星)	 有点忘了            
(4星)	 省台每天18点播的时候每天一集跟的呀。很高兴只有20集呐。袁洁莹很靓。伊面的主题歌&lt;双面人&gt;也不错哈。            
(NA)	 有点恐怖吖哈哈            
(4星)	 袁洁莹太是我的菜了！！            
(NA)	 【1999】            
(3星)	 那时候觉得袁洁莹真是漂亮啊~！            
(NA)	 以前看还觉得有点小害怕...人格分裂啊！！！以后再看TVB人格分裂发案子就容易接受了....            
(4星)	 袁洁莹啊袁洁莹~            
(4星)	 我觉得游艇爆炸的画面做得很棒啊 题材也很不错啊 很有诚意 我怎么小时候都没看过            
(5星)	 哎呀，想来那时精神分裂啊，很久以前看的了，现在才定了个位，很喜欢女主啊，可爱            
(NA)	 人格分裂诶            
(NA)	 最后一集里的新闻播音员好像杨怡啊            
(5星)	 小时候超爱看的嘻嘻            
(4星)	 里面袁洁莹好漂亮啊~~里面郑伊健是个好人            
(NA)	 曹永廉啊曹永廉~            
(3星)	 OK的.             
(NA)	 就是人格分裂吧？            
(5星)	 为什么没有粤语的下载啊啊啊啊啊！！！！            
(4星)	 一刻宁静，一片天空            
(4星)	 诡异的电视剧故事，当年看得害怕了还。            
(3星)	 结局不记得了            
(NA)	 就记得袁洁莹了            
(3星)	 主题曲好听            
(NA)	 我以前真的觉得袁洁莹特别好看            
(2星)	 那时候的袁洁莹，，，啧啧            
(5星)	 看这个知道的人格分裂。。。            
(3星)	 我小时候偶像~            
(3星)	 当时很想不通袁洁莹可以不死，而陈松伶在 笑看风云 中就活活被烧死了            
