http://movie.douban.com/subject/2993101/	风吹云动星不动
(4星)	 我爱的男人叫廖凡。            
(5星)	 里面杨恭如真美。            
(3星)	 乱世之中，年轻人理想破灭的过程。            
(4星)	 廖凡！！！！！！！            
(4星)	 里边廖凡演的肖晃太爷们啦。以至于以后我没看到他都想到肖晃。很看好他！            
(4星)	 这里的廖凡很男人！            
(4星)	 挺好看的电视剧，都是大腕~！            
(4星)	 我很喜欢廖凡。            
(3星)	 李小璐在模仿周迅么?            
(3星)	 像雾像雨又像风，风吹云动星不动~~~            
(4星)	 認真的看完了，喜歡廖凡。            
(NA)	 俺记住内土匪了，廖凡..            
(4星)	 臭王八和小曼蝉，这感觉太好。。            
(5星)	 廖凡和李小璐看着挺配   诶呀 进一步因为这个爱上李小璐            
(4星)	 嗯，初三的时候看的，比较喜欢曼蝉和山贼。呼呼。            
(4星)	 就看得进赵宝刚这戏。            
(5星)	 最细化的一部。            
(5星)	 老套的剧情。但是拍的很好。人物性格很鲜明。            
(4星)	 《像》的胞弟            
(5星)	 很好的电视剧……就爱民初那种感觉，张歆艺大爱啊            
(3星)	 纯为画面布景选址、美工服饰的讲究给的两星，演员们一星，故事还是小说好些            
(3星)	 我能想起这名字真不易……从那时候就喜欢廖凡的匪气啊……            
(4星)	 廖凡王志飞张歆艺，全是亮点            
(3星)	 配角们和场景是亮点            
(4星)	 拍得很唯美  名国戏都是大同小异  这部看着还有点意思            
(1星)	 宣传片比正剧给劲多了            
(4星)	 歌曲很不错，廖凡黄觉。            
(5星)	 人物刻画的很鲜明.那时的人身上有时代背景的无力之感.            
(5星)	 我反正就是喜欢黄觉。            
(4星)	 补遗，张歆艺很漂亮            
(NA)	 总与有一部让我值得称道的国产电视剧了，爱恨情仇，致情致尽。            
(4星)	 上高中了一个星期才看一次电视 每次回家都迫不及待的守在电视机前面 一直到听完片尾曲才心满意足的离开去睡觉 今晚突然翻歌单无意中看到这首歌 心里好澎湃 赵宝刚的电视剧永远都是我的最爱            
