http://movie.douban.com/subject/2997325/	我的团长我的团
(5星)	 不是只有共党才是中国人            
(5星)	 我偏见的认为所有的负面评论都是哗众取宠，因为这是少有的我从头看到尾的国产电视剧。            
(5星)	 我想给六颗星            
(5星)	 拍摄如电影，表演似话剧，以远征军历史为背景，探讨鲁迅式的国民性以及哈姆莱特式的生存命题。            
(5星)	 真的不完美。但是我真的觉得它值5个星。            
(4星)	 在看这部戏之前或之后，不要轻易说，我懂了。            
(5星)	 适合一个人关在房间里看，看了笑，笑完哭，然后人就魔障了            
(5星)	 您干嘛总拿这个和突击比呢？有些东西，比不了的。看了，喜欢，就得。            
(5星)	 我喜欢这样的叙述，这样的癫狂，以及没完没了的折腾。            
(4星)	 绝望中挣扎是什么感觉            
(3星)	 舞台式的矫情+哲学式的反思            
(4星)	 为国赴死又被G党污蔑的国军战士浩气长存            
(5星)	 看了一集不到，眼泪就下来了。            
(5星)	 以虚构的方式呈现真实的历史。尽管曲高和寡，仍不失为提升大陆电视剧艺术水平的一次大胆尝试            
(4星)	 有拖沓，有装逼。但是点出几集就足以成为经典            
(5星)	 极其壮烈的战争故事，让我觉得痛心的悲惨，却竟只是史实中数次冲击的一小部分罢了。电视剧中可以看到中国远征军那嬉笑胡闹下的悲重与拼死，可以看到全国各地来的炮灰们的痞性与同仇敌忾、生存本能，可以看到这帮把脑袋别在裤腰带的人对世界的思考与争执，可以看到所谓的盟军、所谓的高层为的都是自己的            
(5星)	 很少很少看连续剧，这一部让我很有触动            
(5星)	 岂曰无衣？与子同袍——看到下半夜，为那种刻骨的绝望哭到眼睛都肿了，并且后劲绵长。我敢说大部分人都没看懂它。            
(NA)	 好电视。我喜欢这个结尾。不象宿命。            
(4星)	 死都不怕,就爱安逸            
(4星)	 结局没看            
(5星)	 我们任何一个人当初掷地有声的雄心都有可能被一点点磨掉，不是么            
(5星)	 比那个士兵突击好看             
(NA)	 这个是因为受了新星做事件书的影响（其实是我讨要了这么一本书），于是就在读了一点书的情况下看了一点剧.发现书与剧俱不好看，于是双弃.同时发现并且坚定的一件事是，事件书这个东西，尝到甜头可能止不住，但是风险确实是很大.其一是可能这两样中必有一样糟糕，其二是有很大可能两样都糟糕得很            
(5星)	 各种虐啊腐啊制服啊年下啊傲娇啊大叔啊群P啊...撇开这些不说，还挺感人的~            
(3星)	 超现实的奇幻感？            
(5星)	 豈曰無衣？与子同袍。英國鬼說他們死于狹隘和傲慢，中國鬼說他們死于聽天由命和漫不經心。所有的鬼都說他們是笨死的。            
(5星)	 说这是中国版兄弟连 那是抬举了兄弟连            
(5星)	 这部片子给我了3个启示。第一，一个有坚定信念的人可以产生极大的影响力，龙文章凭这一点在缅甸集结了上千人的队伍。第二，政治利益永远高于一切。虞啸卿为了实现个人理想，最终还是选择了放弃炮灰团。第三，35岁之前靠上辈子活，35岁之后靠这辈子活，这句话非常值得深思。            
(5星)	 真幽默            
(5星)	 兰晓龙你大爷的！            
(5星)	 国民党太腐败了，共产党万岁！虞啸卿太让我失望了。张立宪死了，杯具啊。。。            
(2星)	 装腔作势，一出闹剧~~            
(4星)	 马革裹尸，战死沙场，才是一个男人的归宿。            
(1星)	 无知的意淫自乐，玩点深沉就当自己是哲学家了。            
(3星)	 好的剧本、优秀的演员、垃圾导演！            
(2星)	 唯一亮點,陳小醉            
(4星)	 太做作了            
(5星)	 那些与爷爷同为红军的战士，多少倒在未知的地界，能如他这样能回来的，那真是命硬了。十多年了，还是会想他。            
(5星)	 一个字 苦。。。            
(3星)	 穿帮            
(4星)	 好吧 我还是热血沸腾了一下            
(5星)	 战争要不要这么浪漫？战争要不要这么哲学？            
(3星)	 都很好   不过。。。硬生生把二十集撑成四十集。。。结果还没拍完~~~  直接无奈啊我            
(NA)	 呃..            
(3星)	 说实在的,我实在看不下去这部电视剧。因为，如果这部电视剧抛去政治因素，尊重史实的话，我实在看不进去，虽然我也好歹看了若干节。离历史太远，只能欣赏这部电视剧的虚拟成份。但能感受到隔江看敌手，眼睁睁地等到雨季来临。            
(2星)	 为什么明明20集就能讲完的事情一定要拍40集，真是我看过最拖沓的电视剧！可怜我活生生地被同人文骗得一腔热血来看真人版JQ，结果那两个人到死也没面对面说上几句话！！也就某人拔刺刀的样子值得倾慕，mmd            
(3星)	 不得不说华谊兄弟很有钱 但是演员的台词太隐晦 看着很累 在娱乐性上欠缺火候。            
(5星)	 这是关于真相的故事，承载的不仅仅是这一场战役而已            
(5星)	 今天终于看完最后一集了。电视等的急人，收了正版的DVD。每个人都好鲜活。看的抑郁。这段时间什么都没看，就干这个了。            
(NA)	 没那么迷~            
(3星)	 彻底讨厌段，转而喜欢张            
(NA)	 我咬死你们            
