http://movie.douban.com/subject/3003419/	壹号皇庭I
(3星)	 不知道为什么90年代的港剧总是可以粗糙中动人            
(NA)	 很小很小的时候，是品味不出那种生活有朝一日也会出现在我身边的。            
(4星)	 想当年欧阳震华的头发还那么多...            
(NA)	 为王老师的出场做铺垫。            
(5星)	 久远回忆            
(NA)	 喜欢~很多TVB剧都很喜欢~            
(NA)	 我想我都忘得差不多了。。。            
(4星)	 想当年..            
(5星)	 余在春，江承宇，丁柔女士，若晖……            
(5星)	 抱着学习的态度，好好看回。            
(5星)	 TVB的巅峰时期之作              
(5星)	 这个当时相当迷！！！            
(3星)	 开始添加TVB...            
(NA)	 补            
(5星)	 经典            
(5星)	 OMG 我热爱的邓特希时代~~~            
(4星)	 特别喜欢片头曲            
(3星)	 没看全，不过气氛很好            
(3星)	 狮子男+摩羯女。天平男+狮子女。            
(NA)	 重温小时候的港剧            
(NA)	 太久了            
(NA)	 我为毛这么喜欢这类型的剧.            
(5星)	 最近的TVB新片很难看，决定翻出老片看，虽然是10多年前的片子了，不过依然回味无穷，经典系列剧的开篇之作，还有郑秀文的加盟，绝对值五颗星            
(NA)	 都是大熟的面孔啊~~~经典就是经典~~欧阳正华、郑秀文，古巨基都是跑龙套的~~大家都还很年轻~            
(5星)	 儿时经典            
(5星)	 五部连看，太过瘾了。。。。            
(4星)	 律师啊律师            
(4星)	 当年很有爱～            
(4星)	 骆晖和承宇呀~            
(NA)	 小时候追着看··            
(NA)	 貌似这部片子有阿菲            
(5星)	 这一系列都很好看 演员阵容强大～            
(5星)	 小時候的作文：我長大要做律師。。。            
(5星)	 该类型港剧永远的第一名            
(NA)	 【1992-04-19】            
(4星)	 一包薯片一下午。            
(5星)	 当年的经典            
(5星)	 虽然陈秀雯长得。。。但是演技一直不错            
(5星)	 当年的最爱            
(4星)	 粗糙感，文艺感。            
(3星)	 没有想象中好看~还是更喜欢刑侦片多一点            
(5星)	 怀旧一把系列~相当的怀念！            
(4星)	 (1992) TVB重播时看了一些，想不起是第几季的了。演员里面，陈秀雯很好。欧阳震华是我记忆的一个怪盲点，我从来想不起来他在戏里干了什么。            
(NA)	 很无聊            
(4星)	 重温tvb~原来以前郑秀文这么漂亮~~~            
(4星)	 果真只是个序言。某些爱情，短暂，但是真实。            
(3星)	 童年回忆            
(NA)	 经典之作            
(3星)	 1992            
(4星)	 oh就是看这个想做律师的。            
(5星)	 TVB少有的一集一个故事的模式 还有当年那个肥嘟嘟的sammi我好喜欢的~            
(4星)	 邓特希经典，也是TVB经典。虽然当年还不太听得懂黄腔，但年幼的我在看了这一系列后对几个死党一起租房子住的生活充满美好幻想。另外王菲和郑秀文在里面都还蛮美的            
(5星)	 大赞！从这里开始喜欢欧阳震华的            
(NA)	 19年前的郑秀文和我们一样，都是肥肥的正常人            
(4星)	 爱死            
(NA)	 不用说了,当年那个疯狂,多少人学法律就为了这部戏呀,给我们灌输了多少新观念呀,原来人可以这样生活            
(5星)	 我靠 真怀念嘿~            
(NA)	 邓特希            
(NA)	 这该是多老的电视了            
(4星)	 经典律师剧。要说TVB还是职场类剧拍得最好。            
(5星)	 曾经让我相当律师            
(4星)	 我还是喜欢陈小生            
(4星)	 经典就是经典啊            
(5星)	 好怀念啊·            
(3星)	 风靡一时啊。            
(5星)	 TVB的辉煌            
(5星)	 經典了..            
(3星)	 原来方佳琪是郑秀文演的，一开始真没认出来，这样好漂亮            
(4星)	 喜欢丁柔            
(4星)	 比回归后的港剧好看多了～            
(5星)	 经典~现在看好少年阿这些人~haha            
(5星)	 心中永远的法庭经典            
(3星)	 童年的记忆啊~~            
(3星)	 好土的装束，看各位TVB后世风骚人物尚青葱时的模样。桥段还是老桥段，难得大家TVB忠死粉丝这么多年            
(NA)	 怀念~            
(4星)	 那时候的欧阳胖胖还是瘦瘦的，头发也挺多的            
(5星)	 终于看完5部了，经典还是经典，喜欢他们一群人坐在酒吧互潮对方，贱贱的！只是4,5部的演员变化很好，5更拖沓了！            
(5星)	 经典            
(5星)	 哎呀我小时候太爱看了……但记不清看的是第几部了            
(4星)	 TVB专业剧            
(4星)	 当年《一号法庭》爆红的时候我没有赶上那个风潮，现在有了时间和心境让我弥补遗憾。给四星是因为按照现在的标准来看，这部20年前的剧还是略显粗糙了。不过还是喜欢得不行，知性的丁柔，灵气的在春，浪荡的承宇，邓sir对专业人士剧集的信手拈来从这部剧就可见端倪了。超级喜欢苏杏璇演的Lora姐。            
(5星)	 第一部看完，92年的剧，那时候HK还有死刑，黑警还是泛滥，男女之间的关系还是很羞涩，13个单元剧，悠扬的萨克斯风，有对社会低层的关怀，有对伦理的探讨，有对法律漏洞的不满，不失为一场好戏，还有那时候的女主们才是真正的天然美人，不像现在，唉            
(5星)	 大爱            
(4星)	 经典            
(4星)	 港剧时代有木有            
(5星)	 这个，，，太过经典            
(5星)	 经典！！！            
(5星)	 值得重温的80年代TVB经典剧！            
(4星)	 I-V，经典！            
(4星)	 数星星            
(4星)	 重温一下，那些熟悉的面容那时候都是这样的嫩。            
(5星)	 印象很深的剧，那时开始了解了法庭。            
(5星)	 多年证明，邓特希的就是好作品            
(5星)	 经典啊！！不过以前判死刑的真是。。。  看着有FEEL！ 服装搭配都很那个年代。。感觉好像在看那些演员以前的情史哈哈。http://v.pptv.com/show/thLradE3pibXZV5s.html            
(3星)	 已经不记得看的是哪几部了，太多的一号法庭            
(5星)	 很小很小的时候，小的记忆已经模糊不堪了~但是印象中应该有邵美琪吧~那是第几部 还想有跳楼环节吧~记忆中有和妈妈一起看 很好看的            
(4星)	 喜欢在春丁柔 喜欢承宙            
(4星)	 案件不错 虽然没有什么悬疑性 但还是反应了社会问题和人性 在当时看一定觉得很精彩            
(4星)	 老剧的好处就是随便配角都是大明星哈            
(NA)	 小时候看了这个才想做律师的 当时被里面一个想法感动了 不管当事人是不是真的有罪 我们只是尽量为他们争取应有的那部分权利             
(5星)	 最经典的律政剧，难以超越！            
(NA)	 GOOD            
(5星)	 好久的电影了，总之当时是特别爱看的法庭剧。            
(4星)	 额。。。怎么有5部，我看的是哪个。。。            
(5星)	 阿Ben和Michael真是一对活宝。主讲案子。            
(3星)	 小时候看的            
(5星)	 最喜欢的是承宙，最欣赏的是丁柔            
(4星)	 都算经典            
(5星)	 我真是太喜欢片头了。            
(NA)	 没有好看的女主……            
(NA)	 16集完，大愛歐陽震華            
(5星)	 经典            
(4星)	 除了各人感情纠葛部分仓促外其他都好            
(3星)	 江承宙很有气场！            
(NA)	 最后一集忽然被秒杀。。。邓sir出品 嗯            
(4星)	 TVB最经典的法庭剧。当时喜欢欧阳震华和陈秀雯的配对。            
(NA)	 别人看连续剧都是一天一集，我是一天一部            
(4星)	 零零碎碎的看过            
(5星)	 律师职业对我的启蒙之作吧算是~虽然很不理解为什么律师都要戴假发上庭，但是那时候真的真的很哈法庭上纵横捭阖的那种气魄。。。当时的欧阳震华还没那么憨厚没那么胖胖滴可爱，陶大宇也还是风流倜傥年轻的模样。。。不得不感叹岁月老矣。。。            
(4星)	 港剧的经典啊。。。            
(NA)	 不错呢            
(3星)	 欧阳大叔叫春哥哦，郑秀文还挺可爱滴。            
(3星)	 这个系列全看了            
(NA)	 看的第一部TVB            
(3星)	 毕竟太老了~            
(4星)	 承宙是個很美的女子。            
(4星)	 虽然制作比较粗糙，但那个时期的港刷明显比现在的好看，女演员也漂亮的多。。。不过照这样判案，真的让人担心，得有多少冤案啊。。。。和现在正在追的CSI相比。。。唉。。。差的不是一点半点。。。准备什么时候再看看国内的刑侦剧。。。估计更得吐血。            
(3星)	 破案的事都让律师干了，那警察干吗呢？特烦陶大宇，做作。            
(4星)	 重新看。。。郑秀文胖的时候太美了            
(5星)	 推荐            
(4星)	 邓特希执导的TVB有种浓郁又不矫揉的小资情调。            
(4星)	 话说壹号皇庭我记不清看过几遍、看过几部了,那些正义的律师曾几何时深深的影响着我…            
(3星)	 好像有看又没看。。            
(4星)	 在春 我的丁柔。。            
(5星)	 神作！！            
(4星)	 当初的郑秀文是多么的年轻美丽啊，还有欧阳振华也不算胖，还有苏永康、陶大宇，虽然画面质量差了点，剧情还是很口以的。            
(NA)	 第一集当时只是周六综艺档的系列剧，没想到收视不俗            
(3星)	 说实话除了加深了对香港法律认识外没什么感觉。            
(5星)	 回忆。            
(3星)	 剧情进展好快，郑秀文好嫩，小生头发好多            
(1星)	 法庭上的陈述十分苍白无力，香港式抄袭很无聊            
(5星)	 经典重温            
(NA)	 经典            
(3星)	 和妙手仁心一样。那悠扬的萨克斯主题曲是心头好。            
(5星)	 原来只有8集。            
(5星)	 重温经典            
(5星)	 当年Bobby好后生，Sammie好靓            
(5星)	 很好看！！！            
(4星)	 港剧中的挚爱            
(NA)	 那个时候很喜欢陈秀雯            
(NA)	 好像是看过第一部 印像中很好看            
(5星)	 法的精神，律师的生活            
(4星)	 欧阳震华专场^^            
(4星)	 结局草草，Gary的职业剧开山之作啊～～～            
(4星)	 好像讲法官和律师的电视剧特别多呢            
(NA)	 我最喜欢TVB的欧阳震华了            
(4星)	 经典            
(4星)	 当年还觉得蛮经典。            
(4星)	 第一次被欧阳震华吸引到，还记得可爱的在春使劲法宝追求上司丁柔~            
(3星)	 还是较喜欢警察为主题的港剧。可能是boston legal的法庭戏太过经典，其他的似乎有些平淡无味。            
(4星)	 经典不论到何时都不会褪色。是看到现在感觉最好的法制剧集，完美的展示了法律的责任与意义。            
(5星)	 大爱。。。经典。。。            
