http://movie.douban.com/subject/3010220/	杨门女将之女儿当自强
(5星)	 杨宗保死的时候我跟穆桂英一起崩溃了……            
(5星)	 杨宗保是亮点！！！            
(5星)	 当初觉得就八妹一人幸福了多不好意思，结果连凯也他妈不负众望的死了            
(3星)	 小时候非常喜欢，如今看觉得是不是有点女权主义了。喜欢孙莉的七娘。            
(5星)	 我见过的最帅的杨宗保~~            
(4星)	 还在中央六套播出来着。            
(4星)	 张智尧~宗保死掉的那个插曲...心碎~            
(5星)	 杨宗保就是小时候心目中的白马王子啊啊啊啊            
(4星)	 喜欢张智尧的杨宗保！！！            
(NA)	 杨宗保啊啊啊啊。            
(5星)	 好早前的某个春节期间看的，昨天小回顾了一下，杨宗保依然让人眼前一亮。关于杨家将的电视剧最爱的就是这部和老早前的《碧血青天杨家将》。            
(4星)	 很喜欢张智尧哦。            
(4星)	 一星给张智尧哈帅            
(4星)	 张智尧！！            
(4星)	 有看点~张智尧的杨宗保很有爱，话说才想起来《地上最强》男主是他，唉~            
(4星)	 从这部剧开始喜欢张智尧！杨宗保太帅气了！            
(NA)	 杨宗保。            
(4星)	 喜欢上连凯和张智尧            
(3星)	 帅帅的杨宗保~            
(5星)	 电视剧里张智尧扮演的杨宗保好帅，我的梦中情人。            
(3星)	 喜欢杜金娥~~~            
(4星)	 张智尧啊张智尧~~杨宗保阿杨宗保！！！            
(4星)	 张智尧！            
(2星)	 莫名其妙的选角，浪费了。            
(3星)	 电影频道老播啊。还以为是电视电影。有这么多集？            
(2星)	 好气丹的片子            
(4星)	 其实还行            
(3星)	 连凯连凯            
(4星)	 我也不知道为什么总之很爱看            
(5星)	 我超喜欢啊！            
(4星)	 美女啊。            
(4星)	 虽然是女将, 但给我留下深刻印象的, 是杨安和杨宗保. 这电影我爱过的.              
(NA)	 那时候我特喜欢姜彬这个坏男人            
(4星)	 挺喜欢的，李若彤啊            
(2星)	 令我觉得恐惧。太强悍了            
(2星)	 看惯了李若彤演淑女。忽然换成打女形象，还真接受不过来。            
(4星)	 这剧质量很高            
(5星)	 就是相对于最近那部张柏芝的杨门女将，这部真是好看到爆啊！            
(3星)	 哈哈！我还看过这个！！！李若彤啊李若彤！！！！            
(5星)	 最爱的八妹和排风=3= 没有之一            
(4星)	 我可喜欢杨宗保了。            
(4星)	 电视电影吧这算，选人还都比较喜欢            
(4星)	 全劇最喜歡的就是穆桂英&amp;楊宗保的那幾集有木有，他倆整個戀愛過程作為女觀眾比穆桂英還激動有木有，最後楊宗保掛了傷心欲絕都不想繼續看了有木有！            
(4星)	 八妹和杨安。。。            
(4星)	 个人认为最好的一版的杨门女将，服装饰品化妆都相当精美～            
(4星)	 很不错            
(2星)	 电影频道            
(4星)	 只看到连凯……张智尧演的是哪个是哪个？！            
(3星)	 姐迷的是楊宗保，可惜便當領得早，當初看劇之時還不知道演員叫张智尧            
(5星)	 宗保哥哥呐~~~~~~~            
(4星)	 在学校看完的，杨八妹的性格非常不喜欢，穆桂英只出来最后十集闷死，杨宗保太帅了，唇红齿白，就是有点迂。            
(4星)	 美女们~            
(4星)	 其实我就看了杨宗保的戏份            
(5星)	 张智尧啊张智尧……            
(NA)	 不是 TVB的么            
(3星)	 李若彤美~            
(5星)	 陪我读过了大半个初二。            
(3星)	 冲着神仙姐姐看的。            
(4星)	 郑佩佩的佘太君挺有说服力的            
(3星)	 除了一堆女的之外我什么印象都没有了。。。            
(3星)	 年少回忆。            
(3星)	 李若彤还是小龙女的范儿啊            
(NA)	 我觉得连凯在里面挺有感的。。。            
(5星)	 很喜欢的！！！PS:应该算国片吧，CC6拍的。。。            
(NA)	 无视男猪女猪的结果就是，萌上更多人~            
(4星)	 杨宗宝很帅~            
(4星)	 很神奇的偶像剧。。。            
(NA)	 美女扎堆！            
(4星)	 杨宗宝和穆桂英的扮相不错，连凯也越来越有男人味了。好吧，我爱这部剧里的男人们。。。            
(5星)	 最最美丽的金陵公主~~            
(5星)	 宁静是我见过最像穆桂英的女人，演的太好了，你再看看张柏芝的演技，，不堪入目            
(3星)	 中央六套最爱放的。。电视电影的感觉            
(4星)	 李绮红和宁静才是亮点！！加麻后来的电影弱爆了！            
(5星)	 之前每个星期守着CCAV6看一集多不容易啊！！！后来不知道为毛被截成电视剧了。费解！！！            
(5星)	 张智尧真是迷死我了。。。。差不多所有演员我都喜欢            
(4星)	 杨宗保那个惊艳呐！            
(5星)	 杨宗保那个迷人            
(3星)	 噗~~读大学的时候看过~~            
(5星)	 有段时间我觉得最帅的男人就是这个杨宗保啊！！！            
(4星)	 大爱张智尧！！！            
(4星)	 杨排风 文颂娴+1            
