http://movie.douban.com/subject/3012309/	古灵精探 古靈精探
(NA)	 张正义好可爱。！            
(4星)	 这无语的结局。。。            
(4星)	 曾华倩是这部剧的一大亮点！多久没出现的一个美女啊！然后，最后的结局实在让我不能接受，居然死了。而且两个人还有了一个孩子，太无厘头了。            
(NA)	 意料之中的难看。            
(NA)	 适合十岁以下儿童观看            
(3星)	 结局太狗血,只给3星..            
(3星)	 结局真是太不完美了，不用这样非得搞死男主角吧。            
(3星)	 好汗...看了一集什么也没看出来 不喜欢有非科学非自然的东西在这类片子里            
(3星)	 曾华倩复出            
(3星)	 看点是。。。郭的风衣和曾华倩            
(1星)	 很少打一星，你知道的。            
(3星)	 好无聊！！！            
(3星)	 结局。。。。            
(3星)	 准确说是听过了。标准的tvb流水作业，到结局不免匆忙收场、破绽百出，幸而曾米女很米粒，二郭演得干净落力，唯一不妥的是马某人，顶着张苦大仇深的面孔跟讨债鬼似的。没有看续集的冲动，只因首部故事讲得太过勉强            
(3星)	 蛮好看的            
(5星)	 太好看。            
(3星)	 郭晋安至中意扮鬼扮马            
(3星)	 没第二辑好看            
(2星)	 囧囧囧囧            
(5星)	 古灵精探             
(3星)	 把探案和通灵拉在一起的设定多少有点“出猫”的嫌疑，而且推理方面也不严谨。不过港剧的亲情部分一向都很感人，演员也是我喜欢的，张正义好Q。就是郭晋安的结局太过卧槽！！！            
(2星)	 不好看！！！！！！！！！！！            
(NA)	 结尾太恶心了            
(3星)	 马国明～～～～啊啊啊 啊啊啊～            
(4星)	 马国明大帅的。。。。。风衣控。。。。。。            
(4星)	 加长版结局笑死我了……            
(3星)	 尼瑪結局是搞笑來的嗎            
(NA)	 郭大鼻…            
(3星)	 曾华倩好美            
(3星)	 打发时间还是可以忍受的。又见曾华倩！            
(3星)	 3.3算是香港连续剧里面还不错的片子吧            
(4星)	 擦 我太喜欢于子朗了！ 或者说我太喜欢里面的郭晋安了！            
(2星)	 剧情也太不靠谱鸟~~            
(4星)	 TVB电视剧就该像这样全用香港演员~掺了内地演员的总看着不伦不类            
(3星)	 TVB...            
(4星)	 有趣的环节把破案的内容轻松化了很多。结局还没看。            
(3星)	 在1周立波show之后发现的电视，一看 简直是时效警察翻版但是没有时效好玩～            
(NA)	 201002            
(3星)	 我就搞不懂 这部结局的时候丫死了 第二部是怎么死而复生的？            
(2星)	 曾华倩明显老了啊 郭羡妮好招人烦            
(2星)	 重拾老人演的港剧..郭羡妮居然还挺可爱的，华女保养的也还好            
(3星)	 天秤男+巨蟹女+水瓶男            
(3星)	 神棍流            
(NA)	 。。看了会变聪明。。。嗷嗷            
(4星)	 搞笑戏份足够……美人、小凤姐很加分……            
(3星)	 真次            
(4星)	 好看            
(3星)	 于sir死了那请问第二部里面是谁            
(4星)	 郭羡妮是我的雷区            
(3星)	 - -太汗了，开头结尾都很白烂~不过中间很好玩            
(NA)	 这片儿也太不靠谱了。。TVB你太抠爱了。。            
(3星)	 曾华倩丰姿不减，刘玉翠还是疯癫，.郭政鸿老了哎，仍不喜欢郭羡妮为毛死的不是她，当然更不喜欢郭晋安，我是为了那些配角才看的；没想到结局是这样，happy版结局更雷人            
(3星)	 观众投票，两个结局，本是喙头。可惜最后一集的处理，让一般演员走到幕前，仿佛开玩笑，感觉全没了。            
(NA)	 还算是好看。只是结局，似乎有点凄凉，虽然搞出了个女儿。            
(4星)	 曾华倩重出江湖了啊            
(5星)	 本来给四星.最后一星给加长版结局友情客串的 欧阳震华  耶!!!!!!!!!!!!            
(5星)	 好看            
(NA)	 又见华倩            
(4星)	 题材和拍法都很普通啦~~但人都还挺喜欢            
(4星)	 看了结尾几集，还行            
(NA)	 各种狗血            
(3星)	 Death Investigation Extension 随便看了几集 两人很有夫妻相……            
(2星)	 演员配音什么的都很烂 曾华倩啊 已经是大妈老~~            
(2星)	 通灵的侦探。。            
(3星)	 看美女帅哥还行，挺无聊的            
(3星)	 很扯的。            
(4星)	 看到于子朗死了结局，我愣了            
(4星)	 第一部还是不错的，至少电视台播的时候，我能凑合着看            
(3星)	 2010.5-6 周末 xx卫视 alone@SH            
(NA)	 大一            
(3星)	 我不喜欢郭羡妮。            
(3星)	 港剧中的平庸之作…            
(4星)	 里面出现王祖蓝！            
(4星)	 很久不看TVB了，但是冲以前那么萌郭晋安也要支持一下，这部还算挺有意思的，郭SIR风衣装潇洒不减当年啊~这个部门，D.I.E.名字还真够绝的，当然更绝的是结局，灭绝等级。            
(3星)	 tvb的侦探剧越来越没技术含量了，居然到了要借助通灵的地步，sigh。。。最大的感叹，曾华倩还是很漂亮，可惜鱼尾纹和颈纹出卖了年龄，sigh ag。。。最大的发现，法医皮埃尔很帅，不过完全没想到最后会跟了花痴美人，sigh ag &amp; ag。。。            
(3星)	 角色关系用不用那么紧凑阿。= =            
(4星)	 法医好帅            
(NA)	 开心一笑            
(3星)	 我对这个结局相当不满，降星降星~            
(NA)	 周末无聊电视台轮流播，郭羡妮姐姐还是很好看啊。。。            
(3星)	 久違的曾華倩粵語版更勝一籌            
(3星)	 哎，编剧怎么了，这么没大脑的女主角也写得出来，有没有一点逻辑啊？            
(3星)	 最后一集 被我B4了            
(3星)	 TVB的演员中脸谱化最严重的就是阿旺郭晋安，另：曾华倩风韵犹存            
(4星)	 剧情没有安排好，有些地方承接不上没有交代清楚，结尾太赶，很不切实际。总体不错            
(3星)	 马国明            
(5星)	 王祖蓝和胡定欣才是大爱.郭羡妮真是大美女.            
(4星)	 喜欢侦探推理片            
(3星)	 to kill the time  and to run away from something in mind            
(2星)	 通灵感应囧-1星，情节弱-1星，成事不足败事有余的SB女主再-1星            
(4星)	 蛮不错的。破案立案结案。            
(NA)	 张正义好可爱~~~            
(4星)	 可以YY的JQ剧~哈哈            
(4星)	 越往后推理越少...还有，无法参透的结局            
(5星)	 第一部很好看，郭晋安特别俏皮于是期待第二部，后来一看，第二部好像硬掰出来的            
(4星)	 我X！学美剧 最后一集搞这种悬念！还好我是后看 下一季立即接上 = = 除了私情太多 案件还是蛮有趣的             
(4星)	 第一次觉得 郭晋安 真帅。            
(4星)	 番茄台。追了几天。我爱安仔~            
(2星)	 案子太简单了。            
(2星)	 近年看过最烂的港剧。。- -            
(4星)	 其实郭羡妮长得还真的蛮漂亮的            
(3星)	 感情戏跟自己的路好类似 不错看            
(3星)	 pierre pierre pierre pierre pierre pierre pierre pierre             
(3星)	 综合了 “死神来了”&amp;“蝴蝶效应 2“  的结尾 囧,剪得支离破碎，看得一头雾水。            
(4星)	 冲着郭晋安和曾华倩看的，拍得不差，蛮有意思的~            
(NA)	 许久未见曾华倩            
(4星)	 皮埃爾和hugo都很帥滴            
(3星)	 不喜欢通灵部分，推理部分还okay            
(2星)	 因为郭羡妮 我减了2颗星            
(NA)	 遍洒狗血。            
(2星)	 我居然追下来 我BS我自己            
(3星)	 不喜欢郭羡妮。郭晋安现在也越来越神经了。还是以前的郭晋安好。            
(2星)	 什么ending啊。。。扣一颗、虽然很喜欢探案剧但这部有些地方很荒谬有点投机取巧。。还有发觉郭羡妮不太会演哭戏，而且这个角色设定应该是比较理性的。。但做起事来又那么冲动看到大口英就猛追每次又无功而返。就郭晋安演的角色感觉有点做作，几次都是喝的烂醉?。。觉得酒品很差啊。。张sir也很可悲有这            
(NA)	 很囧的一部片子，都不大好评            
(2星)	 越来越不喜欢郭晋安...想当年Morning Sir...            
(1星)	 郭羡妮啲戏烂到爆            
(NA)	 我就知道，大口英是本剧的灵魂人物            
(3星)	 结局我抽风干嘛一定要死一个            
(4星)	 收视很高 我自己看了感觉一般 不过双结局确实很雷人            
(3星)	 港剧熟悉的套路,感情纠葛,富商骄纵子女,热血的警察,需要团圆的大结局.只是这个结局有点奇怪,主角去世,怎么延续续集呢?哈哈,总是有一万个理由来开始的.配角很出彩,比如张正义,SA姨等一干到处客串的超级绿叶,华倩无法避免的老了,保养工夫有些差,岁月留下无尽的唏嘘.            
(3星)	 郭晋安演技越来越纯熟了..            
(3星)	 一边看一边画图很好~            
(3星)	 超级无语得结局完全鬼扯            
(3星)	 郭羡妮还是和马国明比较配，尤其是他们的嘴巴，绝配！而郭晋安几乎三分之一的时间都还游离在阿旺的状态。            
(4星)	 我就是爱这种风格的港剧 ·看了笑了就忘了·多好            
(3星)	 不喜欢里面的演员            
