http://movie.douban.com/subject/3018453/	星梦缘
(1星)	 比《红苹果乐园》还烂一万倍，天呐，十八层地狱都关不住它了~~            
(NA)	 由杀马特家族成员主演            
(NA)	 年幼无知犯的错误             
(1星)	 俺都不想让人家知道俺看过几集……            
(1星)	 忘了是哪个傻逼卫视播的了            
(3星)	 完全是昨天说起来一时兴起不然啊我不会让别人知道我看过- -            
(1星)	 相信我吧当时只是没别的可以看而已！            
(2星)	 我为我当年的愚蠢行为感到杯具……            
(NA)	 豆瓣这帮装逼犯            
(NA)	 雷都把牛逼给打击了            
(1星)	 雷区            
(2星)	 好可怕            
(NA)	 话说很喜欢陈彦和盛超那一对啊。羞愤。            
(1星)	 我实在无聊。            
(2星)	 ……不想评价啥了            
(1星)	 这是一个什么样的电视剧啊            
(3星)	 上海的。在熟悉的地方取过景。            
(NA)	 。。。完全没话说了。            
(2星)	 恶            
(2星)	 當時真心覺得很好看，雖然現在看人物造型真是土到……            
(5星)	 女主角眼睛太小了            
(4星)	 个别人是丑，但整体感觉不做作。也为了上海那些熟悉的场景。            
(3星)	 哼 如果不是有那么多植入广告的话我就给5星了！            
(3星)	 hahahaha            
(NA)	 哭了。。我小时候及其崇拜之            
(NA)	 真的真的.内个时候电视台老放.......偶然会看一眼..基于&#34;你们的演技进不了么&#34;的心理...事实上...根本没有........            
(1星)	 转台时候看看/这种剧一般都在我黑名单之列            
(1星)	 哈哈 太甩            
(1星)	 嘛，小学的时候嘛~            
(1星)	 汗            
(NA)	 激囧但更囧的是我贪图不动脑子有时在电视上看到还会看看            
(2星)	 除了有个男演员我局的长得不错 还有个女演员我蛮喜欢之外 其他 我该怎么说呢            
(3星)	 2b的日子            
(1星)	 牛逼死了！            
(NA)	 还有这部电视剧啊！！！！！            
(2星)	 睇靓仔既果时系属于            
(2星)	 年少不懂事。。。。。。。。            
(1星)	 垃圾            
(1星)	 我年轻时候看的NC片……不过里面那个卷毛黄发的那个女生表现还是很自然的 = =            
(1星)	 依然处于弱智阶段。            
(2星)	 那萧晴看一次颤抖一次            
(2星)	 还不如第一部呢            
(2星)	 不喜歡演薈如的那個小眼睛女生！            
(3星)	 比起红苹果来说是好多了。            
(5星)	 曾经风靡一时             
(5星)	 2nd cultest tv series of all time            
(1星)	 我竟然都看過  年少無知凡的錯~            
(1星)	 那个丑女演的不错，在港汇见过她，还是平时化妆好看            
(NA)	 无星。            
(2星)	 我竟然也看过杯具            
(1星)	 今天你惨遭雷霹了吗。            
(1星)	 怎么会有那么丑的女主角啊！！！            
(1星)	 购机把缘            
(2星)	 比那个红苹果乐园还不能忍。。。            
(2星)	 继红苹果之后……            
(NA)	 哈哈哈哈哈            
(2星)	 a5无敌的            
(1星)	 烂。            
(3星)	 傻。。            
(2星)	 比第一部好看 人反正比第一部好看了 陈彦是美丫            
(3星)	 就是用来打发时间的肥皂剧            
(NA)	 有在我们学校取景来着－　＝～            
(2星)	 不想说什么了。。            
(1星)	 台词都说不好            
(3星)	 这一张张大脸啊...当年我怎么能看完了呢，太佩服自己了~            
(1星)	 女主，太胖了。。。。            
(3星)	 呵呵呵呵呵呵呵呵呵            
(3星)	 初一的我津津有味地看完了            
(NA)	 童年..            
(2星)	 年幼的时候都看的什么啊。。。            
(NA)	 看完红苹果乐园接着就看了这个(￣_￣|||)             
(2星)	 小龍蝦= =......            
(2星)	 比前面那部还烂= =            
(2星)	 我竟然连这个也看过。我觉得我神了。            
(1星)	 ╮(╯▽╰)╭            
(1星)	 连13岁的时候都觉得这剧好难看。。。= =            
(NA)	 往事不堪回首...            
(1星)	 许俊基。。。酷酷基。。。拜托我的记性不要这么好来赛伐= =            
(1星)	 人没有红苹果乐园长的好看啊             
(NA)	 。。            
(NA)	 真是不好意思承认看过            
(NA)	 黄圣依。            
(3星)	 网上看到陈彦妃的介绍无意中瞄到这部小时候看过的偶像剧= =不得不说，虽然无聊，当时咱还是Enjoy了的。。谁没有点过去啊混蛋！！三星嗯哼。不过当时就挺喜欢傻呵呵的陈彦妃。BTW，有个评论说：“就算是那个时候的我…也觉得短发的盛超比头发长到可以扎个朝天辫的盛超帅气很多。 ” 笑            
(1星)	 烂透了            
(2星)	 腿软！            
(NA)	 丢人。。            
(4星)	 好喜欢思彤啊~            
(3星)	 偶像剧就是会有点迷            
(1星)	 我特么小时候看得津津有味啊！！！            
(3星)	 相比处女作，馨子和盛超的演技进步很大——不过也是他们基础太差了。            
(NA)	 陈彦妃            
(4星)	 雷是雷了点儿，不过明显比一的质量大提升么，男主换个发型帅很多啊。            
(3星)	 从前的从前。其实思彤不错吧。还有曲鑫。            
(1星)	 ……………………            
(3星)	 以前怎么喜欢这种东西            
(2星)	 我这种剧从来不看完的            
(4星)	 好看啊！弱智少年的青春回忆！            
(3星)	 我当年很爱看 那叫一个欢乐 盛超狠帅呀 其实我喜欢馨子             
(2星)	 实属无聊才看的。。。            
(NA)	 ，。            
(3星)	 = =            
(2星)	 挺傻的，但估计比那个什么流星雨强不少            
(2星)	 思彤是拉拉里的helen？？            
(1星)	 我的狗血青春            
(1星)	 这也能拍电视剧？书烂就算了，电视剧还能更烂……            
(3星)	 盛超在这里面好帅啊~            
(1星)	 很久很久以前看过的超级大雷片！            
(2星)	 哎 一声叹息啊            
(2星)	 偶像剧越来越差了....            
(NA)	 那啥………………            
(2星)	 我当年绝对的脑残！            
(3星)	 我那些傻×的岁月哦。            
(NA)	 。。。            
(1星)	 又看过，想当年我是怎么了？！            
(2星)	 真的还蛮得的            
(3星)	 其实 一直觉得里面那个大美女好丑 反而林思彤还可以 当观众是瞎的            
(1星)	 让我说点啥            
(2星)	 给2颗星是为了和红苹果乐园作区分- -+++            
(2星)	 哇~~ 难得见到评价如此统一地……差的片子耶~~ 我再来见证一下！            
(NA)	 现在想想，挺雷人的。。。            
(NA)	 雷死人不偿命~我不知我为什么看过~~~            
(3星)	   虽说是一群不知名的演员那~但比那啥雷阵雨好多了            
(1星)	 真不好意思说我看过这片子~~吐！！            
(1星)	 这个我也看过。。。            
(3星)	 山寨。            
(1星)	 大陆还是别拍偶像剧的好，怎么拍都不对味。            
(4星)	 还是陈彦可爱啊～～～～            
(1星)	 懒得说了            
(2星)	 没有红苹果乐园搞笑            
(2星)	 总比湖南卫视好些。            
(NA)	 我都没脸说我看过这部剧  而且基本一集不落  我想说那些骂流星雨的姐妹兄弟们是否看过这个片子            
(NA)	 那伙人又出现了            
(3星)	 这个比苹果好看...            
(5星)	 不知道当时为什么会喜欢`            
(4星)	 超喜欢里面的女一号。            
(2星)	 傻气            
