http://movie.douban.com/subject/3018463/	真假东宫 無頭東宮
(3星)	 如果不是那么一点点神话，这部剧完全说明了好人没好报。            
(2星)	 菩萨没底限的么？坏人坏到让人想抽，好人更是天真软弱得让人想抽。全靠反面角色推动情节发展，正面角色永远受制于人用力也用不到点上只会哭着求饶无力的说教张嘴闭嘴就“为什么”“怎么会呢”简直比刘三好还人神共愤，前面还不错，越到后面越让人受不了。难得麦包的角色蛮讨人喜欢，可惜没什么发挥            
(5星)	 所以说，好人有好报。            
(2星)	 严重的交稿前综合症……看了几集，实在太扯了，居然就是赖在沙发里不高兴起来干活！！！虽然也不是什么历史剧，编剧也不带这么瞎糊弄的。皇帝（男一？）居然封男二号做入内内侍省都知……随便找个在宫里的官做做也可以的么……还有宋辽交战云云，反正挺汗的@@ 今后得珍惜时间，好好做人……            
(2星)	 2011-1，松花家。前十几集蛮好看的其实，换脸只说很神奇很吸引很虐心。去京城的一路也很好看。直到到了宫中后，越来越不可理喻，编剧无逻辑，变成老土又无限说教的好人极蠢坏人极坏的无聊剧。            
(4星)	 一看就是民间故事范儿，但是演员挺有演技，民间故事嘛也自有一番纯朴的劝人向善的魅力            
(3星)	 好人蠢到家，善良如同圣母，你打我左脸，我将右脸也奉上，可否尊重下我们这些智商正常的观众？向海岚这个鞋拔子脸演什么蛇蝎美人……第15集惊现马明龙套帝。麦包的冯乐人痴情、憨厚，很喜欢。            
(3星)	 很傻很浪费的一部            
(3星)	 有点离谱            
(2星)	 坐月子，大多是听的。没看全。魏俊杰的老头造型很傻。向海岚真丑。            
(NA)	 就……看过开头一点点……真是各种瞎眼，看了介绍就更觉得各种囧了            
(3星)	 情节设计的还不错            
(3星)	 我草！ 什么好人有好报！ 失心疯+真白痴吧！！！            
(3星)	 其实蛮好看的            
(3星)	 年幼时陪老妈守在TVB翡翠台前的时光。            
(3星)	 算是看了。            
(NA)	 主题曲不错            
(3星)	 结局是有多雷人！摔桌！            
(3星)	 看了几集，实在太扯了            
(3星)	 如果不是那么一点点神话，这部剧完全说明了好人没好报。            
(4星)	 不错看啊！！！            
(3星)	 很港很狗血..智商是硬伤            
(NA)	 看不下去。什么东西。我果然已经不适合看这种片了。            
(3星)	 港剧。。越来越港。。            
(NA)	 不猎奇``剧情不算狗血``不错``            
(4星)	 一出关于变脸的戏，讲述了一个好人有好报的故事            
(3星)	 TVB的剧，果然小女人。。。            
(4星)	 哇。小时候的记忆....            
(5星)	 出乎意料的好看竟然            
(1星)	 没看完，太难看了，这是唯一一部把我看吐了的电视剧。            
(3星)	 不小心按错的。倒还真看过。            
(3星)	 当时觉得神奇的~            
(3星)	 我实在很讨厌向海岚，那个仿佛打过肉毒杆菌的脸，一副怨妇的模样            
(3星)	 陈妙瑛果几年奇迹般地成为半台柱...            
(NA)	 经典吖            
(4星)	 向海岚。。我觉得最样衰既港姐~            
(4星)	 TVB當中我喜歡的            
(4星)	 向海岚之后就没再觉得有好看的港姐了！！！            
(NA)	 1.不是推崇耍心眼但是圣母真误事儿啊 害人害己 好心要有但不要犯蠢 2. 慈母多败儿   3. 说什么内在美 第一眼看的还是外表             
(NA)	 【2002-01-28】            
(NA)	 钟无艳+TVB说教片有没有            
(3星)	 两人变脸前后可以看到演技啊啊啊啊~向海岚一向适合演奸妃，魏俊杰浮夸了            
(3星)	 电视上放的一点都不好看。            
(NA)	 虽说很扯淡但我还挺爱看，嘿嘿，TVB古装基本再烂我都能接受~            
(3星)	 好人跟包子似的，我讨厌包子。            
(4星)	 很喜欢陈妙瑛啊，搜微博没搜着            
(3星)	 其實我覺得劇情設計什麽的，還是不錯的，但是感覺上稍微有些拖沓。整部劇旨在教人向善，這一立場是對的，最後的結局也印證了這一點。當然，劇裡面那些砍頭，換臉之類的神話，也太浮誇了吧 ~             
(5星)	 在还没流行换灵魂的年代 流行换脸            
(2星)	 室友看得很嗨啊有木有！！剧情那个囧啊有木有！！二百五的女猪脚有木有！！向海岚漂亮的一比~            
(NA)	 名字吓死个人            
(4星)	 = =            
(4星)	 粤语唔系残片            
(2星)	 这都有~            
(3星)	 不知不觉就吸引我看下去....            
(2星)	 向海岚的演技真系浮夸~TVB的剧情真系狗血。张兆辉形象被毁了呗。            
(NA)	 这么狗血的30集我居然给看完了，。。。。。            
(3星)	 向海岚不化妆好看多了。妆不对还是脸不对啊。            
(5星)	 好看！！喜欢！！占去了我好多眼泪！！女人心，躲不过一个情字，还是TVB以前的电视好看啊，伴我无数岁月~            
(NA)	 太拖沓了。            
(3星)	 神神叨叨的　结尾太搞笑了，大家一起说好人有好报==！不过故事结构还不错～            
(NA)	 主题曲不错啊            
(4星)	 皇帝死了就一了百了             
(3星)	 圣母皇后和墙头草皇帝真气死人。            
(3星)	 所以说 男人爱的到底还是你的皮囊            
(3星)	 江苏台在播，啊啊啊，当年我还是满喜欢看的啊            
(2星)	 最简单四个字评论就是：交友不慎！！！            
(3星)	 看得老子憋屈死了。那皇帝是有多二百五。            
(4星)	 除了制作粗糙 是非分明 剧情不错            
(3星)	 我承认我是无聊了            
(2星)	 20集就够了            
(NA)	 男人啊是视觉动物所以被美丽捆绑~            
(4星)	 善良            
(3星)	 好心没好报 OTL 人长得丑也就罢了……没想到心肠也万般歹毒 OTL 30集太长肯定会弃……先马克吧 =&#34;= 主题曲好听~魏俊杰很西门吹雪 囧            
(3星)	 LOVE IS BEAUTIFUL            
(2星)	 看这部片子，很气的            
(NA)	 tvb最烂剧情 我竟然还追了            
(3星)	 最后在我快进再快进中结束。大结局那个镜头太十三！！！竟然还发现敖嘉年。            
(NA)	 最好笑是结尾的那句“好人有好报”啊            
(3星)	 看到19集，自动砍了。TVB真的很缺人手啊。颠来倒去的就这几张脸。惆怅死了。            
(4星)	 很经典！小时候看觉得很压抑 15现在看却还好。呵呵            
(4星)	 有事钟无艳，无事夏迎春~美貌与品德的较量啊~            
(4星)	 不愿意重看,太狗血了.现在觉得向海岚没我以前觉得的那么漂亮            
(2星)	 为什么我无聊到看完了塔，，。            
(NA)	 好睇 !!!其实以前小学同初中真系每晚两档都睇晒噶,可惜上到高中就寄宿了..            
(5星)	 我很喜欢这个哇0 0            
(4星)	 总会让人相信善有善报的TVB剧            
(5星)	 依然小时候的最爱            
(4星)	 还不错的剧 就是太神话了点 哈哈 好人有好报~~            
(3星)	 其实有点不合逻辑。            
(1星)	 很垃圾，却还是看完了~            
(NA)	 还记得车婉婉唱的主题曲——《情的代价》，又找出来听了，仍旧感动。            
(4星)	 给四星。断断续续看完的，小狗血，但是故事本身还蛮有意思的，情节挺丰富的。            
(4星)	 最近喜欢看一些老的，又没看过的港剧。            
(4星)	 港姐冠军又如何，演技就是不能和陈博士比啦～            
(4星)	 有的部分还挺搞笑的，也还算有点内涵            
(2星)	 华丽但不喜欢            
(4星)	 30            
(3星)	 甘样换面好恐怖。            
(5星)	 向海岚~            
(4星)	 都不知道重播多少遍了！            
(3星)	 我覺得好恐怖：（            
(3星)	 蛮喜欢向海岚的            
(3星)	 当年紧追的TVB玄幻大剧，如今再看来换个脸就能把声音也换了 果然牛逼。。            
(5星)	 记得当时年纪小 反正觉得很好看            
(3星)	 我实在是不觉得向海岚是美女            
(4星)	 结局很狗血            
(2星)	 俩女都好丑            
(4星)	 陈妙瑛当年居然没得视后            
(3星)	 童年            
(4星)	 初中时候的一部宫廷戏,没想到是我对男女的人生观的启蒙点.            
