http://movie.douban.com/subject/3023293/	公关小姐
(3星)	 本剧创下了很多个国内第一啊！！            
(4星)	 哈哈 真的好想你 我在...            
(5星)	 我好像小学二年级就看过，我小姑很喜欢看。很多情节还记得，片头片尾曲也还记得。            
(NA)	 童年回忆。。            
(3星)	 久远回忆            
(NA)	 小时侯的记忆            
(NA)	 神啊这都有            
(3星)	 这名字现在说出来可不是什么好职业            
(NA)	 唯一的记忆就系：女主去蛇餐馆饮蛇胆酒。。。            
(5星)	 轰动啊就！            
(NA)	 哎哟，当年不晓得竟然多年以后自己也干这行            
(3星)	 呵呵，改革30年，忽然想起看过这个剧哦            
(3星)	 女银多多。另：这封面跟我爸当年买的磁带一模一样啊。。。            
(4星)	 这位漂亮的姐姐现在哪儿去了呢            
(NA)	 当时觉得是很纸醉金迷的            
(NA)	 童年回忆啊            
(3星)	 1990年？            
(5星)	 当时很喜欢那个女主角，还有主题曲！            
(3星)	 小时候的            
(5星)	 永远记得那个夏天，在晓玲姐姐家堂前，电视里放着公关小姐，晓玲姐姐她爷爷在小板凳上打起了瞌睡，那流得长长的哈~喇~子~~~~我们再也回不去了5555555555            
(5星)	 永恒的经典……            
(4星)	 幼儿园时代的记忆            
(NA)	 想了半天都想不起片名            
(4星)	 小学暑假时候的了，觉得很好看的，每天追            
(NA)	 当年觉得主题曲好听            
(5星)	 小时候跟妈妈一起看的，妈妈喜欢，我也喜欢！            
(NA)	 我小时候肯定看过，就是剧情不记得了            
(3星)	 记得片头一排女的            
(3星)	 妈妈不让看            
(NA)	 女主角的发型我老妈那辈人应该不少都烫过吧            
(NA)	 自从踏进茫茫人世间            
(3星)	 片头片尾曲都不错            
(4星)	 那时觉得那些阿姨都好漂亮啊。            
(3星)	 很时髦的片 好二啊好二             
(4星)	 没印象了，好像有几个场景在华医拍的            
(NA)	 羊咩咩，真的是这个电视剧啊！炒田螺！            
(NA)	 这个我确实是看过的            
(3星)	 居然我还有印象            
(5星)	 主题歌印象深，南国风情，现代都市            
(NA)	 公关课上老师放的= =            
(4星)	 童年記憶            
(5星)	 我当年很小，就记得女主很职业、干练。            
(NA)	 呵呵            
(NA)	 这么好看的电视剧怎么才评七分多？            
(3星)	 不记得剧情了。小时候果然什么电视都爱看            
(3星)	 其实不好评，因为内容都不记得了。不过映像不深的应该就是一般吧，只记得是根据日剧改的。            
(1星)	 只记得片名，内容全忘了            
(3星)	 很模糊的记忆～～            
(5星)	 看这剧时，我还很小很小            
(3星)	 当时说到公关小姐，大伙的眉宇间都会闪过不易察觉的诡异表情。            
(3星)	 忘了            
(4星)	 那个时代、这样的片子，算不错了            
(4星)	 这个也是小时候风靡中国的电视剧。            
(NA)	 上完幼儿园看的，还记得呢            
(4星)	 那个年代算是不错的            
(NA)	 改革开放的大潮啊。。。            
