http://movie.douban.com/subject/3023296/	封神榜 封神榜之爱子情深和忠义乾坤
(5星)	 这个版本巨经典的！            
(4星)	 恶搞得很! 苑仔的慈母表演太强大了,戏名可考虑改为哪咤的伟大母亲二三事...            
(NA)	 温碧霞索!!             
(5星)	 叶璇化蝶的时候好伤感！            
(4星)	 当年看到十娘死的时候伤心得不行……            
(3星)	 一直觉得这部剧有种很奇怪的感觉，，，            
(3星)	 温碧霞好美啊            
(2星)	 温碧霞演妲己再入木三分，至于其他的人就各有各的奇怪。            
(NA)	 当年追看，这么囧的人设，照萌不误            
(3星)	 oh，my god！            
(3星)	 那時我已經有看虅崎的封神了所以這個楊戬的長相簡直可以要我命.            
(4星)	 陈浩民啊陈浩民            
(3星)	 太能胡编了。母爱很伟大。啧啧            
(3星)	 不知道为什么那个假期就是爱看            
(4星)	 TVB的囧剧咩~            
(2星)	 雷震子最可爱            
(3星)	 年轻的时候很喜欢看            
(3星)	 造型很雷            
(4星)	 喜欢叶璇无论别人怎么说怎么看            
(5星)	 很小的时候就立志长大一定要看的片~   T T             
(3星)	 lianhua            
(3星)	 哪吒削骨还父削肉还母，叶璇拖着他的尸身大雨里哭着前进，哭了。            
(4星)	 爱的呀！真的很经典            
(5星)	 温碧霞在这里最美了。真是可惜了这妮子了，地下情里面多好啊，当然，惊变里面多好啊。啊啊啊啊            
(5星)	 这个看了不知道多少遍了            
(3星)	 回不去的小时候..曾经陪伴我的TVB..（一般啦..不喜欢神话题材的）            
(4星)	 爱子情深还挺煽情的。。。            
(5星)	 尽管现在看来这部电视剧确实有许多不足之处，但它给了小时候的我多少感动我不会忘记。            
(3星)	 港版的封神榜            
(NA)	 没看全            
(3星)	 所有有哪吒的片儿都是那么的惨            
(4星)	 冇人觉得佢地演得好传神o既咩            
(5星)	 莲花死了变蝴蝶后我第一次12点才睡着，在书桌上用铅笔写李哪吒VS杨莲花……            
(NA)	 当年的叶璇和陈浩民            
(3星)	 石榴姐的母亲演的很好            
(4星)	 段誉~            
(4星)	 其实挺好看的..            
(3星)	 看了老演员的演技。感叹啊。不禁流泪            
(5星)	 巨 好看。真的            
(5星)	 TVB最无敌。            
(3星)	 溫碧霞還蠻適合妲己的~            
(3星)	 喜欢陈浩民~            
(5星)	 那个时候是很经典的电视剧了.自此对温碧霞抱有超级好感!            
(4星)	 温姐姐在这个剧中的表演确实很有进步，剧情也比较轻松，但和封神榜的故事确实差距太大            
(3星)	 那时候好心疼叶璇            
(4星)	 很早之前看过的了，湖南卫视播过，每次重播都一定会看，感动得稀里哗啦(┳＿┳)... 十娘真是太善良太可怜了....很喜欢温碧霞演的妲己，不像后来某人演的妲己那样轻浮又难看....好评！            
(3星)	 还好看看，我到现在还能记得那句“削骨还父、削肉还母”呃~            
(3星)	 印象中每个假期都看的            
(3星)	 温碧霞演的妲己真是绝了            
(NA)	 【2001】            
(5星)	 童年记忆吧，真是觉得虐到不行            
(4星)	 当年叶璇好漂亮。            
(4星)	 - -蛮好看的            
(4星)	 千金难买 一回头 ~~            
(4星)	 还记得当时那个特效啊。。那血喷的            
(3星)	 一般般            
