http://movie.douban.com/subject/3023695/	狼行拂晓
(5星)	 多经典一部电视剧啊，小时候特爱看，剧情也很浪漫啊，尤其是那个男扮女装的角色，和戏里龙降军跟五实子的爱情！！！！            
(3星)	 小时候看的，现在的我光记得那主题歌了：落后就要被挨揍，永世不见日头；落后就要错过黎明，赶不上决战的时候。            
(4星)	 我还会唱这个歌“一窝蜂向着来的路上走，哪一个也不要落后，落后就要被挨揍，永世不见日头……” .            
(NA)	 一窝疯向着来的路上走，哪一个也不要后退 后退就要悲哀走哦，永世不见日头 一窝疯向着来的路上走，哪一个也不要落后哦 落后就要错过黎明，赶不上决战的时候             
(5星)	 牛叉大了。            
(4星)	 后现代,牛B            
(3星)	 小时候挺爱看的。。。后来电视也不怎么演了呢            
(4星)	 当年竟觉得这个剧真好看啊。。。几个女猪真好看啊。。。我真有品味啊。。。难得一个剧里个个女猪都让我那么有爱。。。当然，我更爱那两个日本女人。。。五十子和空子。那个满洲女人好正太的说。。。那个北条SAMA虽然娘了点可还是挺萌的。。。再说下那个片头曲，比义勇军进行曲还义勇军啊。。。“一窝蜂向着来的路上走，哪一个也不要落后，落后就要被挨揍，永世不见日头……”            
(NA)	 =3=我小时候都在看些神马啊！            
(5星)	None
(NA)	 落后就要被挨揍 天啊            
(NA)	 突然想起来小时候看过的剧，不知道结尾如何遗憾好久。记忆中非常给力            
(5星)	 我在大庆公园 看到你们在拍戏你们不让我在公园里玩            
(4星)	 小时候看的，印象最深的就是主题曲“弟兄们啊走啊走啊。。。。”，情节都不记得了            
(4星)	      今天突然想起这部戏来，找了好久才知道它叫什么名字，不多说了，真是童年的回忆啊，对主题曲印象深刻            
(3星)	 小学时的电视剧。上百度还查到这电视剧片头曲的几句歌词（“一窝疯向着来的路上走，哪一个也不要后退 后退就要悲哀走哦，永世不见日头 一窝疯向着来的路上走，哪一个也不要落后哦 落后就要错过黎明，赶不上决战的时候 ”），嘿            
(5星)	 小时候看滴，跟后面大唱主题歌啊，看得热血沸腾！            
(3星)	None
(2星)	 放学了跑同学家看的            
(NA)	 年少的记忆            
(NA)	 柴沟堡看的            
(NA)	 小的时候真是喜欢哪，现在还想看。            
(3星)	 十年后才明白名字的意思~            
(NA)	 弟兄们啊 走啊走啊 弟兄们走啊。一窝蜂都在蓝天路上走 哪一个也不要落后哦 落后就要被挨打 见不到日出的时候            
(3星)	 小时候，住在15号楼，某个夏天，跟妈妈每天看。            
(5星)	 小时候看的一部电视.情节记得不清楚了.一直记得主题曲里的一句词,落后就要被挨打. 一直激励我,            
(4星)	 上小学时最爱看的电视剧            
(5星)	 小时候看的，突然想起来，就差了网络还真给力，还有一个乱世儿女那个待查，只能说编剧太nb了，导演，太nb了，只是不足之处是导演你应该留到国内培养下一代，呜呜小黑导演，hao admire  u            
(4星)	 反战            
(5星)	 不知道心里总是有这个名字            
(5星)	 老早老早            
(5星)	 真的很好看            
(4星)	 我操 看过的人这么少？            
(NA)	 小时候看的呢，记忆很深刻。剧情记不清了，就记得女主角的爸爸被好多刺刀插起来了            
(5星)	 非常值得纪念的一部电视剧。除了抗战题材让人怀念，剧中错综复杂的感情也格外吸引人。            
(NA)	 几年前到处都没有找着，去年在网上不但找着MP3了，还重新回顾了视频全集。            
(5星)	 人生~~~~5岁啊            
(5星)	 落后就要被挨揍            
(3星)	 唉，假，真是太假了，越到后面是越假！            
(5星)	 落后就要被挨揍，永世不见日头~            
(NA)	 经典，不可多得的中国经典电视剧            
