http://movie.douban.com/subject/3025155/	男人四十打功夫
(3星)	 三星半，印象颇深            
(3星)	 第一次也是唯一一次看到元华大叔演电视剧...很好笑            
(4星)	 =。=我其实满喜欢元华的。。。            
(NA)	 想重溫            
(2星)	 哈哈，记得原来引进的时候叫的是《真假功夫》，男主明明不会神马功夫愣是因为家里有钱妈妈收买了一堆高手假装败给他以为自己功夫了得。男女主角都够丑，但小时候还是看下来了，真不容易啊~挺狗血的其实            
(3星)	 哈哈，男主的老爹也是个高手，他爹的仇人很苦逼。一心办好事，好好照顾我朋友，结果他朋友真的被“照顾”了。。            
(4星)	 哈哈~            
(3星)	 印象不太深刻，感觉还算不错。            
(4星)	 元华都几多经典功夫戏            
(5星)	 我居然仲记得依套剧。当年喺婆婆屋企睇噶，已经喺小学时候噶事咯~~ 锺意华哥，其实他同阿苏都好衬噶            
(3星)	 以前红塔台看的            
