http://movie.douban.com/subject/3025170/	足秤老婆八两夫
(NA)	 不好看            
(NA)	 bosco好萌。            
(3星)	 几年前吧 那时边吃中午饭边看这个            
(NA)	 这都能看出萌点来……话说那情诗真搞笑            
(4星)	 可爱的黄宗泽，秀外慧中的郭蔼明            
(3星)	 好早好早之前看的，为毛当时会觉得黄宗泽很丑呢？            
(3星)	 补            
(3星)	 这结局没闹明白~~            
(4星)	 囧            
(3星)	 很早之前看的~其实前面剧情还好~只是后面就狗血了~电视里放的无聊无聊的就看完了~            
(2星)	 电视台放的时候小看了几段,实在引不出我的兴趣            
(3星)	 是我看的第一部黄宗泽的片子，但是没特别感觉。郭蔼明还是不错            
(3星)	 那时候很喜欢麦包，不知道为嘛他老演坏人~            
(3星)	 20            
(3星)	 阿斗...            
(NA)	 有意思            
(NA)	 老婆饼啊……            
(3星)	 嘿嘿，阿斗            
(3星)	 这一对...好不搭            
(NA)	 每次想到这剧，第一反应是，大良！双皮奶吗！            
(2星)	 为了黄宗泽看了一集，发型好囧。            
(2星)	 感觉一般般            
(4星)	 为了看amy kwok，结局太弱了点吧            
(4星)	 哈哈酱油!            
(NA)	 TVB久不久就要出这样的类型的电视            
(4星)	 Amy主演的剧集，必然支持！            
(4星)	 很喜庆            
(3星)	 郭蔼明复出接的一部剧，印象中貌似也是黄宗泽第一次担正，看了一大半，还米看完！            
(2星)	 锺意郭蔼明，超唔锺意麦长青            
(4星)	 原来年代那么久远啦。不过挺搞笑的。            
(3星)	 麻麻得啦。。。            
(4星)	 郭蔼明啊，为她加了一颗星            
(3星)	 留给我印象最深刻的是青春的BOSCO            
(3星)	 那时很讨厌BOBO的头发            
(2星)	 这么瘦的麦包，这么多年就看着这么一次。            
(4星)	 是恶搞吗            
(4星)	 除左大义凛然的麦老师个个都很好看……            
(3星)	 有些无聊。            
(3星)	 黄宗泽卖傻严重            
(3星)	 当时还不是很熟黄宗泽~~是冲着郭蔼明看的，还算可以吧~~            
(3星)	 我看这部剧的时候实在是行不通为什么找了一个这么丑的人来做男主角，找了一个这么老的人来做女主角。结果男主角就这么红了~            
(3星)	 冲着Bosco看的            
(4星)	 不知道郭怎么会演这部剧，为了黄宗泽看的。。。发现还有文颂娴。。。文颂娴就是打酱油的。。。。            
(3星)	 老少配还是有点接受无能~~~~            
(3星)	 黄宗泽当年。。。            
(4星)	 co r so cuteeee in this drama            
(3星)	 還ok，黄宗泽那個頭...是因為人帥嗎？其實不難看還挺有趣的            
(3星)	 王道            
(3星)	 Bosco那造型...            
(2星)	 死了            
(NA)	 记得当时JX TV650在放的时候，我和SJH每周还会讨论。呵呵 那时候的时光是很有共鸣的，我们会说这你看了哪个，是不是就是那个是么八两什么的，名字都改的乱七八糟，和冤家斗气好兄弟一样。            
(4星)	 黄宗泽演得很可爱，就是那头，哎，有点受不了            
(3星)	 青云老婆~            
(NA)	 喜欢郭蔼明，剧一般看了一半            
(4星)	 BOSCO~            
