http://movie.douban.com/subject/3037354/	上官婉儿
(4星)	 阮丹寧的氣質啊，嘖嘖。            
(3星)	 这部剧太平的老公和《大明宫词》的完全颠倒鸟            
(5星)	 自在飞花轻似梦，无边丝雨细如愁            
(NA)	 上官婉儿很漂亮&amp;两眼无神李隆基            
(4星)	 咩，太子李贤很帅~~~~            
(5星)	 天然。            
(5星)	 这是我最爱的一个李贤的版本，黄海冰帅的我五内俱焚啊！如果章怀太子继位，历史会不会有些不一样呢？            
(NA)	 童年印象：此女乃能人            
(2星)	 要不是因为是凤凰卫视投拍的，鬼才看            
(3星)	 阮丹宁气很质好。但本剧的上官婉儿少了几分英气            
(4星)	 阮丹宁美啊(昨天看吴秀波的侦探片里有她的客串　但印象最深还是她的婉儿)            
(5星)	 小时候在凤凰卫视看的电视剧之一。印象极其深刻，深深被那个太子打动，可惜死得太早，后来才知道原来是黄海冰。            
(NA)	 那段箫曲，让人心静如水。            
(4星)	 他的名字和我的名字深有牵联，他的形象、理想、人品和他的个性深得我心。那一天，我终于站在了他的墓前，我颤巍巍地伸出手，触摸着湿漉漉石棺，仿佛触摸到千年前他的心跳……            
(5星)	 大爱大爱            
(4星)	 这里面的上官婉儿最符合我的想象~            
(4星)	 漂亮的演员，好看的历史剧~            
(NA)	 还记得该剧热播时，还在小学，用婉字组词，有同学组的上官婉儿，被老师骂了一顿            
(NA)	 陪老妈看的            
(5星)	 啦啦啦，老姑代表作~~~            
(5星)	 美好的童年记忆~            
(3星)	 小时候觉得婉儿长的又美 名字又好听！            
(4星)	 小学时候看的- -对上官婉儿最早的印象            
(4星)	 还是漂亮的不解释啊`            
(4星)	 谁说胖子界无美女，阮丹宁珠圆玉润，美丽得紧。            
(3星)	 我当年只是个孩子，却已经明确的对这部剧的纯情历史观表示看不起，我好牛哦！            
(5星)	 小学四年级。我心目中永远的婉儿。            
(3星)	 体态丰腴、睿智机敏的婉儿不错，如果不是有那么多男人的话，更好！            
(NA)	 为什么你要放弃李贤呢            
(4星)	 总是把上官婉儿描写的太过美好了            
(4星)	 婉儿可怜的一生重太子贤死的时候开始了，不过我还是还喜欢剧中的各种扮相，喜欢这样的烈女子            
(4星)	 记得            
(4星)	 小时候觉得很惊艳            
(4星)	 阮丹宁非常美。张青的武则天很出色，后来才知道她就是西游记里的龙公主。黄海冰演李贤。            
(NA)	 那么小的时候看的，到现在还是印象深刻，婉儿很气质很漂亮，和黄海冰的爱情好动人            
(3星)	 那時的海冰著實有幾分李賢的俊秀風流            
(4星)	 好一个上官婉儿!!!!!! 巾帼不让须眉的典范。            
(3星)	 对的这个事凤凰台播过的它投资的            
(4星)	 小学的时候看的了⋯⋯不过自此再也没有见过比她更漂亮的上官婉儿。            
(3星)	 美女pp            
(4星)	 记得小时候，外婆很喜欢看            
(4星)	 如果说我现在对这部剧印象最深刻的，就是上官婉儿的胸器...            
(3星)	 看过几集。            
(5星)	 阮丹宁你美呆了！！！绝对的大唐盛世美女气质，不可超越！！！！！！            
(3星)	 居然是94年拍摄的            
(4星)	 好像是一阵风啊 消失得无痕迹 匆匆地来又去等到一梦醒来 已是月明星稀。。。            
(4星)	 这一版的李贤真是帅死仙人啊            
(4星)	 很久远了，婉儿的真挚也许是我最初勇敢地萌动。            
(3星)	 小时候看的，就现在而言还是存在不少问题            
(NA)	 小时候跟妈妈一起看的            
(4星)	 妩媚、气质、才女            
(4星)	 女主角漂亮~李贤太子帅            
(NA)	 婉儿婉儿            
(3星)	 看完大明宮詞再看這片，真是刻畫得對比鮮明呀……            
(4星)	 我就没看懂            
(NA)	 灵！            
(NA)	 婉儿很漂亮，但似乎与史实相去甚远。            
(4星)	 虽然是洗白之作，但是很喜欢阮丹宁的扮相，也很为里面人物的命运唏嘘不已。            
(4星)	 服装，音乐，故事都很喜欢，从此爱上婉儿，不管之后看到的历史如何，我心中的这个婉儿是完美的            
