http://movie.douban.com/subject/3041493/	小宝与康熙
(3星)	 凉风有信，秋月无边，亏我思娇的情绪好比是度日如年，虽然我不是玉树临风，潇洒倜傥，但是我有广阔的胸襟和坚强的臂弯            
(5星)	 最喜欢的一版韦小宝了。“我什么都没有 只是有一点吵 如果你感到寂寞 我带给你热闹”            
(4星)	 风流倜傥....小时候会背...            
(4星)	 我想说我最爱这版的7个老婆，尤其是建宁公主和沐剑屏，还有小宝那句烂诗..            
(4星)	 我还挺喜欢这一版的，凉风有性……            
(NA)	 张卫健和汪涵长得真TM像。所以以前我一直以为湖南台是张卫健主持的。            
(5星)	 多年以后重新看完，最后一集建宁死了，居然泪奔了...爱上一个人就要让他相信，这世界多么美好TAT虽然我不识字            
(3星)	 凉风有性，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是。。。。。            
(3星)	 我喜欢林心如。没有理由的。            
(4星)	 =-=凉风有幸秋月无边亏我思娇的情绪好比度日如年。。。            
(4星)	 张卫健给了我好多美好回忆啊            
(4星)	 哎呀，从来不知道还有这么可爱的建宁，第一次对林心如产生了好印象，不然偶以为她只会在穷阿姨的电视里面干嚎            
(3星)	 清风有幸，秋月无边。            
(4星)	 感觉是...所有《鹿鼎记》的各种版本里，美女最多、最养眼的一部~            
(3星)	 凉风有性秋月无边。。。只记得这句话了            
(5星)	 强劲既臂弯~            
(5星)	 很喜欢主题歌.我什么都没有只是有点吵.然后曾经大哭.更加喜欢潭耀文.            
(4星)	 啊呀呀，美女如云的一版，建宁还死了            
(4星)	 林心如演技最好的一部戏            
(5星)	 凉风有兴，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是玉树临风，潇洒倜傥，可是我有我广阔的胸襟，加强健的臂腕！ 记得当年看这部电视的时候我还未满二十岁。说实话，看了这么多版本的鹿鼎记还是觉得此版本的韦小宝最好，把那个聪明奸诈烂赌又好色但又爱每一个女人的小宝演绎的淋漓尽致。            
(3星)	 凉风有幸秋月无边。            
(4星)	 原谅我我就是觉得这个版本最好（果真是双儿太萌了            
(5星)	 我喜欢那歌..            
(4星)	 我最喜欢龙儿            
(3星)	 朱茵啊朱茵！！            
(4星)	 中学时代很喜欢的电视剧，张卫健的经典之一啊，那时候的林心如很美！            
(4星)	 就林心如好看些            
(4星)	 我记得那个公主……            
(4星)	 凉风有兴 秋月无边 亏我思娇的情绪好比度日如年 虽然我不是玉树临风 潇洒倜傥 但我我有广阔的胸襟和强健的臂弯            
(4星)	 小宝的绕口令            
(4星)	 我喜欢龙儿~~~            
(5星)	 天啊，你都不知道这部戏对于我们的影响力有多大，只记得那时候“凉风有信，秋月无边”还是我们每天早读的必读词句。我要hong掉了。            
(5星)	 张卫健演的小宝特别感人 真的 男儿有泪不轻弹 只因未到伤心处            
(3星)	 郑伊健，惊鸿一瞥。一直觉得卫建大哥在拍星爷电影的电视版。            
(4星)	 不知道为什么，当年看的时候竟然有哭……            
(4星)	 以前很喜欢看。。。。也是歌还记得怎么唱            
(4星)	 凉风有幸秋月无边亏我思娇的情绪度日如年虽然我不是玉树临风潇洒倜傥但我有广阔的胸襟和强健的臂弯            
(3星)	 凉风有性，秋月无边...            
(3星)	 让人一下就记住了“你爱我像谁扮演什么角色我都会”            
(4星)	 这部是很不错的，建宁的分量加得很大，两首主题曲也很好听            
(5星)	 比起陈小春，我比较喜欢这版~            
(4星)	 好多美女啊，一饱眼福~~            
(NA)	 凉风有讯，秋月无边恶心死了。。。            
(1星)	 这个真的不好看            
(5星)	 泪奔，长大以后才觉得这是BL啊。            
(2星)	 好白痴            
(2星)	 美女众多，可惜大多迟暮了。            
(NA)	 张卫健既然老了就不要出来搞笑了，其实年轻时候的他我就没待见过            
(1星)	 基本上是属于垃圾到极点了            
(2星)	 不太好看，小金鱼是什么破东西？            
(3星)	 明星到是挺多            
(3星)	 里面朱茵不好看&gt;&lt;...            
(3星)	 还是喜欢小春哥的            
(4星)	 还行。            
(2星)	 凉风有信，秋月无边， 　　亏我思娇的情绪好比度日如年， 　　            
(3星)	 凉风有幸，秋月无边。这哪里是韦小宝……            
(NA)	 挺好看的。。。            
(5星)	 拜托！张卫健是我年少的神好不好怎么能不萌            
(3星)	 徐锦江！！！            
(3星)	 这版美人最多            
(1星)	 呢粒星系比谭耀民既，张卫健正垃圾            
(2星)	 无聊 = =            
(3星)	 讨厌那个康熙。康熙明明很帅的嘛            
(2星)	 假            
(4星)	 重看幾次.  其他男人花心, 覺得很噁心; 小宝花心, 覺得很得意, 小宝小宝我想成為第八個老婆.            
(5星)	 百看不厌!            
(NA)	  张卫健 朱茵            
(3星)	 小时候很崇拜张卫键的。            
(1星)	 受不了这么大年纪演小宝的张卫健，也受不了莫名其貌的龙儿双儿等众女人。最讨厌吴辰君。            
(1星)	 “凉风有兴，秋月无边， 亏我思娇的情绪好比度日如年， 虽然我不是玉树临风，潇洒倜傥， 可是我有我广阔的胸襟，加强健的臂腕”……            
(5星)	 初中。叫我怎么说呢。就是喜欢得不行。我爱韦小宝。            
(4星)	 不够完美,但总体挺好玩            
(1星)	 還是喜歡 陳小春那版            
(NA)	 哈哈！小时候看得很欢！            
(3星)	 凉风有兴，秋月无边， 亏我思娇的情绪好比度日如年， 虽然我不是玉树临风，潇洒倜傥， 可是我有我广阔的胸襟，加强健的臂腕！            
(5星)	 个人觉得最好的《鹿鼎记》版本，张卫健这次恰如其分的把韦小宝演绎出来，故事的节奏把握也很好。还有主题曲也很喜欢。是张卫健的顶峰了，不会再有比肩。 凉风有信，秋月无边。。当年初中。。。哈哈            
(4星)	 童年            
(NA)	 我来也~~就记得这三个字            
(4星)	 回不去的小时候...曾经陪伴我的TVB..（凉风有兴，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是玉树临风，潇洒倜傥，可是我有我广阔的胸襟，加强健的臂腕！）            
(4星)	 印象里建宁死的时候还蛮感人的            
(2星)	 舒淇舒淇舒淇            
(4星)	 张卫健个老嬉皮 = =            
(5星)	 很喜欢的小宝    张卫健那首 插曲更是最爱            
(3星)	 比不上小春的~~比较失望~~很多情节完全是照搬周星驰电影版本            
(3星)	 愿难了，情难了。            
(2星)	 要不是朱茵和舒淇。。            
(1星)	 烂片一部            
(3星)	 年少回忆。            
(3星)	 张卫健啊。            
(3星)	 张卫健版韦小宝 感觉还好            
(2星)	 还是陈小春的最经典            
(4星)	 果然韋小寶這個名號還是很響當當的～            
(3星)	 电视剧 TVB             
(5星)	 凉风有幸 秋月无边 亏我思娇的情绪好比度日如年            
(3星)	 实在没感觉。林心如演的建宁公主实在很圈叉。            
(NA)	 没看全凉风~~玉树临风，风流倜傥            
(NA)	 张卫健怎么让我反感            
(3星)	 其实他是有韦小宝的气息的            
(4星)	 初三的時候吧~            
(2星)	 和杨佩佩版神雕侠侣有的拼。。            
(3星)	 一般，阵容有史以来最强可惜胡编            
(2星)	 哎。            
(3星)	 林心如是韋小寶最漂亮的老婆            
(NA)	 张卫健的gay潜质真大.            
(NA)	 这次选用的一砣女人真让人喜欢的紧啊            
(4星)	 这个版本还好啦。。。里面那段台词好洗脑。。。= =~我到现在都还会背。。。想忘都忘不了。。。            
(NA)	 【2002-02-12】            
(2星)	 所有人都知道凉风有性秋月无边啦。。林心如说我是格格，张卫健说，哦，紫薇格格，当年我笑了好几天。。。            
(4星)	 = =康熙变成笨蛋了。。。好郁闷            
(4星)	 想起当年小时候的时光            
(4星)	 实话实说，做为小宝来说，我觉得陈小春更像，但我还是喜欢这一部多点！            
(4星)	 建宁死的时候我还哭了嘞= =恩 对 额娘也哭了= =当年从姨夫家借了租来的碟子当亲子活动全家人一起看的= =            
(4星)	 從來沒這麼喜歡過建寧有木有！心如好可愛！=V= 小金魚也好可愛！            
(3星)	 还不错 可是张卫健肿么老演这种角色呢            
(5星)	 其实我还蛮喜欢这部的。。。            
(5星)	 最爱这版            
(4星)	 这一部的老婆要比那一部漂亮得多啊。张卫健最适合演这种角色。            
(2星)	 王晶隐藏很深            
(3星)	 - -还是梁朝伟版经典            
(5星)	 最爱之。比鹿鼎记还爱。最后建宁公主死的时候。哗啦啦的。            
(3星)	 张卫健演的电视剧改编得都好扯            
(3星)	 其实我是来看美女的            
(3星)	 当年连我爸都在看            
(NA)	 不就是鹿鼎记嘛            
(3星)	 最爱的始终是陈小春的版本。小宝嘴里的段子至今琅琅上口。            
(NA)	 女的难看屎了，剧情又乱改            
(3星)	 没劲            
(3星)	 陈小春版的更好哈            
(4星)	 純看互動            
(4星)	 凉风有信秋月无边~~            
(4星)	 那天看到围脖上说的张卫健生病要退出娱乐圈的消息我着实伤心了好一会儿，还好是假消息。谁能忘记这个神神气气神神气气的小宝，不懂，三丰？这是最喜欢的一版本。因为七个都很可爱。            
(3星)	 张卫健的剧            
(4星)	 當年好流行啊            
(1星)	 我只记得凉风有性秋月无边， 亏我思君的情绪好比度日如年， 虽然我不是闭月羞花，沉鱼落雁， 但我有广阔的胸襟与君共历悲欢            
(4星)	 不管怎样还算好看            
(NA)	 o~            
(3星)	 爸妈最爱的电视剧····            
(4星)	 张卫健拍的电视剧没有一部不好看的！！！            
(1星)	 少年方世玉强行插入鹿鼎记            
(5星)	 啊啊啊啊啊啊,无法磨灭的记忆啊!!!!!            
(5星)	 很喜欢            
(4星)	None
(2星)	 还是陈小春演的好……            
(2星)	 可惜了那么多美人儿了。            
(3星)	 陈小春版是王道            
(2星)	 那些个女的倒真漂亮。。。            
(4星)	 搞也            
(3星)	 没得小春的好看            
(2星)	 俩字 难看 每次他说那段话的时候我实在很想抽人            
(2星)	 2次。            
(1星)	 小宝你个头，要演大侠改其他的去……            
(3星)	 张卫健的韦小宝，排在陈小春、周星驰和梁朝伟之后！            
(3星)	 张卫健永远这个样子 = =             
(1星)	 变态            
(4星)	 有情有义的小宝            
(2星)	 看了陈小春那部就觉得这部差远了            
(4星)	 有自己的特色。            
(3星)	 不喜欢。。。            
(NA)	 愛上一個人，一定要讓他相信，這世界多么美好            
(3星)	 凉风有信，秋月无边啊！            
(2星)	 张卫健真的很帅啊。            
(2星)	 咋跟小春哥的比呢。            
(3星)	 很多人不喜歡這個版本，我覺得還不錯。            
(3星)	 张卫健            
(3星)	 就是为了看美女            
(3星)	 不是TVB风格剧，有点雷人。            
(3星)	 只对小宝的那段口头禅有印象了            
(3星)	 明星是很多，就是感觉不咋地。            
(1星)	 你见过这么恶心的韦小宝吗？            
(5星)	 最愛的電視劇            
(4星)	 很好看的香港武侠剧。            
(1星)	 ...            
(NA)	 当时觉得张卫健好帅            
(4星)	 看美女咯~            
(NA)	 很喜欢啊很喜欢            
(3星)	 右右喜欢看这个？ 哎~ 还是陈小春帅嘛~            
(3星)	 电视里放的是缩水的...看香港版的...很好看...            
(5星)	 有张卫健的就是赞~            
(3星)	 老实说，张卫健把韦小宝演绎的还是不错的。就是整部片是在冬天拍的，到处冒着气，演员也很臃肿，看着不爽！            
(5星)	 从这里喜欢Dicky的。没把我哭疯了,最难忘的一版.            
(4星)	 2003            
(NA)	 小宝与康熙            
(2星)	 画面和剧情都不咋的            
(NA)	 喜欢张卫健这个男人            
(1星)	 非常恶心的版本            
(5星)	 好看            
(3星)	 林心如死果下真系好感人！            
(3星)	 凉风有讯 秋月无边 希望dicky能走更远一点            
(2星)	 每个男人都嚷嚷着要做韦小宝            
(3星)	 真的是小女生，以前都看的这些！            
(1星)	 美女挺多，演技没有，张卫健的表演真够贱的            
(2星)	 女生们很漂亮，除了这个，没了            
(2星)	 比陈小春版的小宝差多了…            
(5星)	 张卫健就是比周星驰有深度！            
(2星)	 ...            
(NA)	 比较有意思的            
(NA)	 妞不正            
(4星)	 现在印象特别深的就是心如的公主了，可爱又漂亮，反而舒淇大美女在上面的扮相好怪，张卫健的主题曲不错，到现在还是很喜欢            
(4星)	 凉风有幸，秋月无边~~            
(3星)	 没完没了的凉风有性。。。            
(4星)	 凉风有性秋月无边，亏我私交却好比度日如年·····只记得这个了            
(3星)	 一般。            
(3星)	 凉风有性，秋月无边            
(5星)	 个人认为改编剧的经典，真正能够传达书中所写的爱情与兄弟之情！            
(4星)	 其实还蛮好看的            
(5星)	 喜欢里面的真情和爱            
(4星)	 王晶编剧，所以带有不少星爷电影的搞笑桥段。是美女最多的一个版本，对原著的改编也是最多的。小时候很爱看，因为看得很开心。现在看，竟赚了我一点眼泪。建宁公主在原著中一点也不讨人喜欢，但改编后，却成了一个很不错的人物。            
(5星)	 我最喜欢的一版韦小宝            
(NA)	 小宝最后有武功了            
(3星)	 为了朱茵而看            
(NA)	 凉风有兴秋月无边亏我思娇的情绪好比度日如年虽然我不是玉树临风潇洒倜傥可是我有我广阔的胸襟和强健的臂腕。            
(3星)	 “凉风有信，秋月无边”，我强烈怀疑这片的编剧是在星爷电影版的《鹿鼎记》的基础上改编而成的。ps：本部鹿鼎记中的美女姐姐都很漂亮。            
(5星)	 我的无聊青春呦。。            
(3星)	 张卫健木有陈小春猥琐呀~            
(4星)	 地方台播的时候各种掐，少了好多剧情            
(3星)	 我看的那个版本就叫做鹿鼎记啦..            
(3星)	 还是陈小春的够味。这个 小宝Q了点。            
