http://movie.douban.com/subject/3042394/	蜀山奇侠之仙侣奇缘
(5星)	 “所谓的魔道正道，都是一样的，得道者得天下”。你想要什么？那你就沿着这一条路去做，去变成他，无所谓正邪分明。《仙侣奇缘》中很多正道人士沦入魔道，是因为所谓的正，在有时很难行得通，不管是被逼，还是自愿，多多少少说明魔道还是有一定的吸引力。神话的世界里，你能一眼分辨地出人物的属性，但现实中，人却是亦正亦邪，又有几人能真的拥有轩辕法王的法眼呢？魔性即人性，“一日为魔，终生为魔”，没有什么错，近朱者赤，近墨者才黑。古今奇侠传很隐晦，不谈人性，谈魔性，其实万变不离其宗。小时候被血魔吓得睡不着觉，现在重温此剧却感慨万            
(NA)	 原来血魔是郑伊健啊，小时候超级口水他。。。。            
(5星)	 嗷嗷嗷……额滴神啊，当年那叫一个迷恋。。。            
(NA)	 当年迷死郑伊健了。            
(5星)	 就是这部让我喜欢EKIN这么久……            
(5星)	 小时候哈喜欢哒。喜欢石生和英男的爱情。长大后发现男猪原来就是郑，有点小失望。            
(5星)	 我一直以为血魔是周星驰演的……            
(5星)	 印象最深的居然是申屠宏            
(4星)	 结局好像是自杀等来世吧            
(5星)	 童年的美好记忆呐。。。像本大小姐这种一倒便睡，一睡如死的体质，也做得到半夜摸钟准时观看。吓到家人以为我梦游。。。当年的英男，就是那传说中的天仙啊。。。一曲天簌绝音。当真如天簌之绝响煞到我欲罢不能欲求无门。。。重温旧梦，却是血迸肝爆之伤。。。            
(4星)	 啊，竟然连这部片都有啊！！记得那时候我还在读初中，看得如痴如醉简直，我读小学的弟弟，放暑假在我家玩，和我一起看这个电视剧，后来还在自己的日记里写了观后感，哈哈~~            
(4星)	 回忆            
(4星)	 我擦，小时候看过的伦理剧            
(4星)	 不记得小学几年级看的了。            
(NA)	 夯天指南車！！！            
(4星)	 我小时候也一直以为男主角是周星驰……            
(4星)	 cult到爆的TVB时代,我小学3年级...            
(4星)	 正义柔情永在。。            
(5星)	 从此迷上Ekin ╮(╯_╰)╭            
(3星)	 2009.7.29-12.31 小时候的惊喜，现在重看一遍已经没有当时的味道了...            
(5星)	 小时候YY了血魔好久.  = =居然是郑伊健演的.............囧 . 我还记得那句台词的说 . 不能流芳百世. 那就遗臭万年吧.            
(4星)	 最后的殉情和隔世相逢……            
(3星)	 编剧越来越扯了，法宝一个接一个，个个不管用，血魔死一回又一回，干脆改名叫《无限复活》算了。。            
(NA)	 最后是有个叫血魔的boss么？            
(3星)	 歌很好听……            
(4星)	 恶魔的环境养成。。。24岁的伊面真是水灵            
(3星)	 血魔？            
(5星)	 那时候演这个的频道都是我心中的好频道！！！！            
(4星)	 小学那时候看的呢，哈哈，血魔，那时候竟然不知是郑伊健演的呢！            
(4星)	 郑伊健的古装够帅的。。。            
(2星)	 居然是郑伊健shite纯为陈松伶            
(5星)	 这个五星是送给童年的。。。            
(5星)	 一直很怀念啊            
(5星)	 忘不了的年少回憶            
(5星)	 太经典的CP            
(4星)	 好小的时候看这个迷上了郑伊健。            
