http://movie.douban.com/subject/3044825/	公私恋事多
(3星)	 唐文龙这里面很有爱            
(4星)	 唐文龙啊唐文龙            
(3星)	 喜欢松松~            
(3星)	 我不喜欢陈松伶。。。            
(4星)	 童年cute回忆            
(3星)	 大学的时候看的？当时郑伊健已经去扛把子了，松松也不是TVB的大花旦了            
(1星)	 小时候电视台放的..            
(3星)	 20            
(4星)	 我记得挺好看的            
(5星)	 和我妈煲完的            
(3星)	 3少爷~            
(4星)	 最近刚想起来，以前看过这部剧，就只记得这几个人名了            
(3星)	 琪琪最终没有和三少爷在一起，永远的遗憾啊~比较现实的荒诞喜剧            
(NA)	
(4星)	 从这部剧开始喜欢陈松伶~            
(4星)	 很喜欢陈松伶，个人更喜欢她和唐文龙在一起            
(3星)	 记得当时看了怪异配音的盗版碟            
(2星)	 MS看过呀            
(4星)	 哇哇哇我觉得这是我看过的第一部TVB!!!印象好深刻是六年级毕业那年暑假来上海电视剧频道在放的!!!当时就觉得陈松伶好自然的哇~然后在马浚伟和唐文龙之间好难抉择的&gt;.&lt;这也是难得一部我男一男二都满爱的戏哇~怀旧了怀旧了&gt;.&lt;            
(NA)	 放假要看点轻松的~            
(4星)	 喜欢陈松伶和那时的马浚伟，其实唐文龙也不错，可是没有在TVB红起来            
(NA)	 诶哟，我居然看过诶！陈松伶的丑女扮相印象深刻            
(3星)	 当年的陈松龄也算美女，才发现姚嘉妮不拍三级片也挺漂亮的            
(4星)	 比想像中好看很多，很輕鬆~適合不上班的假日看            
(NA)	 高三那年,每天吃晚饭的时候必看用来松弛被各种公式折磨的神经,感觉好温馨            
(3星)	 主要看剧名回想起了这部电视剧            
(3星)	 喜欢唐文龙啊             
(5星)	 就是这个 童年回忆啊             
(3星)	 算是爱情小品吧，不过印象模糊了。            
(4星)	 大约是十年前的回忆了。。当时看的很有激情啊。。。喜欢陈松林和马浚伟。。。            
(4星)	 当时特喜欢 结果返校没看到结局 上大学又从新看的            
(5星)	 至今记忆犹新            
(3星)	 3少爷~            
(4星)	 觉得三少爷挺可怜的            
(4星)	 满搞笑的！            
(NA)	 好怀念看剧的过去            
(NA)	 我最早看过的tvb剧～            
(5星)	 当初唐文龙娶Janice的时候我真是伤心死了，为虾米KIKI不喜欢他啊！！！            
(4星)	 松松很傻很可爱啊            
(4星)	 很久以前电视上看的吧 那时候觉得松松太美了 kinki好中意啊            
(4星)	 那个时候tvb的片子~还是很有意思的~虽然不是大片~但是蛮好笑的~            
(3星)	 很搞笑的兜兜转转的爱情            
(3星)	 2006？            
(5星)	 美好的我很喜欢            
(5星)	 好清纯的剧，为什么总觉得现在看港剧我总是怀着一颗沉浮的心，广阔的维港浸透不了我的心，野餐的阳光也照亮不了我的眼睛，不过还是始终如一的看啊看港剧。让我有种归属感            
(4星)	 唐文龙真帅，初中时候真是迷恋。            
(3星)	 只是喜欢松松。            
(4星)	 我记得不错，具体内容快忘了            
(4星)	 这也是古老的片子..            
(4星)	 清新~            
(5星)	 因为这部憧憬成为小职员，汗            
