http://movie.douban.com/subject/3055383/	策马啸西风
(4星)	 粗糙乱编之下还是推出了动人的姐弟恋CP            
(2星)	 傅红雪和西门吹雪的造型是前无古人后无来者的天雷...            
(NA)	 当年我是多么爱吴京啊。。            
(NA)	 现在看来造型配音都何其的雷啊。不过纠葛的姐弟恋才是看点啊。            
(NA)	 可怜的古龙            
(3星)	 那时候还挺喜欢明月心的            
(3星)	 哈哈。。这都有            
(2星)	 还真有啊．．．            
(3星)	 俞飞鸿很PP，吴京蛮可爱。流星蝴蝶剑。天涯明月刀。里面有大陶红吧            
(3星)	 雷人的合体剧情，雷人的装束。当年完全是被俞飞鸿姐姐和望星楼迷住了（是的，是那座在木渎镇为拍摄而搭起来的竹楼而并非孟星魂，或许是因为西劈洁癖，我忍受不了插足进来的明月心和他对高玉寒的背叛和对过去十几年痴恋的否定）            
(3星)	 虎头蛇尾，结局很坑爹，男主的发型是得罪造型师了么            
(3星)	 如果沒有京包子這貨只能一星 傅紅雪那坑爹的沖天辮是我童年陰影喲            
(NA)	 陶虹得雷死我            
(5星)	 11年前偶然看过的剧 今天终于看完 感慨良多            
(2星)	 隐约记得里面有个竹楼搭的不错            
(3星)	 古龙大杂烩            
(4星)	 剧情早忘了，只是对俞飞鸿和吴京印象特别深刻，太爱这对了            
(3星)	 又一部改动很大的片 不过吴京在里面的角色塑造挺不错 至少我为叫星魂的男子心疼了好久 我曾经最放不下的角色之一            
(2星)	 至今对里面雷人的造型心有余悸            
(NA)	 挺喜欢姐姐的角色的             
(3星)	 迷吴京的时候看的，俞飞鸿就是漂亮，其他的再没印象。。            
(3星)	 我爹很迷俞飞鸿            
(2星)	 为了俞飞鸿从开头忍受到结尾的一部垃圾片            
(3星)	 主要看的是邢岷山和吴京，虽然邢岷山的造型实在不咋样……            
(3星)	 看在俞飞鸿和吴京份上给三星……            
(1星)	 吐血至死。            
(3星)	 话说……我更喜欢的是明月心和傅红雪啊……            
(3星)	 这三星是为了吴京的孟星魂和俞飞鸿的高玉寒            
(1星)	 真心真意的丑的不得了……作为一个小时候对古装电视剧有莫名的爱的同学都看不下去了，虽然我也还是看了的            
(3星)	 不知道肿么了，今儿突然想起这个来。。。            
(NA)	 邢岷山你这个洋葱头！            
(3星)	 吴京啊。。。。            
(3星)	 2001 俞飞鸿 吴京 古龙             
(NA)	 哎呀不小心暼到这个，盼盼~~~~~~~~            
(5星)	 这个不是号称流星蝴蝶剑·天涯明月刀联合改编吗……咦            
(4星)	 俞飞鸿好看死了，就是陶红太烦。            
(4星)	 俞飞鸿，爱死你那一身大红衣了！！！            
(2星)	 雷版古龙群侠传            
