http://movie.douban.com/subject/3055386/	卧虎藏龙
(4星)	 超级喜欢主题曲和片尾曲 喜欢蒋勤勤和何润东 小打小闹的一对            
(4星)	 就记得玉娇龙刺小虎那一段很精彩             
(5星)	 不一样的蒋勤勤，我比较喜欢她演的这类型人物~这一部的何润东也演的不错            
(5星)	 喜欢卧虎藏龙里活泼可爱，聪明伶俐，敢爱敢恨，调皮捣蛋的玉娇龙。            
(4星)	 何润东版的罗小虎！！！            
(4星)	 我恨你！哈哈哈哈！            
(4星)	 喜欢龙虎配            
(4星)	 很喜欢何润东和蒋勤勤那对，敢爱敢恨            
(NA)	 一度对玉娇龙惊为天人            
(4星)	 看了之后好喜欢邱心志呐！            
(5星)	 非常唯美的镜头，爱情啊爱情            
(5星)	 只是觉得主题曲巫启贤唱的《团圆》好听！！            
(4星)	 貌似真正意义上的大片            
(5星)	 从这部电视剧开始喜欢何润东。            
(5星)	 想打六颗星~李慕白的自在逍遥，与世无争，雕琢但不刻意，看似不经意，实则全盘尽在脚下，仿佛神仙一般，秀莲的温婉含蓄~龙虎的敢爱敢恨，直率炽烈。天生地对立着，又和谐地统一着，这不就是人生的两种境界吗？一个如天真的孩童，一个如成熟的大人。“我恨你”与“执子之手，与子偕老”各有各的精彩。            
(4星)	 小时候            
(4星)	 当年多迷里面的罗小虎和玉娇龙啊            
(3星)	 我记得这个没演完的样子。。。            
(4星)	 蒋勤勤 不错！            
(5星)	 非常有爱的一部电视剧。            
(NA)	 补遗               
(4星)	 坦白说 电视比电影好看。            
(3星)	 奴家一直jiao得邱心志童鞋素gay来着……￥￥至少也素个东方不败滴主儿。黄奕也一向不待见。之所以选蒋勤勤演玉娇龙也是因为她身上有种放肆的野性吧。            
(3星)	 我居然是先看连续剧才看电影的  - - 李安我对不起你orz            
(3星)	 勤勤的玉娇龙可爱阿～            
(NA)	 唉吆，那个何润东真不知道哪里好了，我从没觉得他帅过。黄奕在此剧里明显要压过蒋水灵啊，不过我还是喜欢勤勤多一点。邱心志？当然是极品男人。            
(NA)	 当年的黄奕是那么可人 现在真是不会接戏            
(3星)	 曾经认为邱心志很帅哦~            
(3星)	 剧情拖拖拉拉，爱来爱去，江湖干脆点行么            
