http://movie.douban.com/subject/3057361/	保镖之天之娇女 保鏢之天之嬌女
(4星)	 我只喜欢公主和铁衣……            
(5星)	 何晴美呆了！！！！！！！！！！！！！！这才是公主！！！！！！！！为了她我也要打五颗星！！！！！泪奔。。。。。。。。            
(4星)	 小时候很迷何家劲！             
(4星)	 好喜欢天凤的扮相，和那个男二号非常配啊            
(NA)	 如果没记错，公主是何晴演得吧。            
(3星)	 公主其实很丑！那个辛什么（辛力？）才出彩嘛！            
(3星)	 何晴是我看着最舒服的女演员。            
(4星)	 劲劲啊~哈哈哈            
(3星)	 铁衣&amp;天凤。ms公主得了脑瘤，还做了手术......            
(NA)	 我居然看过，好神奇            
(4星)	 那时候郭旭就是我心目中的完美男人啊            
(NA)	 台湾的音乐老是那么几首，搞来搞去的，真是有碍观瞻......            
(5星)	 程铁衣！            
(NA)	 何晴很漂亮            
(3星)	 这部俺喜欢~何晴刁蛮任性又可爱的天凤。            
(5星)	 何晴真是美透了            
(3星)	 年轻的时候我觉得黄文豪好帅~            
(5星)	 旧时记忆不过那些，心心念念的是那个娇蛮俏丽的年少公主风雨一路，渐渐成长，终于明白什么是依赖，什么又是爱情。当年的我毫无来由的笃定他们会在一起。可最后的盛宴，她终究没有来，哪怕是负了承诺。素来冷酷少言的银枪少年在揭下妹妹的面具后瞬间黯淡下去的眼神，是很多年来无法忘却的凄楚。            
(4星)	 就记得她很可爱的。。            
(5星)	 小时候的电视 好看的很~            
(3星)	 为此我一直以为天之骄女是一个成语            
(5星)	 童年记忆            
(3星)	 。。那个时候觉得何晴很漂亮            
(5星)	 难得看到第二男主角和第一女主角的爱情故事，无奈最后不能在一起，我当时又哭了！            
(4星)	 何晴那个时候很漂亮            
(4星)	 偏爱，播一次看一回，看过三遍。有一次深夜12点半以后播，咬牙看，第二天发着烧去上班，这种痴迷只在大学看“ER”时出现过。初时是奔着高中偶像何家劲去的，后来完全被黄文豪的程铁衣和美丽刁蛮的何晴迷住了，老套的门不当户不对欢喜冤家套路，但有个很现实的结局。程铁衣的木讷温柔和银箍棒大好！            
(4星)	 干嘛老虐人            
(1星)	 不是我喜欢，是电视台喜欢            
(NA)	 哦何家劲            
(4星)	 永远记得的一对！            
(3星)	 很有回忆的故事            
(NA)	 女神的诞生之一            
(4星)	 很不错            
(4星)	 电视剧史上最好的刁蛮任性公主            
(4星)	 何家劲好帅            
(5星)	 心中永远的经典！！！            
(4星)	 何晴好漂亮            
(4星)	 好多年555            
(4星)	 就记得何晴那会儿老叫，程铁衣，程铁衣。            
(3星)	 何晴好漂亮！！！            
(4星)	 超级好看            
(3星)	 小时候看过的电视剧。纯粹是为了何晴而看下去的。那时候多喜欢何晴啊。            
(3星)	 对这部印象深刻，好像是我第一次看到女一号和男二号在一起的            
(4星)	 悲剧的在黄文豪老的时候才看以前的片子觉着好帅啊好帅好喜欢啊好喜欢==！            
(2星)	 看过，几乎没印象            
(4星)	 很喜欢何晴演的公主。            
(NA)	 这片子我最喜欢程铁衣啊。。            
(3星)	 何晴啊            
(3星)	 #集中吐槽日# 大学同宿舍密友的最爱，每次看到我都有种神奇的感觉。            
(3星)	 何晴真漂亮。            
(4星)	 我记得我小时候灰常喜欢这部剧的            
(4星)	 小时候就很喜欢，真爱程铁衣这对，公主虽然骄蛮，最很真！            
(5星)	 铁衣。郭旭、辛力。封平想想都觉得动人            
(NA)	 a~            
(4星)	 江南美女何晴 PK 岭南美女刘玉婷~~~            
(3星)	 喂 你小时候看的电视剧太多了吧 = =  还都是这种。。。。。            
(4星)	 很久远的回忆。。差点忘记了。。初中的时候看的。。那个时候非常喜欢天凤和铁衣这一对呢。。哈。。            
(4星)	 何晴太漂亮了            
(3星)	 想起小学的时候中午上学前看这个了=.=！转眼哥就成大叔了。            
(3星)	 小学啊真小。            
(5星)	 哎，何家劲啊            
(4星)	 哗哗，这个当年可喜欢看了～            
(4星)	 铁衣 天凤 俺少年时代就喜欢YY这些个            
(4星)	 何晴那个娇美啊~            
(4星)	 最深刻的是那一段说 收集晨露拍脸可以美容 琢磨着是最初的爽肤水吧            
(5星)	 当时超爱看的……            
(NA)	 何晴在这部剧里好美好美~好喜欢~就是喜欢古典美~~~~            
(4星)	 除了何家劲，还有黄文豪            
(5星)	 以前超爱。            
(5星)	 亮点是何晴!            
(4星)	 保镖系列都还不错            
(3星)	 小时候看了超多武侠片 。。            
(NA)	 再次著名的保镖系列            
(NA)	 那时候很喜欢何家劲            
(4星)	 何晴在里面很漂亮            
(5星)	 太好看了            
(5星)	 那时候觉得何晴真是漂亮啊，可为啥后来没跟郭旭好上            
(4星)	 又名：长风镖局，第二、三部&gt;第一部            
(4星)	 天凤&amp;铁衣O(∩_∩)O            
