http://movie.douban.com/subject/3057362/	保镖之情人保镖
(NA)	 很久前看过的了，还是小时候，那是很喜欢            
(3星)	 保镖！            
(NA)	 胡慧中是孙俪的奶奶的妹妹。            
(NA)	 方大玉阿姨！            
(5星)	 这个系列我看哭了            
(3星)	 长久还记得的连续剧            
(3星)	 话说这个系列的配音都蛮好。            
(5星)	 真正的武侠片            
(4星)	 最大的印象就是扎草人。。。这是我出生一来看的第一部扎草人。。。            
(4星)	 我要看 以前很喜欢何家劲 可帅了            
(3星)	 不喜歡那女的~            
(4星)	 很不错            
(NA)	 没有崔JJ该多完美~            
(4星)	 何家劲好帅            
(5星)	 心中永远的经典！！！            
(NA)	 那女的有些林青霞            
(3星)	  胡慧中 何家劲 台剧             
(5星)	 超爱胡慧中！！！！！            
(3星)	 胡慧中的古装。            
(3星)	 胡惠中真漂亮！            
(5星)	 我爱蛮爱那个女主的，男主肯定是爱的。。。            
(4星)	 小时候很喜欢看            
(NA)	 準備複習            
(4星)	 胡慧中那时我挺喜欢的            
(NA)	 小时候看的            
(3星)	 n久了。。。只记得一点片段了。。。            
(4星)	 这个挺好看的。何家劲那时风头正劲            
(NA)	 谷桥~~~            
(NA)	 我那会儿多迷啊!            
(3星)	 我记得那块紫水晶诶，其他就不记得了            
(5星)	 不喜欢天凤和铁衣反而十分希望如风和程铁衣在一起。            
(4星)	 木有看懂，这个电视剧。明显就是看这个电视剧的时候年纪小啊。年纪小。呸，暴露年龄了。印象最深的是某个片段，往水里撒花瓣啊。撒花瓣，准备洗澡。忘了是哪个女主鸟儿~~跑走~~            
(5星)	 彩玉。。。。。            
(4星)	 应该是20集才对啊，记忆中的经典，当年只看过天之骄女，现在回味经典依旧不凡            
(4星)	 当年的武侠剧多好看呐            
(3星)	 对旭玉党来说可讨厌这部了，虽然古樵萌            
(4星)	 王淇 谷樵            
(NA)	 意难忘            
(4星)	 长大后，会断断续续记起童年的一些东西，那时什么都不知道，只是记住了，感动了，喜欢了，并念念不忘。            
(4星)	 结局真是让那时尚在年幼的我无论如何也不能接受啊。            
(4星)	 飘逸的痴情男子 谷樵            
(4星)	 好多帅哥的说            
(3星)	 本来很紧凑的剧情，整到最后，变了，无聊了，漏洞变的越来越多了。            
(3星)	 小时候看的。。            
(5星)	 喜欢何家劲。            
(5星)	 我对那个紫水晶比较感兴趣~~            
(4星)	 就是剧情单薄了点            
(4星)	 很喜欢胡慧中            
(4星)	 小时候最郁闷的就是胡慧中演的这个角色和谁都上过床。。            
(3星)	 胡慧中老了。            
(NA)	 不记得了。。郭旭。。            
(5星)	 旭旭太可怜了。            
(3星)	 胡慧中气质真好            
(3星)	 锦衣卫            
(5星)	 保镖系列最喜欢的一部，天仙罡气还是天罡正气来着？最后结局好伤心            
(4星)	 这部我印象好深            
(5星)	 就冲着男主去的！！            
(5星)	 这配乐着实给力啊，胡慧中还是很美的，但我记得这里面好像也有杨丽菁的么            
(5星)	 胡慧中好漂亮啊            
(5星)	 记得小时候看这部剧看到纠结到死啊！胡慧中演妖姬真不赖，窃以为和林青霞有几分神似，都是骨子里透着叛逆不拘，亦正亦邪的“妖女”            
(3星)	 当保镖遇到失忆人格分裂女            
(4星)	 经典的长风镖局            
(5星)	     崔婷选择死在郭旭的剑下。这一场死别倍感凄凉。而谷樵那一腔绵绵痴情，是被埋进了黄土垅里，还是悠游于清风明月之间了呢？    这一场相遇，似乎背景总是清风朗月，烟柳朦胧。            
(4星)	 小时候看的~何家劲真帅！            
(4星)	 何家劲呐~~我的青葱岁月啊。。。            
(4星)	 极度挣扎而纠结啊 胡慧中真叫一个美。            
(4星)	 歌曲很赞。何家劲很棒            
(NA)	 我对谷樵念念不忘            
(5星)	 胡慧中的崔婷好漂亮！            
(5星)	 台词非常见功底            
(3星)	 小学的记忆            
(NA)	 再回头看发现自己那时根本没看明白 压根就觉得郭旭和采玉是一对 其他女人没睁眼瞧过。。。             
(3星)	 看过~不记得了~            
(4星)	 这个有点意思            
(5星)	 何家劲！！！            
(4星)	 那时候的何家劲啊.            
(4星)	 保镖系列            
(3星)	 记得是个悲剧结局            
(NA)	 这部里面有胡慧中呀            
(5星)	 我心中永远的郭旭            
(3星)	 何家劲是ATV宝贵的帅气小生了~            
(4星)	 何家劲当年还是非常帅的，女主像林青霞            
(3星)	 胡慧中太美了            
(4星)	 保镖这一系列也是一个经典,,好看            
(4星)	 胡慧中 嗲！            
(3星)	 越看越像林青霞，怪不得我也喜欢胡慧中            
(4星)	 很喜欢最后的结局            
(4星)	 胡慧中还是很漂亮的，扮相很像林青霞，何家劲还是演展昭最帅，结局是意料之中的，唉！            
(3星)	 胡慧中很漂亮            
(3星)	 崔婷的亦正亦邪~少不更事时不懂欣赏啊~            
(NA)	 崔婷            
(4星)	 記得小時候很愛看            
(5星)	 少时看的，但这么多年仍然记得它感动过自己。人物描写感情细腻丰富，剧情跌宕起伏            
(4星)	 何家劲的经典之作，郭大少实在是太帅了！            
