http://movie.douban.com/subject/3057363/	保镖之翡翠娃娃
(NA)	 看完白娘子之后，一直觉得叶童该是个男人。            
(4星)	 看过的！偶正在找就跳出来了，深得朕心！            
(4星)	 第一部开得还不错，打得精彩音乐也行。。。到后来人物设定就全乱了，这集是个好人，下一集为了个女人就给倒戈了，再下一集又改邪归正了，再下一集呢，他TM又倒戈了。。。不过长风镖局这块牌子是打出来了。。。            
(NA)	 这三部曲小时候我可喜欢了- -            
(1星)	 我很无辜的，小学暑假电视台下午就放这个..            
(3星)	 叶童还是男装扮相更好。            
(4星)	 很不错            
(NA)	 首次看叶童的女装形象            
(3星)	 胭脂的部分直接快进，专看铁衣童鞋~            
(4星)	 喜欢刘玉婷            
(4星)	 现在才知道，原来里面有les~            
(NA)	 保镖系列还是不错的            
(3星)	 完全是因为何家劲才去看的。但对我来说这里的郭少完全比不上展昭萌            
(5星)	 长风镖局保镖系列，从此就有了多加分号  - -             
(4星)	 何家劲那时候就是帅……            
(3星)	 ms第一次见到刘玉婷            
(NA)	 著名的保镖系列            
(3星)	 保镖是个职业            
(4星)	 记忆最深的，是辛力三番五次的倒戈，最后一次倒戈的镜头我还记得很清楚，白发人嘴角流出红的血            
(5星)	 那个时候的武侠剧多好看。。。            
(4星)	 其实第一部才是剧情最好看的，而且人人都有萌点            
(3星)	 夏天的夜晚，这个家家户户放。真心觉得何家劲好帅            
(3星)	 小时候很喜欢何家劲的说~            
(4星)	 长风镖局这块牌子很靠得住，禁得起复习            
(3星)	 整个童年的记忆            
(4星)	 我还记得那个女子曾对月怅问：明月清风付与谁？也曾记得那一袭白衣的出尘公子有一个好听的名字——谷樵！            
(5星)	 那时好中意封平来着。。。            
(5星)	 真心喜欢采玉。多年后重看以为郭旭的CP会是程铁衣封平辛力之一，没想到最那啥的是冷一夫……神马叫上下其手啊焚蛋们！            
(3星)	 记不太清楚了！            
(5星)	 那个时候看到叶童，满脑子接受不了她是女的~~~            
(4星)	 很经典的原创武侠三部曲            
(3星)	 喜欢那首主题曲。但是看着片的时候觉得叶童好烦。虽然痴情但感觉好刚毅好扭曲。虽然不满何家劲的负心。但仍然庆幸还好他们两个没在一起。            
(3星)	 我和我外公的最爱。            
(5星)	 三部里面最喜欢的一部。            
(3星)	 好多年前看的电视剧了。。。            
(3星)	 锦衣卫            
(4星)	 虽然到了后来讲太多感情上的事情，有点拖沓，虽然最终决战让人觉得有点诡异（这片子里武功果然没有绝世滴）总体还是不错的电视，必先之的好玩多了。            
(5星)	 那时候才知道原来许仙是女的！            
(4星)	 李婉华真漂亮            
(5星)	 这个印象不深啊？记得看过了            
(5星)	 小时候印象很深的电视剧，个人认为还蛮经典的，每集都有多场打戏，比现在张纪中弄出来的那些剧里舞蹈似的动作加特技，看着过瘾多了。印象最深的是刘玉婷饰演的程采玉，简直是智慧版的王语嫣，不会武功的黄蓉。对何家劲来说，个人认为郭旭这个角色简直超越了他的展昭            
(4星)	 哈哈 经典啊。            
(4星)	 当年很火！！有没有！            
(3星)	 长风镖局~            
(4星)	 很有内涵的武侠剧。            
(4星)	 我其实分不清楚这几部            
(4星)	 何家劲不错            
(3星)	 以前觉得叶童难看，这部里还行，但是演的有些过，看起来似乎软骨病            
(3星)	 第十三只翡翠娃娃            
(3星)	 看过，但是没有什么印象了...            
(3星)	 叶童演的血手胭脂应该是这一部            
(NA)	 围观刘玉婷。            
(NA)	 这个就没有每集必看了，不如另外两部~~            
(4星)	 长风v5最后一集的打戏相当精彩            
(5星)	 萌片            
(3星)	 我现在很想知道为什么我看过这么古老的电视剧……            
(3星)	 李婉华真美.            
(NA)	 保镖系列~            
(4星)	 就是叶童不大讨我喜欢            
(3星)	 刘玉婷比叶童演的女主美多了，这部总体而言很令我无语            
(NA)	 情人保镖！很好看的&gt;&lt;            
(NA)	 做作业时看过滴……            
(3星)	 程铁衣            
(3星)	 忘了。只记得保镖            
