http://movie.douban.com/subject/3062731/	篮球火
(NA)	这其实根本就是阿迪达斯的超长广告宣传片吧。。。一直不停的在巴拉巴拉的强调“为兄弟。。”之类的，所有的服装鞋子也都是阿迪达斯的=。=，最囧的是 ，我居然一口气把这片儿看完了，虽然对话的时候都是快进掉了。。。
(3星)	我为什么要看啊。。。我是不是有病
(3星)	OK.很雷很囧很烂很奇幻很好玩很无厘头很养眼
(5星)	猛然间发现言承旭的表演有点意思。从情节到男主角们的卡司，偶像剧中，这部剧还是很耐看的
(1星)	还能更傻逼点吗？为了言承旭我居然看了15集
(3星)	剧情太夸张，纯粹是看在小猪和旭少爷的份上。
(3星)	好吧，言承旭真的很帅。但这部剧真的很烂。
(3星)	看帅哥成分大过看片子～～话说不是偶像剧，是科幻魔幻奇幻剧～情节很无厘头。一星给言承旭，一星给罗志祥，吴尊和w一人半星。这戏整整看了半年，终于在09年第一天收工。
(3星)	至少比什么《篮球部落》好看多了
(3星)	这不就是偶像剧么？
(NA)	囧
(NA)	奇幻剧《飞天》
(2星)	我真的觉得言承旭和吴尊都长得不好看，看言承旭还不如去看漫画里的流川枫。
(NA)	陪妈妈看
(1星)	就装13吧
(3星)	似乎我家小远很喜欢~还拉着我去网吧看过。我的妈诶，这男人绝对是篮球疯子。话说，为什么我周围的人都是篮球达人，我却是白痴...orz囧...
(4星)	都是大帅哥..
(3星)	前两集~胡宇崴戏份太少了~
(2星)	言承旭还是帅。
(3星)	其实蛮扯的,但还是喜欢看呃
(4星)	纯属个人花痴
(3星)	好吧。。偶尔犯花痴。
(3星)	9.30
(3星)	第一集很连续的看完，后来就....
(2星)	男色再多我也坚持不下去了。
(3星)	只是无聊的时候 看看帅锅而已 - - 我知道我有够无聊。 - -
(3星)	模仿的影子很重 漏洞百出 结尾太刻意太突然太莫名其妙 不过对偶像剧要求也不能太严苛。
(4星)	是的，认真的男人最美丽。
(NA)	小猪的樱木花道式演技很抢眼。
(5星)	个人很喜欢。像灌篮高手。第一次觉得小猪演戏演的可爱。哈哈。
(3星)	14
(3星)	 名字可以取得那么搞笑~~~囧
(NA)	呵呵后
(1星)	你妈B啊 篮球迷看到这部片子肯定打O分 。。。。
(3星)	那結局也太突兀了吧...周采詩怪怪的...
(3星)	超级喜欢看小猪又哭又笑的
(1星)	瞟了两眼，简直是奇葩
(4星)	看的我手痒想打球
(4星)	翔翔 check out。。。。。小骚货 死贱人
(3星)	无聊(-┏)
(3星)	我居然也看過了.....o(╯□╰)o
(3星)	哎
(3星)	台湾的偶像男演技真的很无语，让人看了起鸡皮疙瘩，不过帅哥很多，凑活看吧。
(NA)	还是因为老板
(2星)	太扯了= =
(1星)	三个男演员一个比一个恶心
(3星)	噢，好久没看偶像剧了，这部剧纯粹用来放松心情的。在小猪身上很多次看到樱木的影子，不禁回想起那个年代，以及，青涩的自己。
(5星)	都NB 什么什么步
(2星)	瞎......
(NA)	老公!!!!!!!!!!!!!我还要多爱你才够啊哈哈哈哈哈哈。
(3星)	Feb 10th, 2010 - Feb 14th, 2010华数+Youku周采诗
(4星)	冲言承旭看。。。
(5星)	三个男人在一起，剧情虽然很瞎，但是，那又有什么问题？！！！！支持言承旭！！！！！！！
(3星)	脑残剧。看了脑残，脑残才看。三星还打不到。为零秒出手预热，呸。
(1星)	可以再霹雳一点么 谢谢
(NA)	被气死了，什么破结尾啊，开始还以为没结束嘞，又下了个结尾，结果发现，唯一区别就是有花絮。
(NA)	看过的当晚被剧情恶心到反胃，第二天早晨直接拉肚子拉到脱水...
(NA)	hahah
(3星)	很夸张很抽象
(3星)	不晓得Adidas给了好多赞助
(3星)	结尾太荒唐 言某太娘
(4星)	篮球火 
(NA)	兄弟情
(4星)	当漫画看不错结尾。。。无语
(3星)	街头篮球很屌哦~
(3星)	玩儿
(NA)	实在是太好笑了。打球还要死人。而且那最后无极队的人名真是太搞啦。呃。我主要是想花痴一下。没其他的意思。
(1星)	尊..
(NA)	还是没看完，太恼火了。
(4星)	言承旭还满会演绎感情戏的嘛！吴尊长的真的没话说！
(4星)	都是帅哥~~养眼养眼啊~~~！吼吼~~~感觉和灌篮高手很像~~~
(3星)	NO Team， No Brothers，No Basketball。结局好弱！
(NA)	樱木同学矮个儿版以及流川枫+玉木宏白痴版
(NA)	...|||其实蛮好看的,小猪好可爱~
(NA)	不是故意要看得～
(3星)	对喜欢打篮球的人,这种片太假了.逊闭
(NA)	还没完，也不想去看了
(1星)	所有的标签都无法言语黯然失色的垃圾
(2星)	我要弃我要弃我要弃！！！那女的实在让人难以忍受！！！！亏得还俩帅哥喜欢她！蒋怡比她好太多了！不知道能为严程序忍多久。。。。。。。已弃
(3星)	小猪，你还可以再甩一点。。。
(4星)	因为喜欢篮球、吴尊和小猪，所以喜欢这部剧～
(3星)	哦~灌篮高手的真人版啊……元大鹰是樱木，东方翔是流川枫……不过里面那句口号还是不错的：球场上谁给我们支援兄弟……球场上谁给我们信心兄弟……球场上谁给我们勇气兄弟……有了兄弟，绝对无敌~
(2星)	的确是蛮帅的。除此之外也没其他东西了。偶像剧还用吊威亚……
(3星)	咕咕叽 是离开地球表面里的小女孩吧没看完。不打算继续。。
(2星)	看完第一集就不想再看下去了。直接终结它。
(2星)	受不了 有點港。
(1星)	要多唬烂就有多唬烂……被雷活该，以后都不能再幻想台湾有正常电视了……
(3星)	只有罗天王可以看！
(3星)	也许就像最后的那场球赛那样，真正的看点才出现，整部电视剧，在没看最后一集以前觉得，不过是部普通的台湾偶像剧，走得是老套路，帅哥。看完最后一集，觉得有些被“兄弟”情撼到。不过，加时赛结束后那块有点雷-，-脸上的笑容还有那些旁白
(NA)	【2008-07-28】
(3星)	搞的挺玄，其实不知道在说啥，一般般
(1星)	看了两集，然后就弃了。其实不值得三星啊……
(NA)	男主太多，一山不容三虎啊。小猪脱变的越来越好了
(2星)	实在是难以下咽
(3星)	哈哈哈哈寝室的无聊时光
(NA)	完全木有宣传的亮点存在 不好看。。
(4星)	帅哥，帅哥！！
(NA)	好高贵！！！！！！！！！！！！！！怎么会只有十六集！！！！！！！！
(3星)	其实有些地方很傻
(1星)	篮球不是这么打的……
(1星)	很雷  很囧  有模仿樱木的嫌疑
(NA)	陪我妈看看到最后我蛋疼不已... 结局爆雷呕不出一口血...
(2星)	再2也要看言承旭=。=
(1星)	罗志祥你唱歌就好了，不要演戏了
(3星)	三星是给三个男主的，要不就零星了。
(3星)	JERRY
(3星)	看到言承旭，想到之前的流星花园。
(2星)	暑假真是无聊到暴 天天家里抱着电脑
(3星)	言承旭好帅
(1星)	转台的时候看到，正好是大结局，大概看了2分钟，就恶心的想吐，所以就想来给个0星，可惜没有。台湾的偶像剧……哎……蔑视……
(3星)	言承旭 没有变
(2星)	我不仅没有感觉到热血，还无耻的笑了。。。。真的有够夸张和假哎。。。。。
(1星)	雷点不断啊，很精彩！
(NA)	小猪怎么看怎么傻
(1星)	一星给言承旭哦亲
(2星)	呸。烂剧
(3星)	很狗血，不過挺好玩的
(2星)	实在是做作难看。本是冲着男主们去的。
(3星)	有些戆。
(4星)	我是不是有点发神经啦~~
(1星)	好扯...
(3星)	毁了言承旭~
(NA)	。。。
(2星)	过年的时候我那loli表妹天天霸着电视看这剧
(3星)	为嘛我看的乐滋滋的？？
(1星)	假了去死 当初也不知道自己闲在哪儿了 大二下有段时间每天拿这个消除寂寞
(4星)	我说过我会给罗志祥一颗星的
(3星)	其实吴尊真的挺帅的也。。。
(3星)	还不如拍成漫画式的篮球局。。。。讲什么爱情，讲什么生死，没有突破！！三星还有演员的水分。
(3星)	十年前肯定很喜欢看这样类型的片子
(4星)	男人的偶像剧
(2星)	要不是我喜欢篮球，绝对不会看。
(3星)	只想说，吴尊和小猪的演技其实不错吧。
(3星)	好夸张````  小猪卡哇伊哟`````
(4星)	很偶像剧
(4星)	言承旭真的很帅！！
(2星)	陪我妈看了。。。我无奈了
(4星)	我怎么觉得东方翔爱元大鹰？
(NA)	18
(4星)	开放式大结局，喜欢啊喜欢。。
(3星)	上一次看言承旭的电视还是九年前的《流星花园》了。这部戏有《灌篮高手》的影子。
(5星)	哦也~
(3星)	火。那个传说还是挺好的。
(2星)	什么破玩意儿
(1星)	连我都不忍心看下去了。实在是........哎........真是足够的恶心。。。
(3星)	元大鹰小盆友还是很可爱地,以及这片儿还能再意淫点么...= =+
(4星)	言承旭！！！！！！！！！！！！！！！！！
(3星)	台湾剧，就是喜欢在剧情前面玩神秘埋伏笔，但是后面的谜底都让人感觉太过牵强！！！
(NA)	跟着我宠物看，怎么也喜欢不起来
(2星)	亢龙不悔旋风式灌篮。。。实在霸道。。。
(4星)	好歹有吴尊和小猪养眼。
(1星)	真JB扯。。
(3星)	俺觉得很有爱的女猪居然就那么倒下了？我操，什么情况啊！！！！ 
(5星)	绝对无敌的传说
(3星)	多么艺术的结局啊~~
(5星)	我喜欢
(1星)	垃圾
(2星)	烂
(3星)	受不了言承旭的可爱风，还是道明寺比较有型
(3星)	10小时奋战的结果
(NA)	我只想看那个女子。。
(NA)	超無聊 @@&#34;kinda gave up (after 3 episodes) and the HDD was gone anyway.
(4星)	还行，那个高高的黑黑的妞很喜欢。。。^_^
(3星)	哎···
(NA)	樱木花道猪&amp;不一样的阿长张飞`~ 耶 我是superman 耶 我是superman 耶 你是loser``
(3星)	感觉成名男明星阵容很强劲呃，不过也把编剧着实为难了一把。。女角就比较奇怪了。。结尾很白烂~~
(4星)	小猪真的很搞，太可爱了，吴尊很酷，小言很帅
(2星)	20090818-20091030 @ office
(4星)	完全是因为这几个帅气的主角~~挺好看的我喜欢打篮球的男生！！！
(3星)	YY剧，不过喜欢小猪，算了算了~
(3星)	一星给变帅的言承旭和吴大侠
(3星)	结局很雷人
(5星)	越来越爱言承旭
(4星)	o(∩_∩)o...
(4星)	宿舍
(3星)	除了言承旭先生演技大进步很帅和蒋怡人美身材好之外。无爱。
(3星)	感动啊 我成人以后第一步偶像剧呀 哦哦哦~~~除了让我重温初中的篮球热情以外 就是看帅哥啊  啊啊~~
(NA)	喜欢球魁·
(NA)	三大帅哥！
(NA)	寒假在家里陪老弟看的
(2星)	开头那点还能看看
(2星)	看到一半放棄了
(3星)	帅哥聚集
(2星)	如此打发时间的大一。
(3星)	感觉像在看动画片。
(3星)	前面不错。言同学的烂演技在这部剧中可以稍稍隐藏，元大鹰真讨厌。配角我喜欢的到很多，比如洁儿，残，w，和篮球队另外两个。w是我们学校的师姐噢。
(4星)	不动脑子看看
(NA)	这三人参加的剧集，我怎么可以不看哩。简直是对我眷顾嘛。哈哈哈
(4星)	我觉得挺乐的呵呵~尤其花絮~XD~笑死我了~哈~小猪真的超爱演～
(5星)	让我找回了看灌篮高手时的感觉~~
(3星)	一直觉得大鹰很像鸣人，有一股可爱的憨劲。是一部走老路但还是有特色的台剧。
(3星)	看帅哥的
(NA)	玄美的篮球和帅哥
(2星)	偶像剧 主要是看偶像 剧情可以忽略
(NA)	真的好喜欢噢 暴龙 小猪 吴尊..光是看 心情就好起来了 再+上他们的胜利之舞 简直就是可爱到极点了..
(3星)	帅是帅，不过也够二的~
(2星)	就冲着蒋怡的大长腿了，星空卫视现在每天两集，周采诗还不错，小猪、暴龙和吴尊其实也都挺好，但还是蒋怡的美腿最吸引人，对白很白痴，不明白台湾偶像剧为什么都那么弱智
(3星)	烂片一部呀
(3星)	給面子小豬才快進著看完的。
(5星)	好看 Jerry很帅
(3星)	真的只是偶像剧
(4星)	罗志祥~~笑星，跟偶像没什么关系的说，最新定位，太有才了，很可爱！
(3星)	妈的巴子 看了两年!
(3星)	开头还不错，后面太瞎
(3星)	有些许鼓励人的味道和作用，插曲的创意很不错，也有应有的霸气。情有独钟的是“不要对我再说爱”，真真是，一首简单的歌，却千言万语啊
(3星)	要不是因为罗志祥 我根本看不下去啊～～～
(1星)	因为自己参加DV大赛拍的是篮球戏 就拿来参考。。实在是太烂了。。。
(2星)	没一个好看的
(2星)	我无法想象还可以烂成什么样？
(4星)	哈哈，青春偶像剧！
(NA)	言承旭 吴尊 稀饭！
(3星)	有些夸张，有些抽象，有些无厘头，有些弱智，有些搞笑就是了 。
(2星)	太假了。。。
(3星)	相信我，大鹰绝对是爱着翔翔的。。看完了。。好狗血的结局。。
(NA)	吴尊还是超级完美，言承旭耍帅，罗志祥耍宝一般般
(3星)	剧本很一般，不过帅哥云集，也算是看点了
(3星)	街头篮球。。
(2星)	居然最后一集不想看了.....
(3星)	小猪本色出演
(NA)	虽然明知是无聊的偶像剧，但因为主题是篮球，还是选择了看，如果特效不要做得那么夸张，更接近现实会更好。
(4星)	结局好默默啊..
(4星)	你是superman~耶~
(NA)	超级浮夸
(3星)	太明星阵容了，反而。。。。
(3星)	。。。
(3星)	纯看人
(3星)	扯
(NA)	就是冲着帅哥去的，台湾偶像剧已经很久没有这么合格的卡司阵容了
(5星)	我一看兄弟情就受不了 特别还是关于篮球的 男人好看的 能腐的。。。五星五星 绝对五星！！！！
(2星)	18
(NA)	哈哈，好看！
(3星)	看到一半。
(3星)	好不容易终于看完了,结局太烂了!
(4星)	喜欢插曲
(4星)	全是帅哥帅到爆
(NA)	傻傻痴痴地看。突然觉得演得最后竟是如此的无聊，八成是自己无聊透顶了。
(5星)	很轻松很好玩。小猪的演技很好哦~~
(3星)	当喜剧看看不错
(3星)	很是怀疑会打篮球的人武功也很了得么？
(4星)	小尊尊~~~~~~~~~~~~~~~~~~~~~~~帅！！！！
(2星)	
(2星)	夸张得不知说啥了。SD真人版？我死也不会承认的。。
(4星)	4.3真人版灌篮 太白痴了 不过很养眼 呵呵 好强的集训阿 最后一集16的花絮中亲亲的图图
(4星)	从暑假看到开学第11周啊，每个星期一集，带来无限欢乐和尖叫啊。
(3星)	三个帅帅的男生，很好的篮球主题。。
(3星)	帅哥比剧情好太多呵呵晕
(3星)	太多特技，真正打球的时间不多
(NA)	三个大帅哥...能不火吗?HAHA....
(3星)	偶像剧，风头已不大不如从前
(3星)	俊男的“秀太”
(NA)	不是为了少爷,不会看,看了几集,我是真的不想浪费我的时间了
(2星)	看看先有点垃圾
(3星)	一群如花似玉的帅哥们就够看了啦~
(4星)	熱血，籃球，羅主任~
(4星)	看帅哥成分大过看片子～～话说不是偶像剧，是科幻魔幻奇幻剧～情节很无厘头。一星给言承旭，一星给罗志祥，吴尊一星，篮球一星
(3星)	三星分别给三男主
(3星)	尼玛 08年了。。还在看这些？！
(3星)	赤裸裸的弱智剧啊
(3星)	看了一集，没忍下去
(3星)	没有爱情的滋润 偶像剧果然不行啊 女主的雷 实在是……太响了。
(NA)	有点无鸟
(NA)	哈哈哈哈哈
(4星)	故事三星，最後一星給蔣怡
(NA)	跳着看言承旭
(3星)	superman好酷啊
(3星)	jerry不错 歪着个嘴
(3星)	有点瞎。
(3星)	感觉有点雷，所以没有看完。
(4星)	其实我还是觉得这片子蛮励志的。当时看的时候就觉得羅志祥在演自己。
(2星)	我真的很喜欢言承旭 可是这个剧真的好狗血...
(1星)	实在受不了的狗血剧情。。。加超烂演技。
