http://movie.douban.com/subject/3063818/	福星高照 福星高照猪八戒
(1星)	 其实好想给个负五星的...看到这猪头就觉得百爪挠心啊！            
(1星)	 真tm烂            
(NA)	 我还真是坚持啊。。            
(1星)	 原来猪八戒是黄海波，天雷滚滚滚、            
(3星)	 最喜欢第一回合。 牛魔王和铁扇公主。不同于从小被认知的完美结局。            
(1星)	 那段时间非常厌恶的系列剧之一。            
(NA)	 我为我看过这部滥片儿而悔过。            
(2星)	 垃圾            
(1星)	 哈哈哈哈哈            
(3星)	 我只看过第一个故事，铁扇和牛魔王。            
(2星)	 弱智。。。            
(2星)	 一集不差。。。哎。、            
(2星)	 两个女娃不错。            
(NA)	 三打情圣牛魔王！            
(1星)	 垃圾来及垃圾垃圾~            
(3星)	 铁扇与牛魔王的故事不错……锦毛鼠的哥哥很可爱……这真的不是讽刺……有这两个萌点已经很不错了……            
(4星)	 当年很喜欢啊            
(1星)	 烂片。。。            
(NA)	 啊呀呀！！！！！！！！！！！！！！！            
(3星)	 我讨厌那时候的黄海波超级2逼货            
(2星)	 恶俗            
(NA)	None
(NA)	 内时候对牛魔王一往情森啊..            
(2星)	 喜欢牛魔王内个            
(4星)	 牛魔王的看了好些遍呢，多美好多爱情，喜欢。不过，主角，实在是毁片大毁啊。            
(1星)	 我只看过第一个故事，铁扇和牛魔王。后几部的猪八戒我都不知道编剧是怎么想得。            
(1星)	 垃圾            
(1星)	 我看过的白痴电视剧真他妈多            
(1星)	 没看着的时候我想打，看着的时候我想吐。            
(3星)	 挺搞笑的            
(3星)	 =_=猪猪~            
(2星)	 无话            
(2星)	 40            
(2星)	 黄海波 演成这样 太不容易了。但王学兵和韩雪那段还挺喜欢的            
(2星)	 看烂片不伤神，大脑十分复杂的时候我不会转台。            
(1星)	 。。。            
(3星)	 比第一部差   第一部好精彩~            
(NA)	 很BT            
(NA)	 啊~~~~~~~~~~~~            
(1星)	 继续愚蠢            
(5星)	 好看!!!!!!!!            
(4星)	 我看铁扇和牛魔王那部分的时候，应该是哭了。恩，哭了。            
(1星)	 其实好想给个负五星的...看到这猪头就觉得百爪挠心啊！            
(3星)	 为什么那几年都爱出关于西游记猪八戒的题材啊！不觉得俗套么= =            
(5星)	 小的时候天天看啊            
(2星)	 造型太累人了吧            
(2星)	 除了韓雪的那個比喜歡之外其他的都不喜歡~            
(3星)	 挺欢喜的一部剧，权当消遣            
(5星)	 锦毛鼠～～～～～～            
(2星)	 可以再傻一点么。。。。。            
(4星)	 我主要是为看韩雪。            
(2星)	 伦家当年为牛魔王和铁扇哭的要死要活，但是真的好想拍死那头猪！！！导致多年后我对黄海波都有心理阴影！！！媳妇的美好时代都待见不起来！！！还好最近的番号完全颠覆~~~            
(4星)	 可以啊            
(2星)	 南师大夏令营的一点记忆            
(3星)	 喜欢黄海波呢~~~            
(3星)	 挺搞笑的            
(2星)	 范冰冰里面还挺招人喜欢的，加上黄海波也算努力扮猪八戒的份上，给两颗星吧            
(4星)	 第一个故事挺好看的……牛魔王不就是传说中的钻石王老五么╮(╯_╰)╭            
(2星)	 八戒,瞅瞅这些年你谈了多少次对象,一点都没有出家人的觉悟!!!            
(5星)	 这五颗是给“三打情圣牛魔王的”            
(5星)	 王学兵演的牛魔王是我的大爱啊            
(4星)	 一直都记得铁扇和牛魔王的故事            
(5星)	 个人觉得是三部猪八戒里面最好的 尤其是黄海波的表演是亮点 同时少年们不要被表面蒙蔽了 黄海波是不帅 但是这样的八戒才憨才爱 比起第三部喜气洋洋猪八戒里面的表演 直接甩他十条街            
(2星)	 垃圾啦            
(2星)	 黄海波演的是什么狗屁            
(NA)	 悲催的猪八戒系列都看过。            
(1星)	 我都想爆粗口了            
(NA)	 当初把牛魔王当成了梦中情人来着。。。= =            
(5星)	  牛魔王内段er大爱阿!!!!!!!!!            
(1星)	 介货是神马…………            
(3星)	 喜欢韩雪~~别的，额~~~~就算了。怎么有猪八戒的剧都长成这样啊            
(NA)	 ＝。＝            
(1星)	 春光灿烂多好            
(2星)	 讨厌那只猪~和第一部差太远了~美女倒是挺多的~            
(5星)	 最喜欢那个牛魔王的故事            
(1星)	 把徐铮换掉曾让我气了一阵，但看了几集之后，我替徐铮松了口气。            
(1星)	 很恶心，不喜欢，韩雪。。            
(4星)	 很好看，很搞笑，记得当时笑得我肚子疼……            
(1星)	 垃圾            
(1星)	 烂片中的奇葩。。            
(2星)	 只喜欢第一个单元，后面都是瞎搞~            
(1星)	 看过几眼 太雷了            
(5星)	 我还蛮爱这只猪的！            
(3星)	 就是那种二百五的剧，我那时还很爱看……            
(5星)	 巨无语的片子~~            
(2星)	 八戒跟你们有仇么！！有么！！？            
(1星)	 还是那些闲人换个皮            
(3星)	 其实很喜庆，这貌似第二部。            
(NA)	 难看            
(3星)	 威慑那么我看过这么多雷剧...            
(1星)	 简直是傻逼到极点啊……            
(3星)	 当年，我真的还蛮喜欢的。。。那歌“蓝天白云#￥%@...”还会唱，还有觉得范bb真特么美            
(3星)	 当初的我是何等的萝莉啊。            
(5星)	 黄海波 范冰冰的黑历史            
(1星)	 记得当时年纪小~~~            
(4星)	 当年超喜欢牛魔王            
(2星)	 ……            
(1星)	 难看死了啦。。。            
(1星)	 范冰冰还演过这个啊            
(NA)	 03出版的老片，小时候看的，一直很爱。            
(4星)	 哟西哟西，我爱看的呀。            
(3星)	 没有第一部经典但是比第三部好看  让我认识了黄海波 虽然这里面他整个一弱智            
(3星)	 小时候看的            
(3星)	 影子猪还是很感人的不是么            
(3星)	 这里面的韩雪好美             
(1星)	 看到黄海波那个SB脸就想括他！！！            
(3星)	 黄海波！！！！！！！！！！！            
(3星)	 我居然看过全部。。            
(3星)	 不明白黄海冰干嘛接这种烂片            
(5星)	 比起男主的艳遇。我更喜欢铁扇跟牛魔王的浪漫爱情~~呜呜，完全可以另起炉灶的一个故事嘛！我喜欢            
(2星)	 没第一部好            
(2星)	 。无语。            
(2星)	 巨讨厌那个猪八戒，感觉好弱智，黄海波其实其他角色很不错的，为什么偏偏要演猪八戒........            
(2星)	 那猪真恶心，看着就烦            
(3星)	 之所以评价这部电影是因为特别喜欢王学兵扮演的牛魔王，韩雪抱着种子来，他却无动于衷，和妖精们鬼混那一幕，简直是好看的不得了不得了不得了~~少女的春心呀~~            
(3星)	 竟然有FBB            
(2星)	 庸俗。            
(4星)	 比喜气洋洋那部好啊            
(2星)	 当时对这个猪八戒从外型到声音木有一点好感            
(1星)	 看名字就知道有多恶俗            
(2星)	 曾记否啊亲！！！！！！！！！！            
(3星)	 不爱看范冰冰 虽然不得不承认 她挺漂亮的            
(3星)	 韩雪和牛魔王国那段还行，之后就悲催了。            
(3星)	 要不是因为实在太喜欢王学兵和韩雪那部分，连三星都给不了            
(4星)	 当年是有多喜欢韩雪和黄海波的深情啊，顶着中考的压力看啊            
(3星)	 ！            
