http://movie.douban.com/subject/3063819/	飘零燕
(NA)	 记得当时看的很迷，现在竟记不起究竟讲什么故事，只记得那个古旧的年代。            
(5星)	 幸好结局是好的~            
(5星)	 童年的精典，双线模式的一个好教材。            
(4星)	 终于找到这个片子了！！！李香琴也是我的童年噩梦啊            
(4星)	 电视剧线上活动让我想起了它。小时候看这个哭惨了            
(NA)	 我14岁看的。            
(4星)	 童年呀！！            
(4星)	 小学三年级看的            
(3星)	 很赚眼泪的片子            
(4星)	 很久以前的中文台。            
(5星)	 小时候根本看不懂也跟着哭的电视            
(4星)	 催泪啊            
(4星)	 好想再看一遍            
(4星)	 8岁的时候看的么.真怀念.            
(4星)	 小学 每天十点 凤凰卫视            
(5星)	 初中的暑假，山东综艺台播放的。小孩很漂亮，从这个电视剧学了句台词“新郎结婚了，新娘不是我”。喜欢william            
(4星)	 小学时候看的。记得真小燕和奶奶离得很近，就是碰不上，着急啊。            
(4星)	 我有一休休印象。。。今天终于知道这部叫什么啊！！！            
(5星)	 小时候看的电视.记得主人公一直很坎坷很坎坷,但是她都不会不快乐.慢慢的苦难也就不苦了,也就好起来了.还有什么不会好起来的.只要自己努力笑,就真的能笑出来.            
(5星)	 当时貌似很红的剧~            
(4星)	 儿时记忆……            
(5星)	 这个印象真的是很深很深很深。            
(3星)	 小时候电视台老播，那个小女孩长得很智障的说。。。            
(4星)	 感人啊            
(4星)	 看得很可怜的...为数不多的ATV好剧之一...            
(5星)	 印象最深的就是 处处还有你            
(NA)	 小时候看过的经典连续剧~            
(3星)	 我就是看这个讨厌戴梦梦的            
(4星)	 小时候的凤凰卫视在放哪些片儿~~~            
(NA)	 这个也给我找到了。剧情简介写得好烂            
(NA)	 一直记得            
(4星)	 小时候看得电视剧，很感人。片头曲的旋律依稀还记得，去网上查了一下，是万芳的《带着梦飞翔》。            
(3星)	 诶。不好这类片。            
(5星)	 经典得让我长大后一直找这个片子            
(4星)	 小学时卫视中文台天天看            
(NA)	 片头曲是比翼永相依，片尾曲是范晓萱的。。。            
(4星)	 哭侧乌拉感情戏            
(4星)	 亲小时候看的。。。竟然有印象。。。            
(NA)	 好喜欢文颂娴，只记得《飘零燕》这个片名、文颂娴在里面演一个身世可怜的女孩名字叫燕什么的。            
(5星)	 童年时代很深刻的回忆！            
(4星)	 小时候的回忆            
(5星)	 这剧把姐哭得呀。。            
(4星)	 又是小时候看过的，小时候看过的电视真多~哈哈！            
(4星)	 亚视经典之一啊～            
(3星)	 还是小时候看的，想重温一遍            
(3星)	 忘了什么感觉了。。            
(5星)	 不管怎么分开，我们总是在寻找，一定要再见面。不管生活多艰苦，没有什么比小燕见到奶奶更幸福的了，只要能见到奶奶，什么都不辛苦了。有志者事竟成吧，无论怎么样，谋事在人，成事在天，自己做了就没什么后悔的了！我看过最机灵，最讨人爱的小女孩，喜欢的是那种永不放弃妥协的精神，其实生活就是这样            
(5星)	 回忆            
(4星)	 又一部承载着童年记忆的经典片子。            
(5星)	 小时候看的哦，总是会把好人坏人分得清清楚楚的，记恨坏人，怜悯好人，会替小燕感到委屈，也因她的勇敢坚持而感到欣慰。总是看得泪光闪闪！            
(4星)	 这部很经典。。            
(5星)	 好难忘啊            
(NA)	 小时候应该看过，51在家，ATV早上重播了sweet            
(4星)	 好多年以前看的。。。那时候感觉还不错。。。            
(4星)	 很小的时候看过，巨感人。套用现在的术语，那剧情就是一个字“虐”啊            
(5星)	 貌似是上小学一年级看的…记得当时就好可怜那个小燕            
(5星)	 童年的记忆啊，全家一起看的：）            
(5星)	 这个真的太经典了。            
(NA)	 忽然想起一部和我妈曾天天看的电视剧            
(4星)	 童年啊            
(4星)	 童年记忆            
(4星)	 当年感动得我叫一个痛哭流涕啊             
(5星)	 小时候好爱看！！            
(5星)	 最后一处我没懂。赚了妈妈好多眼泪。凤凰卫视晚饭档。            
(5星)	 经典只属于小时候记忆的一隅！            
(3星)	 我真的受不了这种惨兮兮又坚强的电视剧……            
(4星)	 还是萝莉时期的我，为此剧流了大把的眼泪。            
(NA)	 很感人            
(4星)	 有什么理由一直一直找不到            
(2星)	 这杯具滴磨叽苦情戏评分居然还挺高= =            
(5星)	 我那个眼泪水啊~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(5星)	 小女孩好坚强，若是励志的话，比什么大长今好多了            
(NA)	 atv，童星戴夢夢            
(3星)	 童年记忆            
(NA)	 香港人拍的乡土剧。如果不是片尾曲，我真不想承认自己看过。            
(4星)	 不是偶然碰到，都快想不起来了当时就觉得这小女孩怎么那么惨杯具啊。。            
(3星)	 很催泪的长篇啊，又是记得主题曲怎么唱...好像还是范晓萱唱的            
(5星)	 现在的人不会再有那种坚持和患难与共了吧……            
(4星)	 孤零零的孩子，为了寻母到处漂泊，经历了无数的困苦罹难，最终找到自己幸福的归宿。            
(5星)	 小學時衛視中文臺放的 好感動 想我的奶奶了TT            
