http://movie.douban.com/subject/3075964/	天一生水
(4星)	 去宁波的时候都搞到要附身了            
(4星)	 或许应该把黄磊看作一种现象            
(5星)	 天一阁            
(NA)	 好吧这样的电视没法打分，它在我小时候对我影响太深刻，很难讲清楚它对我而言有多特殊的价值。又是黄磊，以及我是发自内心的喜爱它，无论是情节，人物，还是音乐。            
(4星)	 天一生水，好啊！            
(1星)	 冰冰，你始终让人无法承受，奈何你们都把黄磊哥哥拖下水，，，，            
(NA)	 我跟师傅的第一部作品，上海2个月，北京一个月……看见它真亲切            
(4星)	 黄磊的确不错            
(5星)	 叔涵他姐是范冰冰的角色之中我最喜欢的。            
(NA)	 断断续续算是看完了…            
(4星)	 故事编的太假太美好了 演员的感觉还不错。。            
(4星)	 好像也没怎么好看，因为我没记住。            
(5星)	 演员都很喜欢！            
(5星)	 那些人，那些事，那些书，那些，感情            
(5星)	 就是喜欢黄磊的调调～！            
(5星)	 真的很感动，很感动....            
(5星)	 一部好戏。            
(4星)	 想去天一阁看看            
(NA)	 小时候看的，记不清了……就记得有黄磊。            
(4星)	 今天修电脑的空儿看了男人帮，看到黄磊就会想到这部剧。说起来喜欢这剧的原因好像可以概括为——喜欢天一生水四个字，喜欢黄磊，喜欢孙莉，喜欢马伊琍，那时候也挺喜欢范冰冰，也喜欢自己幻想里的那个氛围。            
(NA)	 天一阁，记忆里始终不变的谢明妮。            
(5星)	 天一生水，地六成之。感觉现在的中国电视剧再也没有那样静下心来好好做电视剧的心态了，连黄磊都去拍《火星没事》了。            
(5星)	 想到了博物馆，想到了天一阁，想到了天一阁里的屏风，想到了这部片子。很早的作品，早前就听因为黄磊个人极喜欢天一阁这座藏书楼准备写一部与之相关的故事，后来初中时在宁波电视台看到，非常喜欢，喜欢它的背景，它的故事，以及片子本身的味道和气质。            
(5星)	 如果说《似水年华》是对过往的了结和纪念，《天一生水》便是而立之作，是对未来的期许。            
(3星)	 很标志性的黄磊电视剧，前面我看得兴致勃勃，后面就有些没耐心，我不够文艺范儿。但我喜欢电视剧中如古书一般的泛黄色彩，宁静的调子，水乡小镇，很多那个年代无奈的感情波折            
(4星)	 享受            
(4星)	 天一阁天一阁            
(5星)	 当时看的时候，就特别想去宁波看看天一阁，那时候我还是大学，有了女朋友，当黄磊把长命锁从脖子上摘下来给马伊俐，对她说：“这个给你，保佑你一生平安”，我想起了她。            
(3星)	 看的是风景。            
(5星)	 背景音乐好听！再配合《风雨天一阁》一文，感触良多http://v.youku.com/v_show/id_XMTE4NTcxMDMy.html            
(5星)	 我爱那不顾一切的爱，和那不需要太多语言就懂得的交流            
(4星)	 等了很久才觉得自己的心境适合看这样的片子。依旧带着很深的黄磊印迹，与时间无关。又体会到那种安静，那种情怀。但有些情节多于拖沓了，感情为了曲折刻意制造的纠结了。还是希望黄磊能继续去拍属于他的片子！            
(4星)	 做《读书人》杂志选取的专题。和书有关的电视剧是有点讨喜的            
(4星)	 啊，宁波天一阁，我什么时候能去看看呢            
(5星)	 一部很好的电视剧，但是好像很少的人看过            
(5星)	 再短点就好了            
(3星)	 这个。。是黄磊的一个不小的败笔。。事业走了下坡路            
(4星)	 豆瓣的简介错误太多了，简直误导。总的来说，仍然是黄磊的风格吧，但是，给不了五星。            
(NA)	 黄磊的电视剧和没有铜臭之气，多了些文人的书香气            
(5星)	 6666            
(4星)	 原是部可以打5星的片子，但为何呢，不清楚            
(3星)	 黄磊很傻，很可爱，难得觉得他帅。很文艺，很有韵味的片子。“书涵，你长大了，变得我都认不出来了。”“林若云，你也长大了，可你还是老样子。”            
(5星)	 名字真美  电视好看              
