http://movie.douban.com/subject/3087440/	梧桐雨
(3星)	 徐路非常大家闺秀气质令人赞赏            
(NA)	 曾经超迷邱心志            
(3星)	 标准三星。            
(3星)	 那男的太娘了            
(3星)	 李宗翰很帅            
(4星)	 徐路气质特别好 特别大家闺秀 气质如兰            
(5星)	 俺是在江西卫视看的这个电视剧。江西卫视给电视剧做广告时，评价潘虹是霸气：“我从来只演主角。”            
(NA)	 哼~ 又是腦殘劇~~            
(NA)	 挖，这个我都看过            
(4星)	 潘虹的演技，一直都是这样。            
(3星)	 有个人想我就好            
(NA)	 看这电视剧是小学四年级....是我最后一年住在康定路 因此记住了张信哲唱的那首片尾曲.....   然后和童年一起长大的好朋友分开 现在完全失去了联系 那时候伪民国和老上海的题材还没像现在这么泛滥 我时常去当年家隔壁的美亚音像借VCD ...怀念那一年             
(NA)	 看过一些， 然后就被女主角恶心到了。            
(3星)	 初二            
(3星)	 歌是我家阿哲的~~~O(∩_∩)O            
(5星)	 当年认真追过 现在重播依然会看 张信哲的插曲配的太好了            
(3星)	 男猪脚是邱心志女主很喜欢但是至今不知道叫什么，不记得具体情节只记得很虐            
(4星)	 我当年是多爱这部剧            
(NA)	 我只是马克一下            
(4星)	 中学 当时十分喜欢            
(4星)	 我果然对民国特别好感。邱心志好有气质啊，沦落到演乾隆了。。            
(3星)	 唉            
(NA)	 我擦 小时候 看这么多无聊的电视剧啊            
(4星)	 励志            
(3星)	 很喜欢邱心志            
(4星)	 这样的爱情 我很喜欢            
(4星)	 我最喜欢的浪漫电视剧，超级喜欢里面的男主角，超级羡慕女主角。            
(NA)	 从此爱上邱心志，这种男人是要细品的，徐路也不错，只是不够美吧，做人又低调，这几年完全没消息了。            
(3星)	 跟我妈一块儿看的，演员太养眼。            
(3星)	 当年的邱心志也很帅气啊~~            
(4星)	 毁容的吴惜玉在旧宅子废井边穿着戏服唱皂罗袍，这是我第一次知道昆曲。悠悠的，带着点诡谲。            
(3星)	 邱心志和李宗翰，喜欢            
(3星)	 那时候就对李宗翰印象特别深。也是当初追了几集的            
(5星)	 最近适合怀旧嘛，我又突然想起个以前的电视剧《梧桐雨》各位有木有看过呢？当初超迷邱心志那帅气的颜啊，超心水有木有！可惜时间杀猪啊，他竟然去演新还猪的皇阿玛！哎。《梧桐雨》还挺好看的，印象最深的是里边的片尾曲， 张信哲 -有个人想我就好            
(4星)	 当年连小言都可以拍的这么精良啊！！！            
(3星)	 傅淼是不是快成小三專業戶了 ＝ ＝            
(3星)	 光名字就觉得干净了 清爽 虽然剧情满狗血            
(4星)	 那年的邱心志好对胃口            
(4星)	 邱心志啊啊啊啊啊 我当年就是看这个爱上他了 结果人家现在是皇阿玛            
(4星)	 看到新还珠演员里的邱心志就想起这个电视剧了。。他真的是很帅啊。。            
(5星)	 尼们组么能不给五星！邱心志和民国风都是哥的心头爱好么！！！！            
(2星)	 我和我妈一直都想不通一个小丫头是怎么变成“百乐门的头牌”的            
(3星)	 只记得李宗翰很帅。。。            
(NA)	 扮相很好            
(4星)	 很久之前看得了，就记得张信哲的那个片尾曲。。。。如果你还愿意            
(5星)	 大爱            
(3星)	 忘了            
(3星)	 都是跟我妈一块看的            
(3星)	 当年高中看的一点还不错啦，还觉得邱心志好像daniel woo，当年多么喜欢daniel 啊            
(4星)	 听《有个人想我就好》想起还看过这个            
(4星)	 当年是为了听老张的歌看的。。。。。。            
(3星)	 邱心志啊啊啊~~~            
(3星)	 瘸脚的丈夫。            
(3星)	 有个人想我就好 如果你愿意            
(4星)	 梧桐树，三更雨。            
(3星)	 徐路气质真是好。            
(3星)	 很喜欢邱心志，温文儒雅，他演的李慕白也一样好。            
(3星)	 我居然看过电视剧...            
(4星)	 当年我是多么喜欢那个叫做沈岩的男人啊            
(5星)	 李宗翰在里面也很帅。            
(NA)	 我很爱片尾曲，很爱很爱很爱很爱很爱            
(4星)	 觉得徐路很灵的            
(3星)	 可能是跟着我老妈断断续续看过几集，没啥感觉，就记得了红花药水..            
(3星)	 补漏            
(3星)	 纠结的剧情。            
(NA)	 其实不太确定，但是有印象。            
(3星)	 当年很喜欢的剧  李童鞋好像就此踏上了年代剧的不归路。。。            
(3星)	 刚才发现竟然很早以前看过，这部戏奠定了我对邱心志病弱无力的主要印象，潘虹一如既往的霸气，军师在里面由小白兔变大魔头也是很有看点的哟。            
(NA)	 《有个人想我就好》。当年真心觉得这部剧好看~拍得很用心~            
(NA)	 邱心志也太帅了 唯一不足的就是他怎么演个瘸子啊            
(2星)	 李宗翰开始转型了            
(3星)	 记得阿哲的插曲            
(3星)	 演《情深深雨蒙蒙》里可云的徐路是这里的女主。            
(3星)	 先結婚後戀愛            
(1星)	 虐恋大剧！            
(4星)	 看完《新水浒传》，觉得李宗翰演得真好，缜密深沉的军师，拿捏得相当到位！之前对他的印象不深，看了新水浒，就彻底记住他了！然后才发觉这个演员演技是真扎实！这部梧桐雨是很早就看过的了，当时就觉得这个演员不错，现在更是了！            
(NA)	 插曲配的太好了            
(5星)	 真真的温润如玉            
(3星)	 印象中很憋屈的电视剧            
(4星)	 主题曲现在听还是很好听啊。。。。            
(NA)	 纯粹因为看到天涯8帖了……关键是我一直以为那俩口子说起话来实在过于文绉绉            
(4星)	 隔了这么多年居然又想起.只记得当年上小学很迷这部剧,因为它喜欢上了邱心志,并且他在剧里刚好姓了我最喜欢的沈...女主角气质如兰,也是很喜欢的,直到现在还记得,叫何俊兰            
(3星)	 不错~            
(4星)	 当年我还挺喜欢的。徐露真是丫鬟脸。看李宗翰那么妖娆的脸，不去搅基真浪费了！            
(2星)	 奶奶看，就跟着看了些。。            
(3星)	 那时候一句你是我的天，居然不觉得矫情。            
(3星)	 徐路是我见过的最适合穿旗袍的女演员            
(4星)	 就因为这部片子，我对邱心志的皇阿玛始终讨厌不起来啊            
(4星)	 小时候觉得多好看的            
(3星)	 邱心志蜀黍以前蛮帅的            
(5星)	 很好看的哦，徐路的气质很好，特别适合演这种民国风格的片子            
(3星)	 2002，十五中            
(NA)	 有气质的女一，痴心的男一，纯情啊            
(4星)	 那时候觉得李宗翰可帅了！            
(4星)	 厄这居然都有~~            
(NA)	 主角不是邱心志么  怎么主演列表上没他的名字？            
(3星)	 邱心志呀。            
(NA)	 觉得互相理解的爱情真美好            
(4星)	 很美好的爱情，很深情的他。            
(3星)	 陪老妈一起看的0.0~            
(4星)	 在只有电视没有电脑的时候，电视剧是所有的休闲时光~~~邱心志真的好儒雅啊~~~比现在的黄鳝好多了啊~~一直觉得徐路的长相很古典很中国的~~即便是演了穷摇的情深深雨蒙蒙里的可云，也丝毫没有红起来啊。。            
(3星)	 小时候看的电视剧，喜欢邱心志和李宗翰。            
(5星)	 今天晚饭因为新还珠，还聊到这部剧，聊到邱心志呢            
(5星)	 梦中情人，沈岩啊            
(5星)	 大爱邱心志啊！！！！！！！！！！！！！            
(NA)	 张信哲的片头片尾曲，我才看了            
(NA)	 当年喜欢徐路这女子。            
(4星)	 现在也觉得李宗翰不错 怎么就不红呢 我好像很容易喜欢上男主角……            
(5星)	 梧桐树下，相濡以沫，足以。            
(3星)	 剧情有些纠结，还好。。            
(NA)	 有个女的做援交去了。还有一直觉得女的一化妆打扮就差好多            
(4星)	 这部片中徐路好像金喜善。            
(3星)	 能执手一生是很难得的事情。            
(3星)	 俗套啊 俗套            
(4星)	 我为了最嫩的皇阿玛而来的……            
(5星)	 不错的            
(5星)	 结局还行。            
