http://movie.douban.com/subject/3088518/	新天仙配
(3星)	 很温柔的七仙女            
(NA)	 看过最漂亮的七仙女            
(3星)	 当时觉得七仙女长的可难看了。。。            
(4星)	 读初中时看过，当时我已经觉得该剧肆意篡改黄梅戏经典。但是该剧片头曲《金玉良缘》很好听。            
(3星)	 印象最深的就是剧中主题曲。            
(3星)	 小时候还是挺爱看的  - -。。长大发现，都是偏心惹的祸。            
(3星)	 小时候超喜欢看来着            
(3星)	 97年买新电视的第一部电视剧，每天中午放学必看。。            
(3星)	 裏面的女主角羅慧娟跟周星馳談過戀愛？            
(3星)	 这个七仙女的样子挺耐看~            
(4星)	 小学的记忆            
(NA)	 那时候真是迷得不行，我还记得在爸爸办公室隔壁的会议室里看这部电影的情景            
(5星)	 童年的记忆  比黄圣依的好看多了            
(3星)	 童年记忆。            
(3星)	 #集中吐槽日# 我看了两遍哎，我就是挺喜欢女主那股劲儿的            
(NA)	 貌似小时候看过            
(4星)	 连主题曲都还记得。            
(NA)	 是这部吗？听相声想起来他俩拜大槐树的画面，美极了            
(NA)	 小时候            
(5星)	 好喜欢这版的。            
(2星)	 嫁对郎，还是要娶对妻呢？            
(4星)	 我要找的就是这部？            
(4星)	 小时候的回忆，很喜欢这位七仙女~温柔贤惠            
(3星)	 这个版本的演员我喜欢，巧嘴儿很可爱            
(3星)	 每当想起这个电视剧里歌词“天上人间，一日百年”，我就想乐            
(4星)	 李志奇，李志希，傻傻分不清楚。。两个都帅！七仙女很贤惠。一直记得他磨豆浆她念书的情景。            
(4星)	 不晓得为什么评分这么低。。。我觉得讲得特别好的。。。包括胖子和傲娇妹妹的爱情，也很有意思            
(4星)	 剧情挺朴素的            
(3星)	 小时候好热爱啊，虽然女一号不是很漂亮            
(4星)	 主题曲我都还记得旋律            
(2星)	 为什么就没有其他几个仙女呢？            
(5星)	 多么经典的一版天仙配呀！            
(NA)	 童年回忆            
(4星)	 我还真看过..            
(3星)	 小学看的，一家人晚上围在一起看            
(4星)	 小时候好喜欢~            
(4星)	 好看            
(3星)	 小时候了。            
(4星)	 为什么金玉良缘天上才有？            
(4星)	 小时候非常怀念的一部片子，七仙女好温柔贤惠漂亮，董永原来和鬼丈夫是双胞胎，难怪一直都觉得很眼熟            
(5星)	 童年滴美好回忆之一            
(2星)	 男主的演技好。            
(3星)	 以前觉得这个七仙女蛮漂亮的。            
(4星)	 印象很深啊，好看            
(3星)	 咱记得那个豆腐宴的片段……小时候很惊奇怎么可以有那么多烧法来的……            
(5星)	 最喜欢的一个版本            
(5星)	 美女啊啊啊啊啊啊啊啊！            
(3星)	 最有印象的天仙配 槐树精很可爱            
(4星)	 又是小时候看的剧了，还不错吧，值得看下当然了神化效果比起台湾少了好多！            
(5星)	 这才是正版的天仙配。。。            
(3星)	 当初罗慧娟和李志奇两人正谈恋爱呢。（后来拍天仙配的两位好像也是这么个状况啊，汗，历史重演了= = ）            
(4星)	 小时候看的，有人觉得七仙女可真丑，我觉得挺漂亮的。            
(4星)	 仙女姐姐！            
(4星)	 小时候觉得七仙女比她身边的那个女人漂亮            
(5星)	 天仙配最演技派的电视剧~            
(4星)	 俺地古装剧启蒙啊！！！            
(3星)	 只记得那个傻董永            
(3星)	 挺不错的，兼有温馨与笑料。            
