http://movie.douban.com/subject/3092009/	全院满座
(3星)	 银姐来啦            
(NA)	 我记得苑琼丹演的女鬼            
(4星)	 tvb的东西我都喜欢吧。。算是            
(5星)	 不知道为何我就是很喜欢……            
(NA)	 后半段太没劲了            
(3星)	 结局个屎            
(4星)	 的确是港片中不错的一部，我居然还哭了            
(4星)	 这部戏就是个茶几……            
(3星)	 其实不是很记得了。喜欢主题曲。            
(4星)	 浩然和秀英历经波折，好不容易可以冲破阻碍，秀英决定和浩然在一起，没想到浩然却死了，这个结尾太令人不满意了，而且最后的五集是越来越没意思了            
(3星)	 如果没记错，薛家燕是女鬼吧，好像搞笑之处都是源自她。。。            
(3星)	 结局太无良了            
(3星)	 还是觉得娥姐和小生比较配            
(5星)	   讲电影院的事情，我很喜欢~            
(3星)	 看过，不过现在印象不深…不像僵尸留下了深刻印象…            
(4星)	 很温馨。。            
(5星)	 依然很愛，結局太感傷            
(4星)	 小芙蓉？            
(3星)	 呃……其实TVB巡礼时候噶trailer吓到过我噶……搞到我一直以为系鬼片，唔敢睇，点知睇咗4、5集之后，又发觉，切，都唔系嗰回事            
(4星)	 好似追过            
(4星)	 无知点解`到依家都记得首主题曲，有很深刻的印象。同埋果句：银姐来啦....飘走            
