http://movie.douban.com/subject/3092261/	出人头地
(4星)	 陈之财当年很帅            
(4星)	 彼时 我就爱上了陈之财啊 那几年上海过中秋节都要跟新加坡连线欢乐一下 就守着看陈之财主持！！！            
(4星)	 这片子星光灿烂了好久            
(NA)	 郑惠玉是我喜欢的型。            
(3星)	 小时候还爱看新加坡电视剧            
(5星)	 儿时记忆            
(4星)	 小时候看的，印象太深了            
(4星)	 通过此片第一次认识地震。在我幼小的心灵里那是多么可怕的一件事儿啊。            
(4星)	 郑惠玉李南星，陈丽贞陈之财，这种组合挺有可看性，诚恳质朴的剧，虽然年轻人们的情商如今看来真的不高，结尾有点仓促。一不小心我也爱上陈之财了            
(5星)	 看的第一部连续剧……启蒙            
(4星)	 初中的回忆            
(NA)	 李南星那时很年轻吧。。虽然我完全忘了剧情了。。            
(3星)	 有点印象。            
(4星)	 李南星陈之财穷则思变            
(5星)	 就记得OP是童安格唱的，李南星后来很坏。            
(4星)	 伴我们走过童年！~            
(2星)	 和妈妈姐姐一起看的            
(5星)	 少年的回忆，童安格的一曲生命过客“一生要失败几回才知道成功的意义，一生要爱过几回才了解爱的真谛”还时常在耳边响起            
(4星)	 看过，但是有点儿忘了剧情。            
(3星)	 有句话说得好：我看得不是连续剧，是童年时光。            
(4星)	 陈之才哈            
(NA)	 完全不记得在演什么了            
(4星)	 郑惠玉 &amp; 生命过客            
(4星)	 生命过客            
