http://movie.douban.com/subject/3098693/	新天蚕变 金蚕丝雨
(3星)	 初中时候看得电视剧吧，满喜欢里面的感觉的，吴京很帅，原来我还曾经喜欢过李小冉            
(4星)	 可爱的小乌鸦！(*^__^*)             
(NA)	 从这部连续剧开始认识李小冉的            
(3星)	 比較狗血的劇情~            
(4星)	 =。=比83版的差这么一点。。。应该说那个年代的武侠剧都很经典。。。。总的来说还不错。。。            
(3星)	 演的好，真好。吴京和那个掌门人的戏对的真好。掌门人好有气质啊我靠，我喜欢上那个老道士了……完了那演员叫什么啊？？？？？？？查不到啊            
(NA)	 当时没有注意到声音么……            
(2星)	 我擦！为神马是兄妹 呜呜呜呜            
(3星)	 李小冉真是个小仙女~            
(3星)	 高清啊。一般般的啊。李小冉演这类真奇怪。            
(2星)	 无聊加无趣            
(3星)	 这里面只记得一个人，何美钿，美死了美死了            
(NA)	 很久以前看过，剧情都忘了            
(4星)	 化茧的时候真的不知道怎么说..哎..            
(4星)	 吴京 何美钿 李小冉 沈晓海！            
(2星)	 只记得李小冉了            
(4星)	 玉书...            
(NA)	 童年回忆啊，还是在澳洲看的古老录像            
(3星)	 小时候看的了            
(4星)	 当年的古装武侠总是好看的，喜欢弱不禁风的何美钿            
(NA)	 有印象的            
(3星)	 难得有原创还过得去的剧本            
(5星)	 小学时曾经每天放学后追着看            
(1星)	 蛋疼            
(NA)	 剧情不怎么记得了 就记得李小冉好正！！            
(4星)	 小时候心里的神作            
(3星)	 初中时候很喜欢的电视剧，现在重新看过，却看的郁闷。原来这是部所有人都不开心的电视剧，从头到尾每个人都生活在自己的水深火热中，始终没有幸福过。            
(3星)	 演员的服装很诡异            
(5星)	 小学时候看的 我看的是帅小伙吴京            
(1星)	 兄妹什么的。超级乌龙。            
(4星)	 呃，电视上刚好放，刚好有时间就看了一开始还是因为吴京吧，这个小生自从看过阿飞和杨玉乾之后就觉得不错了这部作品故事其实不怎么样，完全记不得了呢不过大风起兮云飞扬，刘邦老大的诗词还是很容易记的说            
(NA)	 现在觉得吴京的片 都是好不到哪里的片  ~~            
(3星)	 云飞扬绝对应该是爱独孤凤的好哇。。。改编成这样我受不了啊。。。。            
(4星)	 两个女主角太有爱了。            
(3星)	 吴京的打戏还是不错的～            
(3星)	 喜欢这部里李小冉和沈晓海            
(3星)	 靠 云飞扬这个发型太难看了 亏了我这么喜欢的男女演员啊            
(NA)	 一定记得金蚕丝雨...            
(4星)	 吴京和李小冉。。。            
(3星)	 吴京就这个样好看！            
(2星)	 这个打斗效果做的实在是太烂了。            
