http://movie.douban.com/subject/3098951/	新72家房客
(5星)	 童年超爱。。。。。。我就是个情景剧命- -            
(4星)	 小学某段时间每天看诶。看这部剧知道“小黄鱼”还可以指黄金，哈哈            
(5星)	 很少给国产情景剧5星的~嘻嘻~            
(4星)	 比较看不厌的国产肥皂剧。            
(4星)	 海派上海电视喜剧的代表作 很地道很生活 每个人物都有血有肉 片尾曲很棒            
(5星)	 以拆迁告终            
(4星)	 “曼丽~~~”            
(4星)	 英达弄过好多牛叉情景喜剧            
(3星)	 笑喷张学友唱歌那一段~            
(2星)	 很久以前看的，海派虽然有，到底笑料平平。            
(4星)	 当年看过的，有点上海特色            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 已看，需保留地址。            
(4星)	 懷念啊！！！            
(5星)	 那时乐啊~            
(5星)	 太喜欢了！！！看了好多遍！            
(4星)	 小時候看的。石庫門房子左鄰右裏。滬語很本土化很生活化。演員搞笑特別是雙字輩的。            
(4星)	 依稀记得是小学三年级暑假看的。那年住在外公家，也可以算是离家出走，整天看电视，很多人追着看这个。记得翡翠台还经常发通告，列出当年世界杯的前四名。            
(4星)	 总是在剧中时不时出现的宾得km/kx系列单反相机 泪奔……            
(4星)	 小时候好喜欢严顺开的。            
(3星)	 怎么说呢？养眼是一定的，其它的真没什么了            
(NA)	 韩老师说的对，这只是影视圈权势榜。所以无聊到要哭也没辙，因为本来与你无关。拒绝是唯一解脱之道。            
(4星)	 好看的 走进新世纪以后大陆更是没戏看            
(NA)	 上海闲话             
(3星)	 蛮好玩的            
(5星)	 片尾曲记忆犹新            
(5星)	 亲切            
(5星)	 跟故事會一樣遙遠而親切            
(5星)	 很少有人提起这部，最好的情景喜剧之一            
(5星)	 小时候很喜欢看的.            
(5星)	 比老娘舅什么的好笑多了。。。我爱钱老师。。。            
(4星)	 怀念~双子辈那批人是有劲呀！~            
(5星)	 哈哈我喜欢这个。。。            
(5星)	 带着浓重上海口音的普通话演绎的故事，让人捧腹大笑            
(5星)	 哈十三，还记得有一集现在还有印象，切入点，久久难忘啊            
(5星)	 懷念那時的上海            
(4星)	 好看。            
(5星)	 钱一夫和水根的段子都太牛叉了。。。还有曼丽伯伦什么的。。打十星都不为过啊！            
(5星)	 梁左            
(4星)	 印象中 ，上海，严顺开，也是凭着严顺开找到这部剧的            
(3星)	 忒大牌云集了！从来没觉得张智霖唱歌这么好听？！想学半斤八两            
(3星)	 香港的建国大业            
(5星)	 还是上海话比较喜欢            
(NA)	 当年好喜欢严顺开的说！            
(4星)	 这个还不错            
(5星)	 好            
(NA)	 哈哈哈哈哈哈哈哈哈 我太爱看了 哎为什么啊            
(3星)	 六点半还是七点来着？            
(4星)	 片尾曲超级好听            
(3星)	 乱            
(5星)	 上海的味道。            
(3星)	 海派喜剧，笑点较一般情景喜剧来说比较独特，但更贴近生活真实；播的时候我尚年幼无法看懂，但父亲经常是笑的直不起腰来了...            
(5星)	 记得这是当年我最为期待的一部情景喜剧，石库门里的海派风情            
(2星)	 看了1集，弃……            
(5星)	 败笔就是用了mandarin            
(3星)	 喜庆的片子。。            
(4星)	 刚看完            
(4星)	 才想起来。相当不错。梁左真是英才早逝。严顺开也堪称一位表演艺术家。            
(4星)	 当时看得挺高兴的            
(5星)	 哈哈 这个经典的呀            
(4星)	 典型的港式喜剧            
(2星)	 一点都不好笑。有曾志伟的片子都是山寨搞笑片。            
(5星)	 依稀记得很好笑            
(NA)	 只记得名字了            
(3星)	 很多熟面孔 搞一个老故事            
(4星)	 继《东成西就》后又一爆笑恶搞喜剧，贺岁片嘛，比较欢乐温馨            
(NA)	 笑得翻滚            
(4星)	 真不错。真不错。比最近的几部香港闹剧都好看的多啊。            
(3星)	 马马虎虎            
(4星)	 好搞笑，好久没有看过让如此有FEEL的贺岁片了。            
(4星)	 挺有趣的            
(3星)	 可能是地域的差异吧，我就没看出什么笑果来            
(5星)	 真是超好笑的。            
(3星)	 喜欢“瓜子嗑嗑太阳晒晒”的吴侬软语……            
(4星)	 蛮搞笑的。虽然是很多年前的一部电视了。            
(5星)	 有点年头的海派情景喜剧还是非常灵的            
(4星)	 音乐很好听            
(4星)	 滑稽            
