http://movie.douban.com/subject/3101903/	倩女幽魂前传 倩女幽魂前傳
(NA)	 也是小时候很爱的一个版本。            
(NA)	 流金岁月人去楼空  人生渺渺在其中            
(5星)	 当年张庭那个美啊美啊美的啊            
(NA)	 青春少年是样样红～只记得歌了            
(NA)	 青春少年是样样红 你是主人翁 要雨得雨 要风得风 鱼跃龙门就不同 。。。。。。宁用家财万贯买个太阳不下山~~~            
(5星)	 哈哈！好经典！            
(4星)	 以前可喜欢看了            
(4星)	 还是以前的美女美～            
(4星)	 青春少年是样样红，可是太匆匆~            
(5星)	 不错的片子，小学时候很爱看            
(4星)	 当时觉得张庭好美好美。            
(3星)	 青春少年样样红，只是太匆匆；流金岁月，人去楼空，人生渺渺在其中。            
(4星)	 小时候东南台放的，一直忘记名字了，只记得有俞小凡，张庭。。终于找到了！！            
(NA)	 我喜欢这部，谢祖武很可爱            
(4星)	 嗯，罗嘉良在里面还客串可一把。。。花妖的故事有点不知所谓（也可能被删节了吧）。。。。演员的扮相都很美。。。            
(4星)	 小学的时候看的 哈哈            
