http://movie.douban.com/subject/3110759/	花样年华 风尘舞蝶
(3星)	 鲍望春——我见过的可以把国民党军装穿得最好看的男人。            
(NA)	 求全集            
(3星)	 两颗给汉良哥哥，一颗给陈红姐姐            
(NA)	 青葱可人，一表人才            
(5星)	 恩 为了钟汉良看的            
(NA)	 只是很喜欢小哇的扮相，觉得他真的很适合穿国民党的军装，也是因为这部片子，开始喜欢这个射手座老男人            
(4星)	 俄滴汉良哥哥啊 哪个造型都这么好看啊            
(3星)	 这部戏搭配感觉好怪，男生比女生显小太多了            
(NA)	 好像那时第一次认识钟汉良            
(3星)	 为了郑家榆看的好吗！！！            
(3星)	 那是一个看什么都津津有味的年代            
(4星)	 看的精华版            
(3星)	 也是有年暑假断断续续的看过一些……            
(NA)	 当年只为“怀玉公主”，没想到还有小哇，我要重看            
(2星)	 两大帅锅            
(3星)	 小哇和 林志颖 是很好，但是2女主好不给力啊。。长的都太老气了。不配不配啊。。。。。            
(4星)	 从这里认识的钟小哇，从此无法自拔。            
(3星)	 记不清楚剧情了，不过最近很迷这个男人            
(3星)	 小哇的军装造型很帅            
(4星)	 人物挺养眼的，剧情不记得了。。。            
(3星)	 幸亏土豆上有钟汉良的片段集锦，哈哈哈哈            
(NA)	 多年以前，第一次见钟汉良。。。            
(NA)	 那个时候对这种题材的很干兴趣            
(4星)	 没看完……不过很想接着看~俩男主都是我的最爱呐~            
(4星)	 唯一一部二人共同主演的电视剧。二人的演技没话说，可其他方面就……            
(4星)	 军装小太阳❤            
(4星)	 哈哈，这部电视剧是偶添加的条目．            
