http://movie.douban.com/subject/3113419/	新楚留香
(NA)	 袁咏仪黎姿万绮雯林熙蕾陈法蓉杨恭如张茜林心如。。。很给力吧...但是一个任贤齐就能完爆全组。。。。            
(4星)	 花太香，花下风流花死花无常            
(4星)	 对小齐演的楚留香没兴趣，之所以推荐完全是因为里面竟然网罗了几乎我所喜爱的所有的美女，太过分了！            
(NA)	 我很喜欢这版本的楚留香，除了楚留香的扮演者。我觉得其他都非常到位。尤其是喝着酒而死的胡铁花。差不多就是心中的古龙            
(5星)	 第一次看那多女演员在同一部戏诶！            
(4星)	 疯狂地爱任贤齐啊那时候。片头片尾插曲天天哼啊。            
(4星)	 其实我很喜欢这部            
(3星)	 袁咏仪黎姿万绮雯林熙蕾陈法蓉杨恭如张茜林心如。。。很给力吧...但是一个任贤齐就能完爆全组。。。。 .+1            
(4星)	 啥也不说了~            
(2星)	 楚留香和司空摘星一起 整个一关公战秦琼            
(3星)	 主题曲很好听            
(3星)	 为什么所有的楚留香都这么囧呢 不过这个版本的美女也太多了吧╮(╯_╰)╭            
(3星)	 我觉得这部东西除了有我喜欢各个女演员之外真的没什么了。            
(4星)	 当年很喜欢- -            
(4星)	 这样的剧，就是看脸去的            
(3星)	 当年我怎么会死着活着看这玩意儿？            
(3星)	 抹掉郑伊健张卫健林心如张茜，然后就完美了王晶果然是每部片子没有不猪头的！！！！！美女声音嗲的要死，恶心死了            
(1星)	 做鸭版楚留香以及他的肥大肿脸女人们的故事            
(4星)	 这一版美女真是多，多给一星啦~~            
(2星)	 王晶真是拿一堆演员砸出来的片子。苏蓉蓉死后，彻底弃之。真是毁了这一众演员啊。楚留香再处处留情，也不能这么夸张啊，真是多情人才最无情。只能说连导演自己都不知道想要楚留香爱谁，前后不搭，前面摆明了苏蓉蓉和司空星儿中爱得是苏蓉蓉，后面又自己扇了自己嘴巴。            
(4星)	 小时候很喜欢看 美女超多 最喜欢袁咏仪             
(3星)	 好吧，其实蛮有意思，但是改得面目全非啊！            
(NA)	 其实说实话，剧情而言，这部楚留香算不错的。关键是配角实在是好，死了太多人 ，除了任贤齐大概全部死了，而且死得很悲切凄凉，让人很唏嘘。喜欢古龙的楚留香，小时候看了几乎全部。            
(3星)	 40            
(5星)	 美女好多，群星翡翠            
(3星)	 每个人都有的武侠情节~            
(3星)	 任贤齐就是喜欢挑战我的底线。。            
(3星)	 要不是黎姿绝对没有平均分            
(NA)	 天啊……伊健原来还演过李寻欢……他的爱好还真是独特            
(4星)	 铁律：谁演楚留香就喜欢上谁。玉观音：一个女人有再多金银珠宝，有再大的权势，也比不上一个男人温暖的怀抱。            
(4星)	 蠻喜歡的..我是覺得小齊風度翩翩瀟灑倜儻..主觀主觀..不明白為什麼帥哥罵的咬牙切齒的嘛..            
(4星)	 其实我蛮中意这部剧的，真的。。            
(NA)	 风流程度和韦小宝不相伯仲...            
(4星)	 值得一看            
(2星)	 两分给美女            
(5星)	 任贤齐的香帅形象不错，明星阵容确实强大，不过司空星儿让林心如演直接降低了我的期待。胡铁花这个形象有点失策，貌似原著很潇洒的；还是最喜欢薛可人跟香帅一起！            
