http://movie.douban.com/subject/3126972/	搜神传
(1星)	 “好彩妈报恩嫁给蓟大夫，又因无极天尊陷害现出原形，明显是新白娘子传奇。好彩妹学会使用仙藤，画面表现和蜘蛛侠一模一样。石敢当吃了九牛二虎有了神力，又在晏家找到一盏除妖灯，和宝莲灯的情节雷同。晏喜找到神剑，三人一起除妖，完全抄袭仙剑，只不过这次改成了一女二男。20集的时候更雷的出现了，            
(3星)	 雷人的TVB剧，妖魔带着红色的隐形眼镜。笑口常开，好彩自然来。恩，好彩妹很可爱。            
(NA)	 笑口常开。。好彩自然来。。            
(3星)	 看了一周末，还不错阿，哈哈哈哈            
(3星)	 难看 女主角是傻大姐            
(3星)	 怎麼變搞笑劇了            
(4星)	 笑口常开，好彩自然来！            
(NA)	 其实我并不是很喜欢钟嘉欣，而这部戏也摆明是在捧她。好彩妹这个角色善良开朗的都已经过头了，陈锦鸿和陈浩民都围着她转。不过剧情在同类型的电视中算不错了，至少还讲得通，不像强剑之类，虎头蛇尾。            
(4星)	 我觉得还不错啊。。。            
(5星)	 小孩子看了会说是烂片，不过编剧都是经事的大人，小孩子又怎么看得懂。其实他们要教育的是自己。这是一部警世录。太上老君：凡人一生祈求苍天庇佑，神仙打救，以为这样就可以转危为安，化险为夷，凡事都抱有侥幸之心，其实救已救人，才是人间正道。            
(1星)	 陈浩民也老了，也只能唬唬小孩儿了。。。            
(2星)	 当然我只看最后一集            
(3星)	 那个钟嘉欣真是不管演什么都那么做作。TVB的神怪剧越来越不靠谱了。。。            
(4星)	 很RPG，不错            
(2星)	 又是烂戏一部...            
(3星)	 好像童年看的东西，嘿！仙藤！            
(1星)	 极其无聊和拙劣 ==            
(3星)	 2009.7            
(2星)	 開頭還覺得滿可愛的，但是越看越悶，到大結局，我怎麽都沒能集中精神看完。            
(2星)	 感觉元素大杂烩，魔法，神话，爱情。。。            
(3星)	 不知为什么，看到最后的结局，觉得很搞笑。            
(4星)	 神话剧也可以这么~~呵呵~~            
(NA)	 我竟然看过这玩意儿....            
(1星)	 雷死人不偿命。。            
(3星)	 一般水平，无功无过            
(NA)	 个个台都在放            
(NA)	 好雷的剧，看得我好欢乐==我果然是太闲了==            
(3星)	 好彩妹非常可爱，so 渐渐喜欢上钟嘉欣了。            
(3星)	 笑口常开、好彩自然来。。剧情有点幼稚、还好是有始有终，不至于天人相隔。            
(3星)	 年轻演员的演技还是需要跟进滴。还有陈浩民你能不要再接这么傻的角色了吗？            
(2星)	 老套啊老套，消遣必备，雷点不少。            
(NA)	 无聊。            
(2星)	 没网上就看电视咯，深圳台你不要循环播放那麽多遍好不好……            
(NA)	 钟夹心你能不能不要出现啊            
(2星)	 漏洞不断，道具不齐，但是还是让我打发了时间            
(NA)	 好彩妹·看到老年版的好彩自然来我面都瘫了···            
(2星)	 神话传说大杂烩            
(3星)	 真是一贯风格啊            
(2星)	 看见钟嘉欣就。。想快进            
(2星)	 TVB实在是不适合这种神话类的剧集……            
(3星)	 哈            
